pdf_page_index	text
1	Tracking Employment Changes in AI-Exposed Jobs Bharat Chandar∗ August 1, 2025 Abstract This paper examines labor market trends for occupations exposed to Generative AI using US Current Population Survey (CPS) data from the post-ChatGPT era (Q4 2022 - Q1 2025). Contrary to displacement fears, occupations most exposed to AI on average show no substantial difference in employment or earnings growth compared to the least exposed. However, this aggregate trend masks heterogeneity across occupations. Within the most exposed quartile, occupations with a higher share of college-educated workers, such as software development, have experienced robust employment growth, while those with a lower share, like customer service, have seen declines. The analysis also reveals a divergence between job posting data and realized employment, urging caution when inferring labor market trends from postings alone. 1 Introduction The period following the public release of ChatGPT in November 2022 has seen burgeoning research attempting to capture the labor market and productivity effects of generative AI, spurred by fear of potential widespread job displacement. This paper provides a timely empirical analysis of this evolving landscape by leveraging U.S. Current Population Survey ∗ Stanford University; chandarb@stanford.edu. I thank Erik Bynjolfsson, Basil Halperin, Philip Tram- mell, Luca Vendraminelli, Ruyu Chen, and Tom Mitchell for helpful comments. 1
2	(CPS) data through Q1 2025. Using the GPT-4-based occupational exposure metrics from Eloundou et al. (2024), I examine realized employment and earnings trends to measure whether, and how, disruption from new AI technologies is appearing in the U.S. workforce. The central finding is that the most AI-exposed set of occupations has not experienced a declining share of employment, though among this group there is considerable heterogeneity in labor market trends. Software occupations, which are estimated to have high exposure to generative AI, show employment gains as of the first quarter of 2025. In contrast, customer service representatives, who also have high measured exposure, have experienced relative employment declines. More broadly, within the most exposed quartile, occupations with a higher share of college-educated workers have experienced faster employment growth over the prior four years compared to occupations with a lower college share. The results suggest a nuanced view of how measured AI or automation exposure affect employment, with worker characteristics such as education potentially influencing displacement from new technologies. While the results do not identify a causal impact of AI on labor market outcomes, they clarify facts about the state of the US labor market and suggest avenues for further study on how AI impacts workers.1 Given growing concern over AI’s impact on early-career roles, I also examine trends for entry-level workers (Thompson, 2025; Raman, 2025; Allen, 2025). Employment for entry- level workers is volatile and cyclical, making it difficult to discern trends. With more time and larger surveys it may become apparent whether there are sustained changes in labor market outcomes for entry-level workers, but so far evidence from the CPS is inconclusive. A further contribution of this paper is to highlight the divergence between employment and job postings. While Indeed job postings for software development show a decline from a peak in early 2022, CPS employment data indicate stable or even increasing employment through Q1 2025. The disconnect between job postings and employment also tracks with 1 Another way to interpret the results is that current AI exposure and automation measures may do a poor job of predicting the true labor market impacts of AI, at least in the relatively short time period considered here. This contrasts with findings in prior seminal work such as Autor et al. (2003) that showed that task exposure to computerization strongly predicted changes in relative labor demand. 2
3	a relatively stable US national unemployment rate and labor force participation rate over the same period. These findings urge caution in interpreting labor market trends from job postings alone. Because the CPS is released monthly and is publicly accessible, the method in this paper can be used to track changes in occupational employment on an ongoing and transparent basis. While the CPS’s sample size limits statistical power for granular groups like entry-level workers, its strength lies in providing a consistent, high-frequency view of the entire U.S. labor market. This paper thus clarifies the current state of facts and provides a foundation for future work using larger-scale administrative or internal Census data to further probe the mechanisms behind these divergent outcomes.2 2 Related Literature This paper engages with three active areas of research on the labor market effects of arti- ficial intelligence. First, it builds on literature that measures AI’s potential exposure. A series of influential papers established methodologies for estimating which occupations were susceptible to automation (Frey and Osborne, 2017; Brynjolfsson et al., 2018; Felten et al., 2018, 2019; Webb, 2019; Felten et al., 2021). More recently, work such as Eloundou et al. (2024); Felten et al. (2023); Gmyrek et al. (2023), and Gmyrek et al. (2025) adapted this approach for Generative AI, forming the basis for exposure metrics used in this analysis. While these studies identify potential disruption, this paper’s contribution is to use broad, representative U.S. survey data (the CPS) to provide one of the earliest empirical snapshots of realized employment changes in the post-ChatGPT era. This complements studies that find significant effects but in more specific settings, such as on online freelance platforms (Hui et al., 2023) or within individual firms (Brynjolfsson et al., 2025; Dillon et al., 2025).3 Second, this paper contributes to the growing body of work using economy-wide data to 2 All code is posted online at https://github.com/chandarb/CPS_tracker. 3 See also Noy and Zhang (2023); Peng et al. (2023); Dell’Acqua et al. (2023). 3
4	measure AI’s impact. Recent findings have been varied. Humlum and Vestergaard (2025) use Danish administrative data to find minimal effects on earnings or hours worked, while Jiang et al. (2025) find AI exposure is correlated with longer work hours in the U.S.4 This paper adds additional color to this growing set of findings. In line with Humlum and Vestergaard (2025), I find little evidence of an aggregate decline in employment for exposed occupations. However, in contrast to their work, I find heterogeneity in employment trends across exposed occupations, with these differences correlated with features such as education. The diver- gent paths of software developers and customer service representatives, for example, suggest nuance in predictions of labor market changes for exposed workers.5 Finally, this work highlights an important methodological issue: the divergence between job postings and employment data. Recent studies have used job postings to measure shifts in labor demand from AI (e.g., Acemoglu et al. (2022); Hampole et al. (2025)). This paper shows that for key occupations, these two data sources tell different stories. The decline in software developer job postings since 2022, for instance, contrasts sharply with their stable- to-growing employment in the CPS. This finding serves as an important empirical caution in interpreting job posting trends as reflective of employment or earnings. The CPS data used here provides a transparent and timely alternative for tracking realized outcomes as they unfold for a representative sample of the U.S. population. 4 See also Acemoglu et al. (2022); Bonney et al. (2024); Bick et al. (2024); Hartley et al. (2024); Frank et al. (2025); Chen et al. (2025); Hampole et al. (2025). The Federal Reserve Bank of New York tracks employment by college major using the American Community Survey (ACS), as documented in Abel and Deitz (2017). While the ACS has rich sociodemographic and economic information, it is released annually and with a time lag. As of Q2 2025 the latest ACS data is from 2023, in the initial year of LLM adoption. 5 Another closely related paper is Deming et al. (2025), which combines data from the decennial Census, American Community Survey, and CPS to track labor market changes over 120 years. This paper comple- ments their work by directly associating employment changes with measures of AI exposure and by tracking labor market trends specifically over the post-ChatGPT time period. 4
5	3 Methods and Data Collection 3.1 Data on AI Exposure I use the occupation-level AI exposure estimates from Eloundou et al. (2024). The authors estimate AI exposure based on O*NET task and detailed work activity (DWA) descriptions. I use their exposure measures that leverage GPT-4 to classify all tasks and DWAs based on the whether using an LLM reduces the time it takes to complete the task by at least 50%. I aggregate from tasks to occupations by equally weighting exposure across tasks within an occupation. Eloundou et al. (2024) report a variety of different exposure measures based on this approaches. Each measure varies assumed capabilities of LLMs, namely whether they can reduce the time to complete a task on their own or in conjunction with additional software. I focus on their GPT-4-based β measure for most of the analysis, though I show robustness to alternative measures for certain results. 3.2 Data on Employment and Earnings Employment and earnings data comes from the Current Population Survey (CPS). I use the CPS monthly employment file, focusing on the period from Q4 2022 onwards. This coincides with the period after the release of ChatGPT, which rapidly accelerated the use of LLMs in common practice. The CPS samples about 60,000 households each month. It reports employment status for each member of the household along with their Census occupation code, education, and other demographic variables. This information in the CPS is used to compute the official US Bureau of Labor Statistics (BLS) national unemployment rate. I use the merged outgoing rotation group (MORG) data to collect weekly earnings infor- mation. The MORG data is a subsample of the CPS that includes earnings data for workers 5
6	in months four and eight of the sample.6 Because the MORG data is a subset of the basic monthly CPS it has a smaller sample size. The MORG data underwent changes in topcoding conventions over the sample period. I manually topcode nominal weekly earnings at $2884.61 per week to maintain consistency over time. I also convert nominal weekly earnings to real weekly earnings using the CPI-U. I merge the CPS data with the AI exposure estimates using the occupation code, using a crosswalk from the BLS to merge 2018 SOC codes to Census occupation codes. Computing employment trends by occupation can lead to noisy estimates due to small sample sizes. Further, the public monthly CPS file does not offer a straightfoward method to compute standard errors for employment estimates by occupation. To mitigate these issues, I compute the average monthly employment in each quarter and consider only analyses with at least 100 observations in each cell. 3.3 Summary Statistics Table 1 shows the most and least AI-exposed occupations based on the GPT-4-based β measure from Eloundou et al. (2024). Professions involving translation, writing, and pro- gramming are among the most exposed, while occupations involving manual labor and con- struction are among the least exposed. 4 Results 4.1 Labor Market Trends by AI Exposure Across all quartiles of AI exposure, there is little evidence of job loss or slower earnings growth for more exposed occupations since the release of ChatGPT. Figure 1 shows the employment and earnings trends for each quartile of AI exposure measured using the GPT- 6 Workers are surveyed for four months consecutively and then rotated out of the sample for four months before being rotated back in for another four months. 6
7	Table 1: Most and Least AI-Exposed Occupations. Exposure is defined using the GPT- 4-based β measure from Eloundou et al. (2024). Occupations are 2018 Census occupation titles from the CPS merged via crosswalk to the 2018 SOC codes. Most Exposed Occupations Least Exposed Occupations Mathematicians Athletes and sports competitors Court reporters and simultaneous captioners Packaging and filling machine operators Proofreaders and copy markers Paper goods machine setters and operators Correspondence clerks Roustabouts, oil and gas Computer programmers Bus and truck mechanics Web developers Automotive glass installers and repairers Database administrators and architects Riggers Telephone operators Electrical power-line installers Interpreters and translators Excavating machine operators Writers and authors Rail-track maintenance operators 4-based β metric. The plots shows the average employment and average real usual weekly earnings in each quarter for each quartile of AI exposure. Each series is normalized to 1 in Q4 2022, correponding to the time when ChatGPT was first released. The results suggest little if any evidence of relative employment declines in the most AI-exposed occupations since the release of ChatGPT. Real earnings have also grown at a similar rate. Figures A1 through A3 show similar results using alternative measures of AI exposure. 4.2 Software and Customer Service as Case Studies Trends in the aggregate data mask the divergent patterns for key high-exposure occupa- tions. This section presents two case studies—software developers and customer service representatives—that highlight this heterogeneity. Table 1 shows that software development occupations have some of the highest estimated exposure to AI, consistent with LLMs being relatively proficient in writing computer code. Figure 2 shows the employment trends for the Census occupation code corresponding to software developers. The results suggest an 7
8	Employment Share Trends by GPT Exposure Quartile 1.100 1.075 1.050 Normalized Employment Share 1.025 Q1 Q2 1.000 Q3 Q4 0.975 0.950 0.925 0.900 -01 -07 -01 -07 -01 -07 -01 -07 -01 21 21 22 22 23 23 24 24 25 20 20 20 20 20 20 20 20 20 Quarter Real Average Weekly Earnings by GPT Exposure Quartile 1.100 1.075 Normalized Real Average Weekly Earnings 1.050 1.025 Q1 Q2 1.000 Q3 Q4 0.975 0.950 0.925 0.900 -01 -07 -01 -07 -01 -07 -01 -07 -01 21 21 22 22 23 23 24 24 25 20 20 20 20 20 20 20 20 20 Quarter Figure 1: Employment and earnings trends by AI exposure. The top panel shows the share of employment by quartile of AI exposure, normalized to start at 1 in 2022 Q4. The AI exposure measure is the GPT-4-based β measure from Eloundou et al. (2024). Earnings are real usual weekly earnings, adjusted for inflation using the CPI-U and normalized to start at 1 in 2022 Q4. 8
9	increase in employment in software development occupations since the release of ChatGPT. There are a variety of occupation codes that relate to computer programming, corre- sponding to codes 1005 through 1108. While software developers represent the largest share of employment in this group, one possibility is that employment gains for software developers come from reclassification of workers away from other coding occupations to software devel- opment.7 Figure 2 shows the employment and earnings trends for all computer occupations aggregated together. The results again suggest little evidence of a decline in employment or real earnings. The other series in Figure 2 show employment and earnings trends for customer service representatives, another occupation in the top quartile of AI exposure. Brynjolfsson et al. (2025) find that access to AI assistance increases worker productivity, as measured by issues resolved per hour, by 15% on average for customer service representatives, with substan- tial heterogeneity across workers. Figure 2 suggests that employment in customer service representatives has declined since the release of ChatGPT. These findings raise the question of which occupational characteristics may influence the employment effects of AI given some level of measured exposure. Figure 3 shows employment trends for the most exposed quartile of occupations split by whether the college share in the occupation is above or below the median. The results suggest employment share increases in more educated exposed occupations and employment share declines in less educated exposed occupations in the periods before and after the release of ChatGPT. 4.3 Labor Market Trends for Entry-Level Workers In recent months there has been a growing concern that AI is beginning to displace entry- level workers (Thompson, 2025; Raman, 2025; Allen, 2025). The top panel of Figure 4 shows the employment share trends for entry level versus experienced workers. The analysis shows that entry level workers have cyclical and volatile employment compared to more experienced 7 See Van Dam (2025) for a discussion of trends across different computer occupations. 9
10	Employment Share Comparison 1.15 Software developers Customer service representatives All Computer Occupations 1.10 Normalized Employment Share 1.05 1.00 0.95 0.90 0.85 -01 -07 -01 -07 -01 -07 -01 -07 -01 21 21 22 22 23 23 24 24 25 20 20 20 20 20 20 20 20 20 Quarter Real Average Weekly Earnings Comparison 1.100 Software developers Customer service representatives 1.075 All Computer Occupations Normalized Real Weekly Earnings 1.050 1.025 1.000 0.975 0.950 0.925 0.900 -01 -07 -01 -07 -01 -07 -01 -07 -01 21 21 22 22 23 23 24 24 25 20 20 20 20 20 20 20 20 20 Quarter Figure 2: Employment share and real earnings trends for software developers, computer occupations, and customer service representatives. Computer occupations include all occu- pations with Census occupation codes 1005 through 1108. 10
