issue_id	row_id	claim_id	citation_key	occurrence_id	issue_code	severity	claim_as_written_pt	source_supports_pt	mismatch_explanation_pt	printed_pages	pdf_page_indices	source_locator	evidence_path	recommended_revision_pt	needs_new_source	recommended_action
ISS-ROW-0001-01	ROW-0001	CLM-001	bick_rapid_2024	CIT-001	WRONG_POPULATION	MAJOR	Estima-se que 32,1% dos trabalhadores dos Estados Unidos já integravam ferramentas de IA às suas rotinas até o final de 2024.	A estimativa de 32,1% refere-se à amostra ‘For Work’ da RPS: respondentes empregados de 18 a 64 anos (N = 6.935).	A redação não informa a restrição etária e apresenta o percentual como se abrangesse todos os trabalhadores dos Estados Unidos; a fonte não inclui trabalhadores com 65 anos ou mais nessa estimativa.	pp. 6–7	8–9	Section 3, second paragraph; Figure 1a notes	evidence_pages/ROW-0001.pdf	Explicitar que a estimativa se refere a respondentes empregados de 18 a 64 anos nos Estados Unidos.	false	NARROW_CLAIM
ISS-ROW-0001-02	ROW-0001	CLM-001	bick_rapid_2024	CIT-001	GENERALIZATION_OVERCLAIM	MAJOR	Estima-se que 32,1% dos trabalhadores dos Estados Unidos já integravam ferramentas de IA às suas rotinas até o final de 2024.	A fonte mede resposta afirmativa à pergunta sobre uso de IA generativa no trabalho. Os 32,1% incluem 10,5% com uso diário na semana anterior, 16,7% com uso em alguns dias e 4,9% que usavam, mas não na semana anterior.	‘Ferramentas de IA’ amplia IA generativa para IA em geral, enquanto ‘integravam às suas rotinas’ sugere regularidade que a medida de 32,1% não exige; parte desse total não havia usado a tecnologia na semana anterior.	pp. 6–7	8–9	Section 3, second paragraph; Figure 1a bars and legend	evidence_pages/ROW-0001.pdf	Substituir ‘integravam ferramentas de IA às suas rotinas’ por ‘declararam usar IA generativa no trabalho’.	false	REWRITE_CLAIM
ISS-ROW-0001-03	ROW-0001	CLM-001	bick_rapid_2024	CIT-001	WRONG_PERIOD	MINOR	Estima-se que 32,1% dos trabalhadores dos Estados Unidos já integravam ferramentas de IA às suas rotinas até o final de 2024.	O valor de 32,1% é a estimativa combinada das ondas RPS de agosto e novembro de 2024.	A expressão ‘até o final de 2024’ pode ser lida como uma estimativa de encerramento do ano, mas o valor exato combina duas ondas específicas e não é uma medição de dezembro de 2024.	pp. 6–7	8–9	Section 3, first and second paragraphs; Figure 1a title and notes	evidence_pages/ROW-0001.pdf	Identificar explicitamente as ondas de agosto e novembro de 2024, em vez de atribuir o percentual ao encerramento do ano.	false	NARROW_CLAIM
ISS-ROW-0001-04	ROW-0001	CLM-001	bick_rapid_2024	CIT-001	PDF_VERSION_MISMATCH	MINOR	Estima-se que 32,1% dos trabalhadores dos Estados Unidos já integravam ferramentas de IA às suas rotinas até o final de 2024.	O arquivo armazenado é o Federal Reserve Bank of St. Louis Working Paper 2024-027F, revisão de 27 de outubro de 2025, com o mesmo título, autores e DOI do registro.	O registro BibLaTeX reproduzido identifica o trabalho como de 2024 e número 2024-027, enquanto o PDF armazenado se apresenta como revisão 2024-027F de 2025 e sugere citação com ano 2025.	front cover and title page (unnumbered)	1–2	Cover metadata table and title-page date	evidence_pages/ROW-0001.pdf	Atualizar o registro bibliográfico para a revisão 2024-027F de 2025 ou anexar a versão de 2024 que o registro pretende citar.	false	MANUAL_REVIEW
ISS-ROW-0002-01	ROW-0002	CLM-002	bick_rapid_2024	CIT-001	PDF_VERSION_MISMATCH	MINOR	O ritmo de adoção de ferramentas de IA nos Estados Unidos era comparável ao do computador pessoal na década de 1980.	A revisão armazenada sustenta diretamente que a adoção de IA generativa no trabalho avançou em ritmo semelhante ao da adoção de PCs no trabalho, comparando 2024 a 1984.	A entrada BibLaTeX identifica o trabalho como Bick, Blandin e Deming (2024), Working Paper 2024-027, mas o PDF armazenado é a revisão 2024-027F de outubro de 2025 e traz 27 de outubro de 2025 como data do manuscrito e 2025 na citação sugerida. A divergência bibliográfica não altera o suporte substantivo desta afirmação.	capa e folha de rosto sem numeração; pp. 9–10	1–2, 11–12	Capa e folha de rosto; Section 3.2, Figure 2 e primeiro parágrafo da p. 10	evidence_pages/ROW-0002.pdf	Manter a afirmação substantiva e alinhar a entrada bibliográfica à revisão efetivamente armazenada, registrando a versão de outubro de 2025. Para máxima precisão, explicitar que a comparação se refere à adoção de IA generativa no trabalho.	false	KEEP
ISS-ROW-0003-01	ROW-0003	CLM-003	bick_rapid_2024	CIT-001	PDF_VERSION_MISMATCH	MAJOR	A difusão das ferramentas de IA nos Estados Unidos era superior, em termos populacionais, à da internet.	A revisão armazenada sustenta diretamente a comparação substantiva entre a adoção geral da IA generativa e a da internet.	A entrada BibLaTeX congelada registra o Working Paper 2024-027 com data 2024, mas a capa do PDF armazenado identifica o Working Paper 2024-027F, com revisão em outubro de 2025, e a folha de rosto fixa a data em 27 de outubro de 2025.	front matter (unnumbered) and p. 9	1-2, 11	Cover and title page; Section 3.2, Figure 2 and accompanying paragraph	evidence_pages/ROW-0003.pdf	Reconciliar a referência e o anexo: atualizar os metadados bibliográficos para o Working Paper 2024-027F, revisão de 27 de outubro de 2025, ou substituir o PDF pela versão exata descrita na entrada congelada.	false	MANUAL_REVIEW
ISS-ROW-0004-01	ROW-0004	CLM-004	bick_rapid_2024	CIT-001	AUTHOR_INFERENCE_UNSUPPORTED	MINOR	A combinação do alcance ocupacional com a velocidade de difusão justifica tratar essa geração de inteligência artificial como um problema econômico, e não apenas tecnológico.	O texto principal sustenta a prevalência entre trabalhadores, a comparação da velocidade de adoção com o computador pessoal, a discussão de efeitos macroeconômicos e o potencial de disrupção da genAI.	A fonte não formula explicitamente o contraste segundo o qual essa combinação justifica tratar a genAI como um problema econômico, e não apenas tecnológico. Essa é uma síntese interpretativa razoável, mas pertence ao autor da dissertação e deve ser sinalizada como tal.	Main-text pp. 1–2	3–4	Section 1 (Introduction)	evidence_pages/ROW-0004.pdf	Diante desse alcance entre trabalhadores e da rapidez de difusão, esta dissertação trata a genAI como um fenômeno de relevância econômica, além de tecnológica.	false	REWRITE_CLAIM
ISS-ROW-0004-02	ROW-0004	CLM-004	bick_rapid_2024	CIT-001	PDF_VERSION_MISMATCH	MAJOR	A combinação do alcance ocupacional com a velocidade de difusão justifica tratar essa geração de inteligência artificial como um problema econômico, e não apenas tecnológico.	A capa do arquivo armazenado identifica Federal Reserve Bank of St. Louis Working Paper 2024-027F, com revisão em outubro de 2025 e citação sugerida datada de 2025.	O registro BibLaTeX congelado identifica o relatório como 2024-027 e atribui data de 2024, enquanto o PDF efetivamente auditado é a revisão 2024-027F, datada de 27 de outubro de 2025. O conteúdo foi julgado na versão armazenada, mas a identidade bibliográfica precisa ser reconciliada.	Cover (unnumbered)	1	Cover metadata block	evidence_pages/ROW-0004.pdf	Alinhar o registro BibLaTeX à revisão 2024-027F de 27 de outubro de 2025 ou substituir o anexo pela versão 2024-027 correspondente ao registro congelado.	false	MANUAL_REVIEW
ISS-ROW-0005-01	ROW-0005	CLM-005	eloundou_gpts_2023	CIT-002	GENERALIZATION_OVERCLAIM	MAJOR	A metodologia de construção de índices de exposição baseados em tarefas consolidou-se a partir do GPT Exposure.	Eloundou et al. propõem um método novo que emprega o GPT-4 para avaliar tarefas, combina classificações humanas e do modelo e agrega os rótulos em três medidas de exposição.	A fonte documenta a proposta metodológica inicial, mas não demonstra sua consolidação posterior na literatura nem estabelece que a metodologia de índices de exposição baseados em tarefas tenha se originado nesse artigo. A expressão ‘consolidou-se a partir’ amplia a evidência para uma trajetória histórica e uma difusão que exigem fonte posterior.	sem paginação impressa (páginas físicas 6–8)	6–8	Final paragraph before Section 3; Section 3.3, ‘Exposure’; Table 2; ‘GPT-4 Ratings’ and ‘We construct three primary measures’ paragraphs	evidence_pages/ROW-0005.pdf	Para usar apenas esta fonte, escrever: ‘Eloundou et al. (2023) propõem uma rubrica de exposição baseada em tarefas que combina avaliações humanas e classificações do GPT-4 e agrega os rótulos em medidas de exposição ocupacional.’ Para manter ‘consolidou-se a partir’, acrescentar uma fonte posterior que documente adoção ou difusão na literatura.	true	ADD_SOURCE
ISS-ROW-0007-01	ROW-0007	CLM-007	brynjolfsson_canaries_2025	CIT-003	GENERALIZATION_OVERCLAIM	MAJOR	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	Com dados administrativos dos Estados Unidos, a fonte documenta quedas de emprego concentradas em trabalhadores de 22 a 25 anos nas ocupações mais expostas à IA e estabilidade ou crescimento para trabalhadores mais experientes.	A fonte é um único estudo do mercado de trabalho dos Estados Unidos; ela não examina o Reino Unido nem compara resultados entre países ou estudos. Portanto, não estabelece, por si só, a convergência geográfica afirmada.	pp. 3–4, 26–27	3–4, 26–27	Introduction, pp. 3–4; Section 5 (Conclusion), pp. 26–27	evidence_pages/ROW-0007.pdf	Atribuir esta fonte apenas à evidência dos Estados Unidos e apresentar separadamente as fontes referentes ao Reino Unido antes de formular qualquer síntese de convergência.	false	NARROW_CLAIM
