pdf_page_index	text
1	WORKING PAPER · NO. 2025-56 Large Language Models, Small Labor Market Effects Anders Humlum and Emilie Vestergaard MAY 2025 (UPDATED SEPTEMBER 2025) 5757 S. University Ave. Chicago, IL 60637 Main: 773.702.5599 bfi.uchicago.edu
2	Large Language Models, Small Labor Market Effects∗ Anders Humlum† Emilie Vestergaard‡ September 22, 2025 Abstract We examine the early labor market impacts of AI chatbots by linking large-scale, representative adoption surveys to administrative labor records in Denmark. Using difference-in-differences, we estimate precise null effects on earnings and recorded hours at both the worker and workplace levels, ruling out effects larger than 2% two years after. These null results hold for intensive users, early adopters, workplaces with substantial investments, workers reporting large gains, flexible-pay occupations, and early-career jobs. Adoption is linked to occupational switching and task restructuring, but without net changes in hours or earnings. Our findings challenge narratives of imminent disruption from Generative AI. ∗ We thank David Autor, Marianne Bertrand, Jacob Conway, Matthew Notowidigdo, Lindsey Raymond, Chad Syverson, and seminar participants at the 2025 NBER SI: Digital Economics and Artificial Intelligence, the 2025 SED Meeting: Automation, the Becker Friedman Institute, Chicago Booth, the Chicago Fed, ETUI, INSEAD, Microsoft Research, and MIT Sloan FutureTech for helpful comments and suggestions. This project received financial support from the Center for Applied Artificial Intelligence and the Polsky Center for Entrepreneurship and Innovation. Caspar Ringhof provided excellent research assistance. † University of Chicago, Booth School of Business, and NBER, anders.humlum@chicagobooth.edu ‡ University of Copenhagen, Department of Economics, emilievestergaard@econ.ku.dk 1
3	The emergence of AI chatbots marks the rise of Generative Artificial Intelligence (AI). By some measures, these technologies are already living up to the immense hype: AI chatbots have seen the fastest worker take-up of any new technology (Bick, Blandin and Deming, 2025; Humlum and Vestergaard, 2025), randomized controlled trials (RCTs) demonstrate substantial productivity gains for users (Brynjolfsson, Li and Raymond, 2025; Noy and Zhang, 2023), and case studies indicate notable effects on online labor market platforms (Teutloff et al., 2025).1 Yet even as Generative AI tools have become widespread, substantial disagreement remains about their labor market effects, with forecasts ranging from dramatic disruption within a few years (Axios, 2025) to negligible impacts over a decade (Acemoglu, 2025).2 This paper provides large-scale, representative evidence on the early labor market impacts of AI chatbots. In collaboration with Statistics Denmark, we conducted a series of extensive surveys of the adoption of AI chatbots in 11 highly exposed occupations, linking responses to administrative labor market records.3 Our latest survey round, conducted in late 2024, includes responses from 25,000 workers across 7,000 workplaces. Leveraging this unique data link, we provide the first comprehensive evidence on how AI chatbot adoption has affected labor market outcomes at both the worker and workplace levels. To set the stage, we first describe the landscape of AI chatbot adoption. While chatbots are widespread, many otherwise similar workplaces and workers have taken markedly different paths: some employers still do not encourage use; others promote it with guidelines, enterprise tools, and training. Likewise, even among otherwise similar workers under identical policies, usage varies from none to daily. This rich variation—across both workplaces and workers—offers an opportunity to study how chatbot adoption relates 1 These effects on productivity and platform demand are remarkable in both magnitude—ranging from 15% to 50%—and speed, materializing within a few months. 2 Anthropic CEO Dario Amodei recently predicted that AI could eliminate half of all entry-level white-collar jobs, driving unemployment to 10-20% within the next one to five years (Axios, 2025). In contrast, Acemoglu (2025) predicts that AI will increase annual TFP growth by less than 0.07 percentage points over the next ten years. 3 Our list of occupations is accountants, customer support specialists, financial advisors, HR profession- als, IT support specialists, journalists, legal professionals, marketing professionals, office clerks, software developers, and teachers. 1
4	to labor market outcomes. To examine these outcomes, we link our surveys to administrative records on monthly earnings, hours worked, and occupations through December 2024—two years after the launch of ChatGPT. Using a difference-in-differences framework, we compare adopters and non-adopters before and after the arrival of AI chatbots, estimating impacts at both the worker and workplace levels. We begin by analyzing workers who use AI chatbots. If these tools enhance individual productivity, a natural question is whether such gains translate into higher earnings. Our first key finding is that AI chatbots have had minimal overall impact on workers who use them. Difference-in-differences estimates for earnings, recorded hours, and wages are all precisely estimated zeros, with confidence intervals ruling out average effects larger than 2%. These null results hold even for workers who use the tools daily, report substantial productivity gains, perform new AI-related tasks, and work in firms that encourage and invest in chatbots. Moreover, we find no significant effects in any of our 11 occupations, including those with flexible, decentralized wage-setting. While chatbots have not led to earnings gains for users, we find a clear link to occupational mobility: adopters are more likely to have transitioned into new occupations after the arrival of AI chatbots. This aligns with experimental evidence that chatbots are especially beneficial for workers with less prior expertise (Brynjolfsson, Li and Raymond, 2025; Noy and Zhang, 2023), and supports the view that Generative AI helps workers extend into new occupations (Autor, 2024). However, the effects are modest—amounting to 4% of full-time equivalent employment—and do not result in net gains in hours or earnings. Next, we zoom out to the workplace level and examine whether employers that encourage and invest in AI chatbots have experienced differential changes in labor demand. If chatbots substitute for labor, they could lead to slower hiring or trigger layoffs; if they enhance productivity, firms might expand hiring. Yet we find no such differences: workplaces that encourage chatbot use show no differential changes in employment or 2
5	wage bills, job creation or destruction, or composition of hires or separations, including early-career workers. These null results hold across occupations and persist even where encouragement is paired with enterprise chatbot solutions and training. While internal reorganization is underway, with workers reporting new AI-related tasks—especially in workplaces with chatbot initiatives—these changes have not translated into measurable differences in earnings or hours. Overall, our findings challenge narratives of imminent labor market disruption from Generative AI. While we capture early impacts, two pieces of evidence suggest the limited labor market effects may persist in the foreseeable future. First, our dynamic difference-in-differences estimates remain flat throughout the two-year study period. Second, even among “AI front-runners”—workplaces that have adopted the full suite of proactive chatbot initiatives and workers who adopted early, use the tools daily, or report substantial benefits—the results remain null. Contributions to the Literature. The key contribution of this paper is to link large-scale, representative data on AI chatbot adoption to labor market outcomes in administrative records. This linkage brings critical nuance to existing evidence on how Generative AI relates to labor market outcomes. First, a contemporaneous set of studies uses exposure measures—technical assessments of which job tasks are feasible to assist with AI chatbots—to examine whether exposed occupations have fared differently after the release of ChatGPT.Brynjolfsson, Chandar and Chen (2025) document a sharp decline in employment of early-career workers in AI-exposed occupations in the United States since 2022, suggesting that Generative AI may already be disrupting labor markets. Our key contribution is to split these employment trends by whether firms have actually adopted Generative AI. While we replicate the U.S. pattern of declining early-career jobs in exposed occupations in Denmark, our difference-in-differences analysis reveals that the declines are not driven by firms adopting AI chatbots. Second, a small but growing number of studies field worker-level surveys on the 3
6	adoption of Generative AI (Bick, Blandin and Deming, 2025; Hartley et al., 2025; Humlum and Vestergaard, 2025). While our adoption patterns align with these studies, our key contribution is to link survey responses to administrative data on labor market outcomes, thereby moving the analysis beyond self-reported effects.4 Third, while several experiments document sizable productivity gains from chatbot use on specific tasks (Brynjolfsson, Li and Raymond, 2025; Cui et al., 2024; Dillon et al., 2025; Noy and Zhang, 2023), it remains unclear how these gains translate into workers’ earnings and hours, as high-quality microdata on such outcomes are rarely available. While our occupation-wide surveys show more modest gains—about 3% time savings for the typical user—we still find null results even for workers and workplaces reporting substantial productivity improvements. Nonetheless, we find a clear association between adoption and occupational mobility, aligning with experimental evidence that chatbots provide greater benefits to workers with less prior expertise. Fourth, we provide the first representative account of employer adoption of AI chatbots. Whereas surveys on traditional “pre-generative” AI show relatively low uptake (Acemoglu et al., 2022; Bonney et al., 2024), we find that most employers in exposed occupations have now embraced AI chatbots. Alternative firm-level data on Generative AI come from online job postings, where adoption is proxied by the listing of Generative AI skills in job descriptions (Lichtinger and Hosseini Maasoum, 2025; Schubert, 2025). While job postings indicate notable changes in such proxies after ChatGPT’s release, it is less clear how well they capture employees’ actual use of tools, especially non-specialized ones like chatbots. We address this gap by surveying workers on their chatbot use and employer initiatives, linking responses to administrative firm data. Although employer chatbot initiatives have not led to net changes in earnings or hours, they strongly predict the emergence of new AI-related job tasks (Acemoglu and Restrepo, 2018a; Autor et al., 2024). 4 Most recently, the AI labs have started to release descriptive statistics on their internal usage data (Chatterji et al., 2025; Handa et al., 2025; Tomlinson et al., 2025). A complementary strength of our survey data is that we can capture the full range of AI chatbot products, link responses to external data sets (e.g., administrative labor market records), and sample both users and non-users from a well-defined population frame. 4
7	Finally, the null results across our 11 exposed occupations stand in contrast to some evidence from online freelance platforms, showing sharp declines in demand for tasks like writing and translation after ChatGPT’s release (Teutloff et al., 2025). Yet while some freelance tasks are highly substitutable with chatbots, our survey shows that most work—even in exposed occupations—is not, and that workers often reallocate saved time to other tasks. A key advantage of our administrative data is that it captures workers’ total earnings and hours, regardless of such reallocations. 1 Data and Institutional Setting Denmark offers an ideal setting for examining the labor market impacts of Generative AI. First, Danish workers have been at the forefront of Generative AI adoption, with take-up rates comparable to those in the United States (Bick, Blandin and Deming, 2025; Humlum and Vestergaard, 2025; RISJ, 2024). Second, Denmark’s labor market is highly flexible, with low hiring and firing costs— similar to those of the U.S.—which allow firms and workers to adjust employment in response to technological change (Botero et al., 2004; Dahl, Le Maire and Munch, 2013). Appendix C.1 details wage-setting in our occupations, showing that most workers engage in annual negotiations with their employers, providing regular opportunities to adjust earnings and hours in response to AI chatbot adoption. Third, Denmark has exceptional infrastructure for tracking the adoption of new technologies. In particular, every Dane has a digital mailbox that Statistics Denmark can use to distribute survey invitations. We use this infrastructure to conduct two large-scale, representative surveys on AI chatbot adoption. Finally, our partnership with Statistics Denmark allows us to link these surveys to administrative matched employer-employee data, providing a unique opportunity to analyze labor market effects such as changes in earnings, working hours, and job mobility. Taken together, these factors make Denmark a prime setting for observing early labor market effects of Generative AI, with insights that may extend to other advanced 5
8	economies—including the U.S.—and an unparalleled data infrastructure to assess these impacts rigorously. 1.1 Survey Data This paper builds on two large-scale surveys on AI chatbot adoption, conducted in November–December of 2023 and 2024. The first survey provided the dataset for Humlum and Vestergaard (2025), which documented adoption patterns of ChatGPT, the dominant AI chatbot. This paper extends that dataset in two key ways. First, we link survey responses to administrative labor market data after the introduction of ChatGPT, enabling us to assess impacts on earnings, hours worked, and job mobility. Second, we introduce a second survey round in 2024 that (i) broadens the scope to include all AI chatbots, including custom versions, (ii) provides extensive data on employer-led adoption initiatives, and (iii) offers deeper insights into workers’ actual usage and perceived benefits of these tools. Appendix J outlines the 2024 survey, which is the primary focus of this paper. 1.1.1 Occupations Our surveys focus on 11 occupations that are highly exposed to AI chatbots: accountants, customer support specialists, financial advisors, HR professionals, IT support specialists, journalists, legal professionals, marketing professionals, office clerks, software developers, and teachers. These occupations were selected based on three criteria: (i) they have at least one O*NET job task where AI chatbots can save time, as measured by the “Direct Exposure (E1)” metric from Eloundou et al. (2024); (ii) they are captured by a well-defined set of ISCO codes; and (iii) they contain a sufficient number of workers for statistical analysis. Humlum and Vestergaard (2025) details the selection and empirical measurement of these occupations. Together, these 11 occupations comprise the segments of the labor market where the impacts of AI chatbots are likely to emerge first and most strongly. Our analysis focuses on this set. 6
9	1.2 Register Data We use several administrative registers at Statistics Denmark. Our matched employer- employee data come from the Employment Statistics of Employees (BFL), which records earnings, hours, occupation, and industry for all job spells in Denmark on a monthly basis from 2008 onward. This register is compiled by the Danish tax authorities and subsequently harmonized by Statistics Denmark. We complement this with demographics data on individuals from the Population Register (BEF), and wealth information from the Personal Wealth Register (FORMPERS). Finally, we draw firm financial data (e.g., annual revenue and employment) from the Firm Statistics (FIRM) Register. Because our survey was sent to workers identified in the register data by their (deidentified) social security numbers (pnr), all respondents can be matched to the register data. While labor market data in the BFL register are updated continuously, we only have firm financial data up to 2022. For that reason, we focus our effect analyses on labor market outcomes. 1.3 Survey Sample We invited 115,000 workers to participate in each of our survey rounds in 2023 and 2024. The registers at Statistics Denmark enabled us to target these invitations by occupation and workplace. In particular, for each of our 11 occupations, we conducted a workplace-based sampling procedure, first drawing a random set of workplaces within each occupation and then sampling all relevant workers at these workplaces. This sampling procedure maximizes the statistical power of the workplace-level analyses while keeping our sample representative. Appendix B.1 details the sampling protocol. We sent three reminders per survey round, two by e-mail and one by text. The invitation letters are in Appendix I. We received about 25,000 valid and complete responses to each survey. Appendix B.2 details our survey response rates. While our main analysis focuses on responses from the 2024 round, we use the 2023 round to examine early adopters. 7
10	1.3.1 Representativeness and Response Quality Appendix B.2.1 conducts several checks on the representativeness and quality of our survey responses. These analyses extend the checks in Humlum and Vestergaard (2025) to the 2024 survey round. First, we ensure that our sample represents the population based on observables, including age, gender, experience, earnings, and wealth. Second, following Dutz et al. (2025), we use randomized participation incentives to show that our findings are also balanced on workers’ latent willingness to participate in the survey. Finally, we cross-check that the survey responses align with variables that are also recorded in the administrative registers. 1.4 The Landscape of AI Chatbot Adoption By the end of 2024, employers and employees have taken clear positions on AI chatbots: adoption is widespread across all 11 exposed occupations, but strategies vary markedly within each. Appendix D provides detailed evidence on adoption and workers’ reported experiences, and Appendix A.1 develops a Roy-style adoption model to interpret these patterns. Here, we highlight the key points that set the stage for our analysis of labor market effects. Most employers now encourage chatbot use. As Figure 1 shows, 43% of workers are explicitly encouraged to use them, another 21% are allowed, and only 6% are prohibited. Employers also make tangible investments in chatbots: among encouraged workers, 39% have received training, 61% have access to an enterprise chatbot, and 29% have both.5 Many otherwise similar firms have adopted markedly different strategies. Observable firm characteristics (age, size, productivity, and ownership) explain only 1.3% of the within- occupation variation in encouragement—well below the 10.6% explained by occupation alone (Appendix D.1). Encouragement is associated with substantially higher adoption and reported benefits. Even without employer initiatives, 40% of workers have used chatbots at work and 6% 5 Among non-encouraged workers, 21% have access, 11% have training, and 4% have both. 8
11	use them daily. Despite this high baseline, Table 1 shows that encouragement raises these rates by 35 and 11 percentage points, respectively (Columns 1-2), and is consistently associated with higher reported time savings, improved quality, and enhanced creativity (Columns 3-6).6 By contrast, training and enterprise tools alone do little to increase daily use and are associated with smaller reported gains.7 For this reason, our subsequent analysis uses encouragement as the primary workplace treatment. AI chatbots are reshaping the nature of work. Among chatbot users with employer initiatives, about 12% report new tasks from chatbots (Table 1, Column 8). These tasks include both productive activities (e.g., content drafting, ideation) and non-productive ones (e.g., integration, compliance, oversight). Appendix B.3 classifies this new work using workers’ free-text descriptions. New tasks extend even to non-users (Column 10), signaling broader workplace transformations. Substantial variation in use and perceived effects persists even among similar workers facing identical employer policies. While reported productivity gains are modest on average (2.8% time savings for the typical user; Appendix D.3), some report saving more than an hour per day, alongside improvements in quality, creativity, and new tasks. Section 3 exploits this variation to test whether labor market impacts differ for those reporting larger effects. 1.4.1 Robustness of Employer Initiative Measures Before using our measures of employer initiatives in the main analysis, we assess their validity with a series of robustness checks. First, Appendix E.4 shows that all correlations with employer initiatives in Table 1 remain stable when controlling for firms’ characteristics and workers’ detailed task mixes within occupations. This ensures that differences across initiatives are not driven by firm age, size, or productivity, nor by variation in the types of tasks more amenable to 6 Appendix A.1 presents a Roy-style model of chatbot adoption to help interpret the estimates in Table 1 on how employer initiatives affect adoption and user-reported benefits. 7 As Appendix D discusses, training and enterprise tools for non-encouraged workers are likely designed to prevent misuse rather than to enhance productivity. 9
