pdf_page_index	text
1	Logs with zeros? Some problems and solutions∗ Jiafeng Chen arXiv:2212.06080v7 [econ.EM] 15 Nov 2023 Harvard Business School Department of Economics, Harvard University Jonathan Roth Department of Economics, Brown University November 15, 2023 Abstract When studying an outcome Y that is weakly-positive but can equal zero (e.g. earnings), researchers frequently estimate an average treatment effect (ATE) for a “log-like” transformation that behaves like logpY q for large Y but is defined at zero (e.g. logp1`Y q, arcsinhpY q). We argue that ATEs for log-like transformations should not be interpreted as approximating percentage effects, since unlike a percentage, they depend on the units of the outcome. In fact, we show that if the treatment affects the extensive margin, one can obtain a treatment effect of any magnitude simply by re-scaling the units of Y before taking the log-like transformation. This arbitrary unit-dependence arises because an individual-level percentage effect is not well-defined for individuals whose outcome changes from zero to non-zero when receiving treatment, and the units of the outcome implicitly determine how much weight the ATE for a log-like transformation places on the extensive margin. We further establish a trilemma: when the outcome can equal zero, there is no treatment effect parameter that is an average of individual-level treatment effects, unit-invariant, and point-identified. We discuss several alternative approaches that may be sensible in settings with an intensive and extensive margin, including (i) expressing the ATE in levels as a percentage (e.g. using Poisson regression), (ii) explicitly calibrating the value placed on the intensive and extensive margins, and (iii) estimating separate effects for the two margins (e.g. using Lee bounds). We illustrate these approaches in three empirical applications. ∗ An earlier draft of this paper was titled “Log-like? Identified ATEs defined with zero-valued outcomes are (arbitrarily) scale-dependent.” We thank Isaiah Andrews, Kirill Borusyak, Jonathan Cohn, Amy Finkelstein, Edward Glaeser, Nick Hagerty, Peter Hull, Jetson Leder-Luis, Erzo Luttmer, Giovanni Mellace, John Mullahy, Edward Norton, David Ritzwoller, Brad Ross, Pedro Sant’Anna, Jesse Shapiro, Neil Thakral, Casey Wichman, and seminar participants at BU, Georgetown, Harvard/MIT, Southern Denmark University, Vanderbilt, Stanford, UC-Irvine, UCLA, UCSD, and the SEA annual conference for helpful comments and suggestions. Bruno Lagomarsino provided superb research assistance. 1
2	1 Introduction When the outcome of interest Y is strictly positive, researchers often estimate an average treatment effect (ATE) in logs of the form EP rlogpY p1qq ´ logpY p0qqs, which has the appealing feature that its units approximate percentage changes in the outcome.1 A practical challenge in many economic settings, however, is that the outcome may sometimes equal zero, and thus the ATE in logs is not well-defined. When this is the case, it is common for researchers to estimate ATEs for alternative `? ˘ transformations of the outcome such as logp1`Y q or arcsinhpY q “ log 1 ` Y 2 ` Y , which behave similarly to logpY q for large values of Y but are well-defined at zero. The treatment effects for these alternative transformations are typically interpreted like the ATE in logs, i.e. as (approximate) average percentage effects. For example, among the 11 papers published in the American Economic Review since 2018 that interpret a treatment effect for arcsinhpY q, all but one interpret the result as a percentage effect or elasticity.2 The main point of this paper is that identified ATEs that are well-defined with zero-valued out- comes should not be interpreted as percentage effects, at least if one imposes the logical requirement that a percentage effect does not depend on the baseline units in which the outcome is measured (e.g. dollars, cents, or yuan). Our first main result shows that if mpyq is a function that behaves like logpyq for large values of y but is defined at zero, then the ATE for mpY q will be arbitrarily sensitive to the units of Y . Specifically, we consider continuous, increasing functions mp¨q that approximate logpyq for large values of y in the sense that mpyq{ logpyq Ñ 1 as y Ñ 8. The common logp1 ` yq and arcsinhpyq transformations satisfy this property. We show that if the treatment affects the extensive margin (i.e. P pY p1q “ 0q ‰ P pY p0q “ 0q), then one can obtain any magnitude for the ATE for mpY q by rescaling the outcome by some positive factor a. It is therefore inappropriate to interpret the ATE for mpY q as a percentage effect, since a percentage is inherently a unit-invariant quantity, while the ATE for mpY q depends arbitrarily on the units of Y . The intuition for this result is that a “percentage” treatment effect is not well-defined for an individual for whom treatment increases their outcome from zero to a positive value. For example, in our application to Carranza et al. (2022) in Section 5, the treatment induces more people to have positive hours worked. The percentage change in hours is then not well-defined for individuals who would work positive hours under the treatment condition but zero hours under the control condition. Any average treatment effect that is well-defined with zero-valued outcomes must therefore implicitly assign a value for a change along the extensive margin. For logarithm-like transformations mp¨q, the importance of the extensive margin is determined implicitly by the units of Y . To see why this is the case, consider an individual who works positive hours only if they are treated, so that Y p1q ą 0 and Y p0q “ 0. Their treatment effect for the transformed outcome mpY q is mpY p1qq ´ mp0q, which becomes larger if the units of Y are re-scaled by some a ą 1, e.g. if we convert from weekly hours That is, logpY p1q{Y p0qq « Y p1q´Y 1 Y p0q p0q when Y p1q{Y p0q « 1. 2 We found 17 papers overall using arcsinhpY q as an outcome variable, of which 11 interpret the units; see Appendix Table 1. 2
3	worked to yearly hours worked. When the treatment has an extensive margin effect, the ATE for mpY q can thus be made large in magnitude by re-scaling Y by a large factor a. By contrast, if we re-scale Y by a small factor a « 0, such that the resulting outcomes are close to zero, then mpY q « mp0q, and so the ATE for mpY q will be small. By varying the units of the outcome, we can thus obtain any magnitude for the ATE for mpY q. Our theoretical results also imply that if we re-scale the units of the outcome by a finite factor a ą 0, the ATE for a log-like transformation mpY q will change by approximately logpaq times the effect of the treatment on the extensive margin. This result implies that sensitivity analyses that explore how the estimated ATE for mpY q changes with finite changes in the units of Y —or equivalently, how the ATE for logpc ` Y q changes with the constant c—are essentially indirectly measuring the size of the treatment effect on the extensive margin. We illustrate the practical importance of these results by systematically replicating recent papers published in the American Economic Review that estimate treatment effects for arcsinh- transformed outcomes. In line with our theoretical results, we find that treatment effect estimates using arcsinhpY q are sensitive to changes in the units of the outcome, particularly when the exten- sive margin effect is large. In half of the papers that we replicated, multiplying the original outcome by a factor of 100 (e.g. converting from dollars to cents) changes the estimated treatment effect by more than 100% of the original estimate. We obtain similar results using logp1 ` Y q instead of arcsinhpY q. What, then, are alternative options in settings with zero-valued outcomes? Our second main result delineates the possibilities. We show that when there are zero-valued outcomes, there is no treatment effect parameter that satisfies all three of the following properties: (a) The parameter is an average of individual-level treatment effects, i.e. takes the form θg “ EP rgpY p1q, Y p0qqs, where g is increasing in Y p1q. (b) The parameter is invariant to re-scaling of the units of the outcome (i.e. gpy1 , y0 q “ gpay1 , ay0 q). (c) The parameter is point-identified from the marginal distributions of the potential outcomes. This “trilemma” implies that any target parameter that is well-defined with zero-valued outcomes must necessarily jettison at least one of the three properties above. Of course, the choice of target parameter should depend on the economic question of interest. Which of the three properties the researcher prefers to forgo will thus generally depend on their context-specific motivation for using a log-like transformation in the first place. To that end, Section 4 highlights a menu of parameters that may be attractive depending on the researcher’s core motivation. We first consider the case where the researcher is interested in obtaining a causal parameter with an intuitive “percentage” interpretation. In this case, it may be natural to consider a parameter outside of the class of individual-level averages of the form EP rgpY p1q, Y p0qqs. p1q´Y p0qs One prominent option is θATE% “ ErYErY p0qs , the ATE in levels as a percentage of the baseline mean, which in many cases can be estimated via Poisson regression (Santos Silva and Tenreyro, 3
4	2006; Wooldridge, 2010). The researcher might also consider alternative normalizations of the outcome that lead to intuitive units, e.g. expressing the outcome in per-capita units or converting it to a rank with respect to some reference distribution. Next, we suppose the researcher would like to capture concave preferences over the outcome; for example, the researcher might consider income gains to be more meaningful for individuals who are initially poor. In this case, it is natural to directly specify how much the researcher values a change along the extensive margin relative to the intensive margin—e.g., that a change from 0 to 1 is worth an x percent change along the intensive margin. Finally, suppose the researcher is interested in separately understanding the effects of the treatment along both the intensive and extensive margins. In this case, the researcher may target separate parameters for the two margins—e.g., ErlogpY p1qq ´ logpY p0qq | Y p1q ą 0, Y p0q ą 0s, the average effect in logs for individuals with positive outcomes under both treatments, captures the intensive margin. Separate effects for the two margins are not generally point-identified, but can be can be bounded using the method in Lee (2009) or point-identified with additional assumptions (Zhang et al., 2008, 2009). Section 5 provides a blueprint for estimating these alternative parameters in practice by apply- ing our recommended approaches to three recent empirical applications, including a randomized controlled trial (RCT) (Carranza et al., 2022), a difference-in-differences (DiD) setting (Sequeira, 2016), and an instrumental variables (IV) setting (Berkouwer and Dean, 2022). Related work. The use of log-like transformations for dealing with zero-valued outcomes has a long history. The use of the logp1 ` Y q transformation dates to at least Williams (1937), while Bartlett (1947) considers both the logp1 ` Y q and inverse hyperbolic sine transformations.3 More recent papers by Burbidge et al. (1988) and Bellemare and Wichman (2020), among others, provide results for arcsinhpY q that are frequently cited in economics papers using this transformation.4 Previous work has illustrated in simulations or selected empirical applications that results for particular transformations such as logp1 ` Y q or arcsinhpY q may be sensitive to the units of the outcome (Aihounton and Henningsen, 2021; de Brauw and Herskowitz, 2021). In concurrent work, Mullahy and Norton (2023) show theoretically that the marginal effects from linear regressions using logp1 ` Y q or arcsinhpY q are sensitive to the scaling of the outcome, with the the limits of the marginal effects approaching those of either a levels regression or a (normalized) linear probability model, depending on whether the units are made small or large. We complement this work by proving that scale-dependence is a necessary feature of any identified ATE that is well-defined with zero-valued outcomes, and that the dependence on units is arbitrarily bad for transformations that approximate logpY q for large values of Y . Thus, it is not possible to fix the issues with logp1 ` Y q or arcsinhpY q by choosing a “better” transformation or using a different estimator. We also complement previous empirical examples by providing a systematic analysis of the sensitivity to scaling for papers in the American Economic Review using arcsinhpY q. 3 ? Bartlett (1947) proposes using arcsinhp Y q. 4 MacKinnon and Magee (1990) propose transformations of the form arcsinhpyζq{ζ, where ζ is estimated by as- suming arcsinhpyζq{ζ is normally distributed conditional on covariates. 4
5	Other work has considered the interpretation of regressions using arcsinhpY q or logp1 ` Y q from the perspective of structural equations models, as opposed to the potential outcomes model consid- ered here. This literature has reached diverging conclusions: For example, Bellemare and Wichman (2020) conclude that coefficients from arcsinhpY q regressions have an interpretation as a semi- elasticity, while Cohn et al. (2022) conclude that these estimators are inconsistent and advocate for Poisson regression instead. Thakral and Tô (2023) show that the semi-elasticities implied by OLS regressions using arcsinhpY q or logp1 ` Y q are sensitive to scale; they recommend instead the use of power functions Y k , which they show are the only transformations (besides log) for which the implied semi-elasticities for OLS regressions are scale-invariant. In Appendix C, we show that these diverging conclusions stem from the fact that the structural equations considered in these papers implicitly impose different restrictions on the potential outcomes—some of which are incompati- ble with zero-valued outcomes—and consider different target causal parameters. This highlights the value of a potential outcomes framework such as ours, which makes transparent what causal parameters are identifiable and what properties they can have. Finally, there is a long history in econometrics of explicitly modeling the intensive and extensive margins in settings with zero-valued outcomes, such as Tobin (1958) and Heckman (1979). Broadly speaking, these methods impose parametric structure on the joint distribution of the potential outcomes, which allows one to separate out the intensive and extensive margin effects of a treatment (see Appendix C for technical details). Of course, the parametric restrictions underlying these approaches may often be difficult to justify in practice, which perhaps has contributed to the growth in the use of log-like transformations in place of approaches that explicitly model the extensive margin. Our paper shows that the presence of an extensive margin should not simply be ignored by taking a log-like transformation. It also clarifies what parameters can be learned in such cases without imposing restrictions on the joint distribution of the potential outcomes. 1.1 Setup and notation Let D P t0, 1u be a binary treatment and let Y P r0, 8q be a weakly positively-valued outcome.5 We assume that Y “ DY p1q ` p1 ´ DqY p0q, where Y p1q and Y p0q are respectively the potential outcomes under treatment and control. We suppose that in some (sub-)population of interest, pY p1q, Y p0qq „ P for some (unknown) joint distribution P . We denote the marginal distribution of Y pdq under P by PY pdq for d “ 0, 1. We assume that neither PY p0q nor PY p1q is a degenerate distribution at zero. 2 Sensitivity to scaling for transformations that behave like logpY q We first consider average treatment effects of the form θ “ EP rmpY p1qq´mpY p0qqs for an increasing function m. We note that θ corresponds to the ATE among the (sub-)population indexed by P ; 5 The arcsinh transformation is sometimes used in settings where Y can be negative. We impose that Y P r0, 8q, and thus do not consider this case. See Appendix B.2 for extensions of our results to settings with continuous treatments. 5
6	if P refers to the sub-population of compliers for an instrument, for instance, then θ is the local average treatment effect (LATE), rather than the ATE in the full population. We are interested in how θ changes if we change the units of Y by a factor of a. That is, how does θpaq “ EP rmpaY p1qq ´ mpaY p0qqs depend on a? Setting a “ 100, for example, might correspond with a change in units between dollars and cents. Of course, if Y is strictly positive and mpyq “ logpyq, then θpaq is the ATE in logs and does not depend on the value of a. We consider “log-like” functions mpyq that are well-defined at zero but behave like logpyq for large values of y, in the sense that mpyq{ logpyq Ñ 1 as y Ñ 8. This property is satisfied by logp1 ` yq and arcsinhpyq, for example. Our first main result shows that if the treatment affects the extensive margin, then |θpaq| can be made to take any desired value through the appropriate choice of a. Proposition 1. Suppose that: 1. (The function m is continuous and increasing) m : r0, 8q Ñ R is a continuous, weakly in- creasing function. 2. (The function m behaves like log for large values) mpyq{ logpyq Ñ 1 as y Ñ 8. 3. (Treatment affects the extensive margin) P pY p1q “ 0q ‰ P pY p0q “ 0q. 4. (Finite expectations) EPY pdq r| logpY pdqq| | Y pdq ą 0s ă 8 for d “ 0, 1.6 Then, for every θ ˚ P p0, 8q, there exists an a ą 0 such that |θpaq| “ θ ˚ . In particular, θpaq is continuous with θpaq Ñ 0 as a Ñ 0 and |θpaq| Ñ 8 as a Ñ 8. Proposition 1 casts serious doubt on the interpretation of ATEs for functions like logp1 ` Y q or arcsinhpY q as (approximate) average percentage effects. While a percent (or log point) is entirely invariant to the units of the outcome, Proposition 1 shows that, in sharp contrast, the ATEs for these transformations are arbitrarily dependent on units. 2.1 Intuition for Proposition 1 Loosely speaking, the result in Proposition 1 follows from the fact that a “percentage” treatment effect is not well-defined for individuals who have Y p0q “ 0 but Y p1q ą 0.7 Any ATE that is well- defined with zero-valued outcomes must implicitly determine how much weight to place on changes along the extensive margin relative to proportional changes along the intensive margin. When mpY q behaves like logpY q for large values of Y , the importance of the extensive margin is implicitly determined by the units of Y . For intuition, suppose that we re-scale the outcomes so 6 This assumption simply ensures that EPY pdq r|mpaY pdqq| | Y ą 0s exists for all values of a ą 0. 7 See Delius and Sterck (2020) for an intuitive discussion of this difficulty in the context of the arcsinhp¨q transfor- mation. They write, “the concept of elasticity itself does not make sense with zeros” (p. 21). 6
7	"that the non-zero values of Y are very large. Then for an individual for whom treatment changes the outcome from zero to non-zero, the treatment effect will be very large, since mpY p1qq "" mpY p0qq “ mp0q. Extensive margin treatment effects thus have a large impact on the ATE when the values of Y are made large. By contrast, changing the units of Y does not change the importance of treatment effects along the intensive margin by much, since for Y p1q ą 0 and Y p0q ą 0, we have that mpY p1qq ´ mpY p0qq « logpY p1q{Y p0qq, which does not depend on the units of the outcome. To see the roles of the extensive and intensive margins more formally, for simplicity consider the case where P pY p1q “ 0, Y p0q ą 0q “ 0, so that, for example, everyone who has positive income without receiving a training also has positive income when receiving the training.8 Then, by the law of iterated expectations, we can write ErmpaY p1qq ´ mpaY p0qqs “ P pY p1q ą 0, Y p0q ą 0q E P rmpaY p1qq ´ mpaY p0qq | Y p1q ą 0, Y p0q ą 0s loooooooooooooooooooooooooooooooomoooooooooooooooooooooooooooooooon Intensive margin ` P pY p1q ą 0, Y p0q “ 0q E P rmpaY p1qq ´ mp0q | Y p1q ą 0, Y p0q “ 0s . loooooooooooooooooooooooooooomoooooooooooooooooooooooooooon Extensive margin When a is large, mpayq « logpayq for non-zero values of y, and thus the intensive margin effect in the previous display is approximately equal to EP rlogpY p1qq ´ logpY p0qq | Y p1q ą 0, Y p0q ą 0s, the treatment effect in logs for individuals with positive outcomes under both treatment and control. This, of course, does not depend on the scaling of the outcome. However, the extensive margin effect grows with a, since mpaY p1qq « logpaq ` logpY p1qq is increasing in a while mp0q does not depend on a. Thus, as a grows large, the ATE for mpaY q places more and more weight on the extensive margin effect of the treatment relative to the intensive margin. We can therefore make |θpaq| arbitrarily large by sending a Ñ 8. By contrast, if a « 0, then mpaY pdqq « 0 with very high probability, and thus the ATE for mpaY q is approximately equal to 0. It is worth emphasizing that the arbitrary scale-dependence described in Proposition 1 exists whenever the treatment affects the probability that the outcome is zero, regardless of whether the extensive margin is of direct economic interest or not.9 In some settings, the presence of zeros may correspond to a discrete economic choice (e.g. not participating in the labor market), and thus may be of direct interest. In other settings—for example, if the outcome is a yearly count of publications which is sometimes zero for idiosyncratic reasons—the extensive margin may be a “nuisance” rather than a direct economic object of interest.10 The result in Proposition 1 highlights that regardless of the source of the zeros, an ATE for a log-like transformation is not interpretable 8 A similar argument goes through without this restriction, but then there are two extensive margins, one for individuals with Y p1q ą 0 “ Y p0q, and the other for those with Y p0q ą Y p1q “ 0. 9 Without an extensive margin, ATEs for transformations mp¨q defined at zero still exhibit scale-dependence, though perhaps not arbitrarily so. See Section 3.1 below for further discussion. 10 One setting where nuisance zeros may arise is when the observed outcome Y is actually a mis-measured version of the true economic object of interest. For example, publications Y may be a noisy measure of true researcher productivity Y ˚ ą 0. One possible remedy in this setting is to model the measurement error to recover the treatment effect on Y ˚ rather than on Y . In a similar vein, Gandhi et al. (2023) models the measurement error in product shares in demand estimation, which are sometimes zero in finite samples. 7"
8	as a percentage, since the presence of the extensive margin effect makes it arbitrarily dependent on the units. Indeed, a percentage effect is not a well-defined for individuals moving from zero to non-zero outcomes. Whether the zeros correspond to a discrete economic choice or not will be relevant, however, when considering the choice of alternative target parameter, a topic we return to in Section 4 below. 2.1.1 Intuition for the special case of logp1 ` Y q We can also develop some intuition for Proposition 1 by considering the special case where mpyq “ logp1 ` yq. In that case, we have that „ ˆ ˙ 1 ` aY p1q θpaq “ Erlogp1 ` aY p1qq ´ logp1 ` aY p0qqs “ E log . (1) 1 ` aY p0q Note that $ ´ ¯ Y p1q ’ ’ ’log Y p0q if Y p1q ą 0, Y p0q ą 0 ’ ˙ ’ 0 if Y p1q “ 0, Y p0q “ 0 ˆ ’ 1 ` aY p1q & lim log “ aÑ8 1 ` aY p0q ’ ’8 if Y p1q ą 0, Y p0q “ 0 ’ ’ ’ ’ %´8 if Y p1q “ 0, Y p0q ą 0. We thus see that the term inside the expectation in (1) diverges to 8 for individuals with Y p1q ą 0, Y p0q “ 0, and likewise diverges to ´8 when Y p1q “ 0, Y p0q ą 0. If on average the extensive margin effect is positive, then there are more individuals for whom the limit is `8 rather than ´8, and thus (under appropriate regularity conditions) the ATE diverges to 8. Analogously, if the extensive margin effect is negative, then the ATE diverges to ´8. Hence, we see that the magnitude of the ATE for logp1 ` aY q diverges as a Ñ 8 when the average effect on the extensive margin is non-zero. By contrast, as a Ñ 0, logp1 ` aY pdqq Ñ logp1q “ 0 for both d “ 0 and d “ 1, and thus the treatment effect converges to 0. Proposition 1 shows that this dependence on units occurs for any log-like transformation, not just logp1 ` Y q, and thus this issue cannot be fixed by choosing a ? different log-like transformation (logpc ` Y q, arcsinhpY q, arcsinhp Y q, etc.) 2.2 Additional remarks and extensions Remark 1 (ATEs for logpc ` Y q). In some settings, researchers consider the ATE for logpc ` Y q and investigate sensitivity to the parameter c. Observe that logp1 ` aY q “ logpap1{a ` Y qq “ logpaq ` logp1{a ` Y q, and thus the ATE for logp1 ` aY q is equal to the ATE for logp1{a ` Y q. Hence, varying the constant term for logpc ` Y q is equivalent to varying the scaling of the outcome when using mpyq “ logp1 ` yq. Proposition 1 thus implies that if treatment affects the extensive margin, one can obtain any desired magnitude for the ATE for logpc ` Y q via the choice of c. In particular, the ATE for logpc ` Y q grows large in magnitude as c Ñ 0, and small as c Ñ 8. Remark 2 (Finite changes in scaling). Proposition 1 shows that any magnitude of |θpaq| can be achieved via the appropriate choice of a. How much does θpaq change for finite changes in the scaling 8
9	a? Proposition 4 in the appendix shows that the change in the ATE from multiplying the outcome by a large factor a is approximately logpaq times the treatment effect on the extensive margin,11 EP rmpaY p1qq ´ mpaY p0qqs “ pP pY p1q ą 0q ´ P pY p0q ą 0qq ¨ logpaq ` oplogpaqq. (2) Thus, the ATE for mpY q will tend to be more sensitive to finite changes in scale the larger is the extensive margin treatment effect. This implies that sensitivity analyses that assess how treatment effect estimates for mpY q change under finite changes in the units of Y —or equivalently, under finite changes of c in logpc ` Y q—are roughly equivalent to measuring the size of the extensive margin. Remark 3 (Extension to continuous treatments). We focus on ATEs for binary treatments for expo- sitional simplicity, although similar results apply with continuous treatments. In Appendix B.2, we show that when d is a continuous treatment, any treatment effect contrast that averages mpaY pdqq ş across possible values of d (i.e. a parameter of the form ωpdqErmpaY pdqs) is arbitrarily sensitive to scaling when there is an extensive margin effect. Remark 4 (Extension to OLS estimands). It is worth noting that the results in this section show that population ATEs for mpY q are sensitive to the units of Y . These results are about estimands, and thus any consistent estimator of the ATE for mpY q will be sensitive to scaling (at least asymp- totically). Thus, our results apply to ordinary least squares (OLS) estimators when they have a causal interpretation, but also to non-linear estimators such as inverse-probability weighting or doubly-robust methods. Nevertheless, given the prominence of OLS in applied work, and the fact that OLS is sometimes used for non-causal estimands, in Appendix B.3 we provide a result specif- ically on the scale-sensitivity of the population regression coefficient for a random variable of the form mpY q on an arbitrary random variable X. Our result shows that the coefficients on X will be arbitrarily sensitive to the scaling of Y when the coefficients of a regression of 1rY ą 0s on X are non-zero. Thus, the OLS estimand using a logarithm-like function on the left-hand side will be sensitive to scaling even when it does not have a causal interpretation. Remark 5 (Statistical significance). Equation (2) shows that P pY p1q ą 0q ´ P pY p0q ą 0q is the dominant term in θpaq for large a, which suggests that the t-statistic for an estimator of θpaq will generally converge to that for the analogous estimator of the extensive margin effect, P pY p1q ą 0q ´ P pY p0q ą 0q. Proposition 7 in the appendix formalizes this intuition when the treatment effects are estimated via OLS: As a is made large, the t-statistic for θ̂paq converges to that for the extensive margin estimate. In our empirical analysis of papers in the American Economic Review below, we find that indeed the t-statistics for estimates of the ATE using arcsinhpY q are typically close to those for the extensive margin effect. Remark 6 (When most values are large). Researchers often have the intuition that if most of the values of the outcome are large, then ATEs for transformations like logp1 ` Y q or arcsinhpY q will approximate elasticities, since mpY q « logpY q for most values of Y . Indeed, in an influential paper, Bellemare and Wichman (2020) recommend that researchers using the arcsinhpY q transformation 11 We say f paq “ opgpaqq if limaÑ8 |f paq{gpaq| “ 0. That is, as a Ñ 8, |f paq| grows strictly slower than |gpaq|. 9
10	should transform the units of their outcome so that most of the non-zero values of Y are large. The results in this section suggest—perhaps somewhat counterintuitively—that if one rescales the outcome such that the non-zero values are all large, the behavior of the ATE will be driven nearly entirely by the effect of the treatment on the extensive margin and not by the distribution of the potential outcomes conditional on being positive. Moreover, the rescaling can be chosen to generate any magnitude for the ATE if the treatment affects the extensive margin. Remark 7 (Zero extensive margin). Proposition 1 applies to settings where treatment has a non- zero effect on average on the extensive margin. This raises the question of whether the use of log-like transformations is justified in the absence of an extensive margin treatment effect. Our Proposition 3 below implies that the ATE for any log-like transformation will be sensitive to the units of the outcome for at least some distribution with strictly positive outcomes, but perhaps not arbitrarily so in the sense of Proposition 1 (see Section 3.1 for further discussion). Moreover, if one were confident that the extensive margin effect were exactly zero for all individuals, one could recover the ATE in logs for individuals with positive outcomes by simply dropping individuals with Y “ 0. The use of log-like transformations is thus somewhat difficult to justify even in settings without an extensive margin. 2.3 Empirical illustrations from the American Economic Review We illustrate the results in this section by evaluating the sensitivity to scaling of estimates using the arcsinhpY q transformation in recent papers in the American Economic Review (AER). In Novem- ber 2022, we used Google Scholar to search for “inverse hyperbolic sine” among papers published in the AER since 2018. We searched for papers using arcsinhpY q rather than logp1 ` Y q since the former are easier to find with a simple keyword search. Our search returned 17 papers that estimate treatment effects for an arcsinh-transformed outcome.12 Of these, 10 explicitly interpret the results as percentage changes or elasticities, and 6 of the remaining 7 do not directly interpret the units. See Appendix Table 1 for a list of the papers and relevant quotes. Of the 17 total papers using arcsinhpY q, 10 had publicly available replication data that allowed us to replicate the original estimates and assess their sensitivity to scaling.13 For our replications, we focus on the first specifi- cation using arcsinhpY q presented in a table in the paper, which we view as a reasonable proxy for the paper’s main specification using arcsinhpY q.14 We assess the sensitivity of these results by re-running exactly the same procedure as in the original paper, except replacing arcsinhpY q with arcsinhp100 ¨ Y q. Thus, for example, if the original paper estimated a treatment effect for the arcsinh of an outcome measured in dollars, we use the same procedure to re-estimate the treatment effect for the arcsinh of the outcome measured in cents. 12 We consider papers with both binary and non-binary treatments, as our theoretical results extend easily to non-binary treatments; see Remark 3. Seven of the 10 papers we replicated used a binary treatment. 13 We include one paper where there was a slight discrepancy between our replication of the original result and the result reported in the paper that only affected the third decimal place. 14 We use the first coefficient presented in a figure for one paper without any tables in the main text using arcsinhpY q. If the first specification is a validation check (e.g. a pre-trends test), we use the first specification of causal interest. 10
