row_id	claim_id	occurrence_id	citation_key	work	claim_type	affirmation_pt	source_excerpt	section	paragraph	reconciliation_status	prior_row_id	current_source_sha256	source_path	queue_status	claim_row_sha256	bibliography_entry_sha256	source_type	worker_prompt_path	worker_prompt_sha256	worker_task_name
ROW-CUR-0001	CLM-CUR-001	CIT-CUR-001	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	Estima-se que 32,1% dos trabalhadores dos Estados Unidos já integravam ferramentas de IA às suas rotinas até o final de 2024.	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (Large Language Models, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.	1 Introdução	1	REAUDITED_TEXT_CHANGED	ROW-0001	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	references/pdfs/bick_rapid_2024.pdf	COMPLETED	314cb3bf54fc451d5acf77d679e770ef9c7768971f50b19e0e16ef843ee8cb4f	52734edac141ac3a40487f9227bb12cbce26ff1cd7388c9ba28049a57b3b7e2b	PDF	source_build/prompts/ROW-CUR-0001.md	06fce577ed634e894ae435ef921af881e9766ef63eadc8e8e7f84f8f6b88bc6a	current_claim_row_0001
ROW-CUR-0002	CLM-CUR-002	CIT-CUR-001	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	O ritmo de adoção de ferramentas de IA nos Estados Unidos era comparável ao do computador pessoal na década de 1980.	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (Large Language Models, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.	1 Introdução	1	REAUDITED_TEXT_CHANGED	ROW-0002	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	references/pdfs/bick_rapid_2024.pdf	COMPLETED	ec4ff2cc270b94b208f44f4f7b78183a19c8e4ef65d674338e23abefd8ada3cc	52734edac141ac3a40487f9227bb12cbce26ff1cd7388c9ba28049a57b3b7e2b	PDF	source_build/prompts/ROW-CUR-0002.md	60514cdb6ad1a348a40e3f68502275b0f90e607fe9199da6492a3850d992c036	current_claim_row_0002
ROW-CUR-0003	CLM-CUR-003	CIT-CUR-001	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	A difusão das ferramentas de IA nos Estados Unidos era superior, em termos populacionais, à da internet.	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (Large Language Models, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.	1 Introdução	1	REAUDITED_TEXT_CHANGED	ROW-0003	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	references/pdfs/bick_rapid_2024.pdf	COMPLETED	967c28d17ec456335746fa4a4f37f86f1fe21bb51253a2d12c60f322adae20bb	52734edac141ac3a40487f9227bb12cbce26ff1cd7388c9ba28049a57b3b7e2b	PDF	source_build/prompts/ROW-CUR-0003.md	735085e6d9755ee5d9c142e6747161f53768b170f742d9a010669cf6f09771b1	current_claim_row_0003
ROW-CUR-0004	CLM-CUR-004	CIT-CUR-001	bick_rapid_2024	The rapid adoption of generative AI	AUTHOR_INFERENCE	A combinação do alcance ocupacional com a velocidade de difusão justifica tratar essa geração de inteligência artificial como um problema econômico, e não apenas tecnológico.	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (Large Language Models, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.	1 Introdução	1	REAUDITED_TEXT_CHANGED	ROW-0004	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	references/pdfs/bick_rapid_2024.pdf	COMPLETED	a58ca30d03ae69a2c16769e948dfbd67ab391571da6eb5f26cc209b32868506c	52734edac141ac3a40487f9227bb12cbce26ff1cd7388c9ba28049a57b3b7e2b	PDF	source_build/prompts/ROW-CUR-0004.md	dc3064a1e1a49ec8e0a6163172abe66f0c4413911ae4bdca21b9822f34aee03e	current_claim_row_0004
ROW-CUR-0005	CLM-CUR-005	CIT-CUR-002	eloundou_gpts_2023	GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models	DIRECT	A metodologia de construção de índices de exposição baseados em tarefas consolidou-se a partir do GPT Exposure.	A literatura internacional avançou em duas frentes. De um lado, consolidou-se uma metodologia de construção de índices de exposição baseados em tarefas, a partir do GPT Exposure de Eloundou et al. (2023), que passou a usar os próprios LLMs como avaliadores das tarefas.	1 Introdução	2	REAUDITED_TEXT_CHANGED	ROW-0005	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	references/pdfs/eloundou_gpts_2023.pdf	COMPLETED	90664d7cdacb21f95bef092ea967569629dd3b65f2b393706571f910c64054cb	a1e187d13942e96d8b68c5b93f45d4634c86cb5505903a6e8770b202445ce924	PDF	source_build/prompts/ROW-CUR-0005.md	dbb26c604a30eb8b69f0b19b044d09c7eb21d47dda4bdbed87198cbe27b5225e	current_claim_row_0005
ROW-CUR-0006	CLM-CUR-006	CIT-CUR-002	eloundou_gpts_2023	GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models	DIRECT	O GPT Exposure passou a usar os próprios modelos de linguagem como avaliadores das tarefas.	A literatura internacional avançou em duas frentes. De um lado, consolidou-se uma metodologia de construção de índices de exposição baseados em tarefas, a partir do GPT Exposure de Eloundou et al. (2023), que passou a usar os próprios LLMs como avaliadores das tarefas.	1 Introdução	2	REAUDITED_TEXT_CHANGED	ROW-0006	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	references/pdfs/eloundou_gpts_2023.pdf	COMPLETED	f668bb4a8ee2b0fa1f0335579742e2e2511d37d9eb67808c0c86448f1a3b4458	a1e187d13942e96d8b68c5b93f45d4634c86cb5505903a6e8770b202445ce924	PDF	source_build/prompts/ROW-CUR-0006.md	3096a5b446abf7a438436f115ca8d593c68082a75d3ce42a490507071e0a6ce8	current_claim_row_0006
ROW-CUR-0007	CLM-CUR-007	CIT-CUR-003	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com posições de entrada e trabalhadores em início de carreira em ocupações expostas enfrentando menor oferta de trabalho, com o ajuste concentrado no emprego e não na remuneração (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.	1 Introdução	2	AUDITED_NEW		3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188	references/pdfs/brynjolfsson_canaries_2025.pdf	COMPLETED	bd50653b7ede6190c193195a8050cacee43cba823134d2b82605cc101091b5e2	59bd1b60a5853e3dd8fb7dd6c946a2fc42f158798f1feaf8d13f72266bb7c7c2	PDF	source_build/prompts/ROW-CUR-0007.md	885e10e94edbe517ffad7938ed2d3a399584394a2332e0eed598f4237e9fee80	current_claim_row_0007
ROW-CUR-0008	CLM-CUR-007	CIT-CUR-004	hosseini_maasoum_generative_2025	Generative AI as seniority-biased technological change: Evidence from U.S. résumé and job posting data	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com posições de entrada e trabalhadores em início de carreira em ocupações expostas enfrentando menor oferta de trabalho, com o ajuste concentrado no emprego e não na remuneração (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.	1 Introdução	2	AUDITED_NEW		31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7	references/pdfs/hosseini_maasoum_generative_2025.pdf	COMPLETED	2a0b1239008afef7fd5063364eaec339699db2c8621c68a4f5c8004c96be8f5b	e447a02cb42e49209aca1b6ef7aa4f25012161bca13403561e1721d6a10d1dc1	PDF	source_build/prompts/ROW-CUR-0008.md	d6dd69ea1d0850f086602405b25d58a450f284ae5412ef4cfc1f176c615db113	current_claim_row_0008
ROW-CUR-0009	CLM-CUR-007	CIT-CUR-005	klein_teeselink_generative_2025	Generative AI and labor market outcomes: Evidence from the United Kingdom	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com posições de entrada e trabalhadores em início de carreira em ocupações expostas enfrentando menor oferta de trabalho, com o ajuste concentrado no emprego e não na remuneração (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.	1 Introdução	2	AUDITED_NEW		869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09	references/pdfs/klein_teeselink_generative_2025.pdf	COMPLETED	dd723ef91f7448bbc24acb2e2426b196657d4213149b8bf9122b9d93b7130e9c	c8dc95135c86541604076c3cc742a055e10d0c192d95a90d20fce638125a0c8a	PDF	source_build/prompts/ROW-CUR-0009.md	17aed94fe1b6a2081d66087445163bb6776dc1b81a34d5027e2f948bc0a9a9ba	current_claim_row_0009
ROW-CUR-0010	CLM-CUR-008	CIT-CUR-003	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Posições de entrada em ocupações expostas à IA enfrentam menor oferta de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com posições de entrada e trabalhadores em início de carreira em ocupações expostas enfrentando menor oferta de trabalho, com o ajuste concentrado no emprego e não na remuneração (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.	1 Introdução	2	AUDITED_NEW		3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188	references/pdfs/brynjolfsson_canaries_2025.pdf	COMPLETED	1ef9eaf54cfb183c81e2ba4b9a142d2916a80c824e1c8321f271dbfd9cdf6b39	59bd1b60a5853e3dd8fb7dd6c946a2fc42f158798f1feaf8d13f72266bb7c7c2	PDF	source_build/prompts/ROW-CUR-0010.md	a791e5cc903e2ff5e61215b1abebf6309a577c917c48fcd2538b1f25a374aec3	current_claim_row_0010
