claim_id	occurrence_id	section	paragraph	citation_key	work	claim_type	affirmation_pt	source_excerpt	fact_checked	pages	row_id
CLM-CUR-001	CIT-CUR-001	1 Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	Estima-se que 32,1% dos trabalhadores dos Estados Unidos já integravam ferramentas de IA às suas rotinas até o final de 2024.	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (Large Language Models, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.			ROW-CUR-0001
CLM-CUR-002	CIT-CUR-001	1 Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	O ritmo de adoção de ferramentas de IA nos Estados Unidos era comparável ao do computador pessoal na década de 1980.	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (Large Language Models, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.			ROW-CUR-0002
CLM-CUR-003	CIT-CUR-001	1 Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	A difusão das ferramentas de IA nos Estados Unidos era superior, em termos populacionais, à da internet.	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (Large Language Models, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.			ROW-CUR-0003
CLM-CUR-004	CIT-CUR-001	1 Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	AUTHOR_INFERENCE	A combinação do alcance ocupacional com a velocidade de difusão justifica tratar essa geração de inteligência artificial como um problema econômico, e não apenas tecnológico.	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (Large Language Models, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.			ROW-CUR-0004
CLM-CUR-005	CIT-CUR-002	1 Introdução	2	eloundou_gpts_2023	GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models	DIRECT	A metodologia de construção de índices de exposição baseados em tarefas consolidou-se a partir do GPT Exposure.	A literatura internacional avançou em duas frentes. De um lado, consolidou-se uma metodologia de construção de índices de exposição baseados em tarefas, a partir do GPT Exposure de Eloundou et al. (2023), que passou a usar os próprios LLMs como avaliadores das tarefas.			ROW-CUR-0005
CLM-CUR-006	CIT-CUR-002	1 Introdução	2	eloundou_gpts_2023	GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models	DIRECT	O GPT Exposure passou a usar os próprios modelos de linguagem como avaliadores das tarefas.	A literatura internacional avançou em duas frentes. De um lado, consolidou-se uma metodologia de construção de índices de exposição baseados em tarefas, a partir do GPT Exposure de Eloundou et al. (2023), que passou a usar os próprios LLMs como avaliadores das tarefas.			ROW-CUR-0006
CLM-CUR-007	CIT-CUR-003	1 Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com posições de entrada e trabalhadores em início de carreira em ocupações expostas enfrentando menor oferta de trabalho, com o ajuste concentrado no emprego e não na remuneração (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.			ROW-CUR-0007
CLM-CUR-007	CIT-CUR-004	1 Introdução	2	hosseini_maasoum_generative_2025	Generative AI as seniority-biased technological change: Evidence from U.S. résumé and job posting data	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com posições de entrada e trabalhadores em início de carreira em ocupações expostas enfrentando menor oferta de trabalho, com o ajuste concentrado no emprego e não na remuneração (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.			ROW-CUR-0008
CLM-CUR-007	CIT-CUR-005	1 Introdução	2	klein_teeselink_generative_2025	Generative AI and labor market outcomes: Evidence from the United Kingdom	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com posições de entrada e trabalhadores em início de carreira em ocupações expostas enfrentando menor oferta de trabalho, com o ajuste concentrado no emprego e não na remuneração (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.			ROW-CUR-0009
CLM-CUR-008	CIT-CUR-003	1 Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Posições de entrada em ocupações expostas à IA enfrentam menor oferta de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com posições de entrada e trabalhadores em início de carreira em ocupações expostas enfrentando menor oferta de trabalho, com o ajuste concentrado no emprego e não na remuneração (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.			ROW-CUR-0010
