pdf_page_index	text
1	Review of Economic Studies (2023) 90, 2555–2591 doi:10.1093/restud/rdad018 © The Author(s) 2023. Published by Oxford University Press on behalf of The Review of Economic Studies Limited. Advance access publication 15 February 2023 A More Credible Approach to Parallel Trends Downloaded from https://academic.oup.com/restud/article/90/5/2555/7039335 by guest on 07 September 2023 ASHESH RAMBACHAN Microsoft Research New England and MIT and JONATHAN ROTH Brown University First version received July 2021; Editorial decision October 2022; Accepted January 2023 (Eds.) This paper proposes tools for robust inference in difference-in-differences and event-study designs where the parallel trends assumption may be violated. Instead of requiring that parallel trends holds exactly, we impose restrictions on how different the post-treatment violations of parallel trends can be from the pre-treatment differences in trends (“pre-trends”). The causal parameter of interest is partially identified under these restrictions. We introduce two approaches that guarantee uniformly valid infer- ence under the imposed restrictions, and we derive novel results showing that they have desirable power properties in our context. We illustrate how economic knowledge can inform the restrictions on the pos- sible violations of parallel trends in two economic applications. We also highlight how our approach can be used to conduct sensitivity analyses showing what causal conclusions can be drawn under various restrictions on the possible violations of the parallel trends assumption. Key words: Difference-in-differences, Event-study, Parallel trends, Robust inference, Sensitivity analysis, Partial identification JEL codes: C1 1. INTRODUCTION Researchers using difference-in-differences (DiD) and related methods are often unsure about the validity of the parallel trends assumption needed for point identification of the causal param- eter of interest. It has therefore become common practice to assess the plausibility of the parallel trends assumption by testing for pre-treatment differences in trends (“pre-trends”). Although pre-trends tests are intuitive, recent research has shown that they may suffer from low power (Freyaldenhoven et al., 2019; Bilinski and Hatfield, 2020; Kahn-Lang and Lang, 2020; Roth, 2022), and that conditioning the analysis on passing pre-trends tests introduces statistical issues related to pre-testing (Roth, 2022). How then should researchers proceed when they are unsure about the validity of the parallel trends assumption? This paper proposes methods for robust inference and sensitivity analysis in empirical set- tings where the parallel trends assumption may not hold. Building on work by Manski and Pepper (2018), we show that the causal parameter of interest can be (partially) identified under The editor in charge of this paper was Francesca Molinari. 2555
2	2556 REVIEW OF ECONOMIC STUDIES a large class of restrictions that impose that the post-treatment violations of parallel trends can- not be “too different” from the pre-trends. We then introduce methods that yield uniformly valid inference for the treatment effect under the imposed restrictions. Intuitively, our inference meth- ods account for both statistical uncertainty (we can only noisily estimate the true pre-trend) as well as “identification uncertainty” (even if the true pre-trend were known, we may not know exactly how to extrapolate it). Our approach thus formalizes the intuition motivating pre-trends testing while avoiding the statistical issues described above. More concretely, we consider a setting in which the researcher estimates a vector of “event- Downloaded from https://academic.oup.com/restud/article/90/5/2555/7039335 by guest on 07 September 2023   study” coefficients β̂ = (β̂ pr e , β̂ post ) ∈ RT¯ +T̄ , where β̂ pr e and β̂ post respectively correspond with estimates for T pre-treatment periods and T̄ post-treatment periods. We assume that β̂ is ¯ consistent for the reduced-form parameter β, which can be decomposed as     0 δ pr e β= + , (1) τ post δ post       =:τ =:δ where τ is a causal parameter of interest that is assumed to be 0 in the pre-treatment period and δ is a bias from a difference in trends. For instance, in the canonical (non-staggered) DiD frame- work, β̂ may be the coefficients from an “event-study regression” specification, τ the vector of period-specific average treatment effects on the treated (ATT) for some policy of interest, and δ the difference in trends of untreated potential outcomes between the treated and comparison groups. As we discuss in Section 2, this framework also applies to more complicated empiri- cal settings, such as those with staggered treatment timing (e.g. Callaway and Sant’Anna, 2020; Sun and Abraham, 2020). The usual parallel trends assumption used to point identify τ post is that δ post = 0, and researchers frequently assess the plausibility of this assumption by testing the null hypothesis δ pr e = 0 (a “pre-trends” test). Instead of imposing that the parallel trends assumption holds exactly, we place restrictions on the possible post-treatment differences in trends δ post given the point identified pre-trends δ pr e . Such restrictions formalize the intuition motivating pre-trends tests, namely that pre-trends are informative about counterfactual post-treatment differences in trends. Formally, we assume that δ ∈  for some researcher-specified set , and show that the causal parameter τ post is partially identified under such restrictions. Restrictions of this form can be used to formalize a wide variety of intuitions about possible violations of the parallel trends assumption that are commonly expressed in applied work. For example, as discussed in Manski and Pepper (2018), researchers may be willing to assume that the confounding factors that create post-treatment violations of parallel trends are similar in magnitude to those in the pre-treatment period. This intuition can be formalized by specifying a  that bounds the maximal post-treatment violation of parallel trends by a parameter M̄ times the maximal pre-treatment violation of parallel trends. In other contexts, researchers are concerned about violations of parallel trends from secular trends that are assumed to evolve smoothly over time. This intuition can be formalized by bounding the extent to which the slope of the violation of parallel trends can change over time. We adopt a flexible framework that allows researchers to capture these intuitions, as well as many other restrictions that are implied by context-specific knowledge about possible confounding factors. We then introduce methods to conduct uniformly valid inference on a scalar parameter of the form θ = l  τ post under the restriction δ ∈ . As emphasized in the recent literature on pre- trends testing, the pre-treatment coefficients β̂ pr e are often imprecise estimates of δ pr e . It is therefore important to introduce inference methods that account for the statistical uncertainty
3	RAMBACHAN AND ROTH A MORE CREDIBLE APPROACH TO PARALLEL TRENDS 2557 in the estimation of the event-study coefficients. We introduce two main inference approaches, with different desirable properties depending on the shape of . We first introduce a general inference approach that can accommodate a large class of choices for . This approach is based on the observation that conducting inference on θ can be cast as the problem of testing a system of moment inequalities, allowing us to leverage a large economet- rics literature on moment inequality testing (Canay and Shaikh, 2017 provide a recent review). The moments have a potentially large number of nuisance parameters that enter linearly, and we therefore consider an implementation of this approach based on the conditional and hybrid Downloaded from https://academic.oup.com/restud/article/90/5/2555/7039335 by guest on 07 September 2023 approaches of Andrews et al. (forthcoming, henceforth ARP), who considered moment inequal- ities with this structure. Uniform size control for these tests follows nearly immediately from results in ARP. We then prove that the tests proposed by ARP have some desirable power properties in our context. First, the conditional and hybrid tests are consistent, in the sense that they have power approaching 1 against fixed alternatives outside of the identified set. Second, we prove that the conditional test has optimal local asymptotic power under a linear independence constraint qualification (LICQ) assumption. As described in Kaido et al. (2021), LICQ and related con- straint qualifications have been used widely in the partial identification literature, and are often imposed to ensure size control. By contrast, we show that the ARP conditional test is asymp- totically valid even when LICQ fails, but has optimal local asymptotic power when LICQ is satisfied. Intuitively, this result implies that the conditional test will perform well when the bind- ing and non-binding moments are “far apart” relative to the sampling variation in the data. We provide several intuitive examples to illustrate when this result will and will not be applicable. Our result also implies that the ARP hybrid test will have near-optimal local asymptotic power under LICQ. These power results are new, and exploit additional structure in our context not contained in ARP. Our second approach to inference is based on fixed length confidence intervals (FLCIs) (Donoho, 1994). FLCIs have desirable finite-sample guarantees for particular s of interest. In particular, results from Armstrong and Kolesár (2018, 2020b) imply that when  is convex and centrosymmetric, FLCIs have near-optimal expected length in the finite-sample normal model. These results are applicable for one of our leading examples, SD , which restricts the smooth- ness of the difference in trends. In Monte Carlo simulations, we find that the use of such FLCIs can lead to substantial power gains over the conditional/hybrid approaches for SD when the length of the identified set is short relative to the sampling variation in the data. This is intuitive since the asymptotic power guarantees for the conditional/hybrid approaches are in the asymp- totic regime where sampling uncertainty is small relative to the length of the identified set, in contrast to the finite-sample guarantees for FLCIs. On the other hand, FLCIs are applicable for a much smaller class of s: indeed, we show that for many other choices of , they will be inconsistent in the strong sense that power against fixed points outside the identified set need not converge to one asymptotically. Based on our theoretical results and Monte Carlo simulations, we recommend the ARP hybrid approach for general forms of , but prefer the FLCI approach in special cases (such as for SD ) where the conditions for consistency and finite-sample near-optimality are met. We recommend that applied researchers use our methods to construct robust confidence sets under economically-motivated restrictions on how the pre-trends relate to the post-treatment vio- lations of parallel trends. Our tools can also be used to to conduct sensitivity analyses in which the researcher reports confidence sets under varying restrictions on the possible differences in trends. For example, if the researcher suspects that the confounding factors in the post-treatment periods are similar in magnitude to those in the pre-treatment periods, then it may be reasonable to impose that the post-treatment violations of parallel trends are no larger than the maximum
4	2558 REVIEW OF ECONOMIC STUDIES pre-treatment violation of parallel trends. As a sensitivity analysis, the researcher might also report confidence sets that allow the maximum post-treatment violation of parallel trends to be up to M̄ times larger than the maximum pre-treatment violation for different values of M̄. The proposed sensitivity analysis thus follows the “top-down” approach described by Tamer (2010), in which the researcher reports what can be learned under a sequence of progressively weaker assumptions. Performing such sensitivity analyses makes clear what must be assumed about the possible differences in trends in order to draw specific causal conclusions, in line with the par- tial identification paradigm initiated by Charles Manski and co-authors in a variety of contexts Downloaded from https://academic.oup.com/restud/article/90/5/2555/7039335 by guest on 07 September 2023 (Manski, 1989, 1990, 2003, 2008). We provide the HonestDiD R and Stata packages to imple- ment our methods.1 We illustrate our recommended approach with applications to two recently published papers, in which we show how the choice of the restrictions  can be tailored to the economic context. 1.1. Related literature The approach in this paper builds on the foundational partial identification analysis for DiD in Manski and Pepper (2018). Manski and Pepper consider identification under researcher-specified bounds on the magnitude of δ post (what they call “bounded DiD variation”), and calibrate these bounds using the maximal pre-treatment violation of parallel trends in their empirical applica- tion on the effects of right-to-carry gun laws.2 One of our leading classes of restrictions,  R M , formalizes this calibration approach by bounding the magnitude of post-treatment violations of parallel trends by M̄ times the maximal pre-treatment violation. Our framework also allows for many other intuitive restrictions—such as bounds on how far δ can deviate from linearity—and it can be applied to a variety of DiD estimators, including recent proposals for settings with staggered treatment timing. Most importantly, while Manski and Pepper (2018) provide a frame- work for identification, we provide inference methods to construct uniformly valid confidence sets for the treatment effect of interest. This allows applied researchers to account for statisti- cal uncertainty in their analyses, which can be important since event-study coefficients are often imprecisely estimated in practice. Several other recent papers consider various relaxations of the parallel trends assumption. Keele et al. (2019) develop techniques for testing the sensitivity of DiD designs to violations of the parallel trends assumption, but they do not incorporate information from the observed pre- trends in their sensitivity analysis. Empirical researchers commonly adjust for the extrapolation of a linear trend from the pre-treatment periods when there are concerns about violations of the parallel trends assumption, which is valid if the difference in trends is exactly linear (e.g.Bhuller et al., 2013; Dobkin et al., 2018; Goodman-Bacon, 2018, 2021). Our methods nest this approach as a special case, but allow for valid inference under less restrictive assumptions about the class of possible differences in trends (such as when δ is only approximately linear). Freyaldenhoven et al. (2019) propose a method that allows for violations of the parallel trends assumption but requires an additional covariate that is affected by the same confounding factors as the outcome but not by the treatment of interest. Ye et al. (2020) consider partial identification of treatment effects when there exist two control groups whose outcomes have a bracketing relationship with 1. The latest version of the R and Stata packages are respectively available at https://github.com/asheshrambachan/HonestDiD and https://github.com/mcaceresb/stata-honestdid/. 2. Manski and Pepper (2018) also consider “bounded time” and “bounded state” restrictions that bound how much the mean of Y (0) can differ either across treatment groups or within-groups over time. Such restrictions could also be incorporated into our framework by augmenting the vector β̂ to include group-specific sample averages.
5	RAMBACHAN AND ROTH A MORE CREDIBLE APPROACH TO PARALLEL TRENDS 2559 the outcome of the treated group. Leavitt (2020) proposes an empirical Bayes approach cali- brated to pre-treatment differences in trends, and Bilinski and Hatfield (2020) and Dette and Schumann (2020) propose non-inferiority approaches based on pre-tests for the magnitude of the pre-treatment violations of parallel trends. Our methods address several concerns related to current empirical practice in DiD and event- study designs. First, pre-trends tests may be underpowered against meaningful violations of parallel trends, potentially leading to severe undercoverage of conventional confidence inter- vals (Freyaldenhoven et al., 2019; Bilinski and Hatfield, 2020; Kahn-Lang and Lang, 2020; Downloaded from https://academic.oup.com/restud/article/90/5/2555/7039335 by guest on 07 September 2023 Roth, 2022). Second, statistical distortions from pre-trends tests may further undermine the per- formance of conventional inference procedures (Roth, 2022). Third, parametric approaches to controlling for pre-existing trends may be sensitive to functional form assumptions (Wolfers, 2006; Lee and Solon, 2011). We address these issues by providing tools for inference that do not rely on an exact parallel trends assumption, incorporate statistical uncertainty about the estimated event-study coefficients, and make clear the mapping between the researcher’s assumptions about the potential differences in trends and the strength of their causal conclusions. Our work complements a growing literature on the causal interpretation of event-study coefficients in two-way fixed effects models in the presence of staggered treatment timing and heterogeneous treatment effects (Borusyak and Jaravel, 2016; Callaway and Sant’Anna, 2020; de Chaisemartin and D’Haultfæuille, 2020; Sun and Abraham, 2020; Athey and Imbens, 2021; Goodman-Bacon, 2021). A key finding is that regression coefficients from conventional approaches may not produce convex weighted averages of treatment effects even if parallel trends holds. Several alternative estimators have been proposed that consistently estimate inter- pretable causal estimands under a suitable parallel trends assumption. Our methodology can be used in conjunction with these alternative estimators to assess their sensitivity to violations of the corresponding parallel trends assumption; see Section 2.1 for additional details. More broadly, our work contributes to a larger econometric literature that uses partial identification to provide empirical researchers with tractable tools to conduct inference under assumptions that may be more credible in empirical practice; see, for example, Manski (2003, 2007, 2013), Tamer (2010), Ho and Rosen (2017), and Molinari (2020) for reviews. 2. MODEL SET-UP 2.1. Event-study coefficients We suppose that the researcher has estimated a vector of “event-study coefficients” β̂ n ∈ RT¯ +T̄ , which can be partitioned into vectors of coefficients corresponding with the pre-treatment   and post-treatment periods, β̂ n = (β̂ n, pr e , β̂ n, post ), where β̂ n, pr e ∈ RT¯ and β̂ n, post ∈ RT̄ . Event- study estimates of this form arise from non-staggered DiD as well as a variety of related estimators, as we illustrate with several examples Example 1 (Non-staggered DiD). Consider the canonical DiD setting in which we have a bal- anced panel of units from period t = −T, . . . , T̄ , and units with Di = 1 receive a treatment ¯ D = 0 never receive the treatment. It is common to beginning in period t = 1, while units with i report DiD estimates of the form β̂ s = (Ȳs1 − Ȳs0 ) − (Ȳ01 − Ȳ00 ), where Ȳsd is the sample mean of the outcome for units with Di = d in period t = s. Intuitively, β̂ s compares the change in the mean outcome between period 0 and period s for the treated and comparison units. In this setting, the estimates β̂ s are numerically equivalent to the OLS
6	2560 REVIEW OF ECONOMIC STUDIES coefficients from the regression  Yit = λi + φt + βs × 1[t = s] × Di + it . (2) s=0 In this case, β̂ post collects the estimated coefficients corresponding with treated periods, (β̂ 1 , . . . , β̂ T̄ ), while β̂ pr e collects the estimated coefficients corresponding with periods before treatment (β̂ −T , . . . β̂ −1 ). Downloaded from https://academic.oup.com/restud/article/90/5/2555/7039335 by guest on 07 September 2023 ¯ Example 2 (Staggered DiD). Event-study coefficients can also be obtained from more compli- cated DiD procedures. For example, in settings with staggered treatment timing, Callaway and Sant’Anna (2020) propose event-study estimates of the form  β̂ r =  wg AT T (g, g + r ), g where AT T (g, t) is a DiD estimate that compares the evolution of the outcome for units first treated at period g to units first-treated after period t between time periods g − 1 and t, and the wg are weights that sum to one (e.g. proportional to sample size). In this case, β̂ post col- lects the values of β̂ r for r ≥ 0 (i.e. estimates where one of the groups is treated), and β̂ pr e collects the values of β̂ r for values of r < 0. Several other related procedures have been pro- posed for constructing event-study coefficients in contexts with staggered treatment timing; see de Chaisemartin and D’Haultfæuille (2021) and Roth et al. (2022) for reviews. Example 3 (Other related estimators). Other examples of estimators that can be used to produce event-studies coefficients of the form considered here include the GMM procedure proposed by Freyaldenhoven et al. (2019), instrumental variables event-studies (Hudson et al., 2017), as well estimators that flexibly control for differences in covariates between treated and comparison groups (e.g. Heckman et al., 1998; Abadie, 2005; Sant’Anna and Zhao, 2020). 2.2. Causal decomposition Under mild regularity conditions,√all of the estimators described above will be asymptotically normally distributed, satisfying n(β̂ n − β) → N (0, ∗ ) for some parameter vector β. We assume the parameter vector β satisfies the following causal decomposition. Assumption 1. The parameter vector β can be decomposed as     τ pr e δ β= + pr e with τ pr e = 0. (3) τ post δ post       =:τ =:δ The first term, τ , represents the treatment effects of interest. We assume the treatment has no causal effect prior to its implementation, so τ pr e = 0. The second term, δ, represents the difference in trends between the treated and comparison groups that would have occurred absent treatment. The parallel trends assumption imposes that δ post = 0, and therefore β post = τ post under parallel trends.3 3. Although our focus is on generalized DiD settings, our results apply to any setting where the researcher has an asymptotically normally distributed estimator β̂ of a reduced form parameter β that satisfies (3). For example, β̂ could
7	RAMBACHAN AND ROTH A MORE CREDIBLE APPROACH TO PARALLEL TRENDS 2561 2.2.1. Example: non-staggered DiD (continued). Suppose the observed outcome satisfies Yit = Di Yit (1) + (1 − Di )Yit (0), where Yit (1) and Yit (0) are, respectively, the potential out- comes when unit i is ultimately treated/not treated. Assume further that there is no anticipation of treatment, so that Yit (1) = Yit (0) for all t < 1. Then, for any s, under mild regularity conditions β̂ s will be consistent for βs = τ AT T,s + E [Yis (0) − Yi0 (0) | Di = 1] − E [Yis (0) − Yi0 (0) | Di = 0],    Downloaded from https://academic.oup.com/restud/article/90/5/2555/7039335 by guest on 07 September 2023 differential trend =:δs where τ AT T,s = E [Yis (1) − Yis (0) | Di = 1] is the average treatment effect on the treated in period s, and δs is the difference in trends in potential outcomes between period 0 and period s.4 Since the no-anticipation assumption implies that τ AT T,s = 0 for s < 0, this yields the decomposition (3). 2.2.2. Example: staggered DiD (continued). Likewise, in the staggered DiD context, define Yit (g) to be the potential outcome for unit i in period t if they are first treated at period g and Yit (∞) to be the never-treated potential outcome. Then β̂ r will be con- sistent for the parameter βr = τr + δr , where τr = g wg AT T (g, g + r ) and AT T (g, g + r ) = E Yi,g+r (g) − Yi,g+r (∞) | G i = g is the ATT in period g + r for units first treated at period g. Likewise, δr = wg δg,g+r , where δg,g+r = E Yi,g+r (∞) − Yi,g−1 (∞) | G i = g − E Yi,g+r (∞) − Yi,g−1 (∞) | G i > g + r is the difference in trends in never-treated potential outcomes between units first treated at period g and units first treated after period g + r . Under a no-anticipation assumption, τr = 0 for r < 0, which again yields the decomposition (3). 2.2.3. Example: other related estimators (continued). We can decompose β as in (3) for other estimators as well. For example, for event-study IVs (with non-staggered timing), τ post is a vector containing the local average treatment effect for each period, and δ represents the asymptotic bias of the IV estimator (e.g. from violations of independence or exclusion) for each period. For methods that flexibly control for covariate differences between treated and compar- ison groups, τ post is again a vector of ATTs, and δ post represents a weighted average (across covariates) of the violation of the conditional parallel trends assumption. 2.3. Target parameter and identification We suppose the target parameter is a linear combination of the post-treatment causal effects, θ := l  τ post for some known T̄ -vector l. For example, θ equals the tth period causal effect τt when the vector l equals the tth standard basis vector. Similarly, θ equals the average causal effect across all post-treatment periods when l = (1/T̄ , . . . , 1/T̄ ) . We obtain partial identification of θ by assuming that δ lies in a researcher-specified set of possible differences in trends  ⊆ RT¯ +T̄ . This nests the usual parallel trends assumption as the special case with  = {δ : δ post = 0}. Since δ pr e = β pr e is identified, the assumption that correspond with a vector of first-differences or triple-differences estimators, and δ the violation of the corresponding identifying assumption. 4. We focus on the ATT as the target parameter, as in most of the DiD literature. If one is interested in the population-wide average treatment effect (ATE), one could obtain bounds on the ATE under restrictions on treatment effect heterogeneity, or other assumptions that allow one to bound the treatment effects for untreated units; see Manski and Pepper (2013) for an insightful discussion.
8	2562 REVIEW OF ECONOMIC STUDIES δ = (δ pr e , δ post ) ∈  restricts the possible values of δ post given the identified value of the pre- treatment difference in trends δ pr e . It is natural to place restrictions on the relationship between δ pr e and δ post , since applied researchers frequently test the null hypothesis δ pr e = 0 in order to assess the plausibility of the assumption that δ post = 0. Our identification framework, which generalizes the partial identifi- cation framework in Manski and Pepper (2018), thus helps formalize the intuition motivating pre-trends testing. Under the assumption that δ ∈  = {δ : δ post = 0}, the parameter θ will typically be set- Downloaded from https://academic.oup.com/restud/article/90/5/2555/7039335 by guest on 07 September 2023 identified. The identified set is the set of values for θ that are consistent with a given value of β under the restriction δ ∈ ,   0 S(β, ) := θ : ∃δ ∈ , τ post ∈ RT̄ s.t. l  τ post = θ, β = δ + . (4) τ post When  is a closed and convex set, the identified set has a simple characterization.5 Lemma 2.1. If  is closed and convex, then S(β, ) is an interval in R, S(β, ) = [θ lb (β, ), θ ub (β, )], where     θ (β, ) := l β post − max l δ post , s.t. δ ∈ , δ pr e = β pr e , lb (5) δ    =:bmax (β pr e ,)     θ (β, ) := l β post − min l δ post , s.t. δ ∈ , δ pr e = β pr e . ub (6) δ    =:bmin (β pr e ,) Proof. Re-arranging terms in (4), the identified set can be equivalently written as S(β, ) = {θ : ∃δ ∈  s.t. δ pr e = β pr e , θ = l  β post − l  δ post }. The result is then immediate. 2.3.1. Example: non-staggered DiD (continued). In the three-period DiD model (T = T̄ = 1), the ATT in period 1 is point identified if we assume that the counterfactual ¯ post-treatment difference in trends δ1 is exactly zero (parallel trends). Instead, we assume δ = (δ−1 , δ1 ) ∈  for some set . When  is closed and convex, the identified set for the ATT in period 1 is [β1 − bmax , β1 − bmin ], where bmax = maxδ δ1 s.t (δ−1 , δ1 ) ∈  is the maximum possible bias of β̂ 1 given δ−1 = β−1 and bmin is defined analogously. Additionally, it is immediate K from the definition of the identified set in (4) that if  is the finite union of sets,  = k=1 k , then the identified set is the union of the identified sets for its subcomponents,  K S(β, ) = S(β, k ). (7) k=1 This fact will be useful, since several empirically relevant choices of  can be written as the finite union of convex sets, as we will see below. 5. Our focus is on inference on θ . If one were instead interested in estimating the endpoints of the identified, a natural estimator when  is closed and convex would be [θ lb (β̂, ), θ ub (β̂, )], which is the sample analogue to the bounds derived in Lemma 2.1; see Supplementary Material, Appendix C for additional discussion.
9	RAMBACHAN AND ROTH A MORE CREDIBLE APPROACH TO PARALLEL TRENDS 2563 2.4. Possible choices of  The class of possible differences in trends  must be specified by the researcher, and the choice of  will depend on the economic context. We highlight several possible choices of  that may be reasonable in empirical applications and formalize intuitive arguments that are commonly made by applied researchers regarding possible violations of parallel trends. Throughout our discussion, we write δ pr e = (δ−T , . . . δ−1 ) and δ post = (δ1 , . . . δT̄ ) , with δ0 normalized to zero. ¯ This aligns the notation with Example 1, where δ corresponds to the difference in trends between Downloaded from https://academic.oup.com/restud/article/90/5/2555/7039335 by guest on 07 September 2023 treated and comparison groups, and δ0 is normalized to zero. 2.4.1. Bounding relative magnitudes. In empirical applications, researchers may be will- ing to assume that the confounding factors which produce non-parallel trends in the post- treatment periods are not too much larger in magnitude than the confounding factors in the pre-treatment periods. In their empirical application to right-to-carry gun laws, Manski and Pep- per (2018) operationalize this intuition by calibrating bounds on |δ1 | to the largest violations of parallel trends in the pre-treatment period (see their Table 3).6 Such a restriction can be formalized in our framework by imposing that δ ∈  R M ( M̄) for M̄ ≥ 0, where  R M ( M̄) = {δ : ∀ t ≥ 0, |δt+1 − δt | ≤ M̄ · max |δs+1 − δs |}. s<0  R M ( M̄) bounds the maximum post-treatment violation of parallel trends between consecutive periods by M̄ times the maximum pre-treatment violation of parallel trends. We use the abbre- viation RM for “relative magnitudes.” The choice  R M ( M̄) may be reasonable if the researcher suspects that possible violations of parallel trends are driven by confounding economic shocks that are of a similar magnitude to confounding economics shocks in the pre-period. When the number of pre-treatment and post-treatment periods is similar, a natural benchmark may be M̄ = 1, which bounds the worst-case post-treatment difference in trends by the equivalent maximum in the pre-treatment period.7 2.4.2. Example: non-staggered DiD (continued). In the three-period DiD model (T = T̄ = 1), assuming δ ∈  R M ( M̄) = {(δ−1 , δ1 ) : |δ1 | ≤ M̄|δ−1 |} bounds the magnitude of δ¯1 based on the magnitude of δ−1 . The larger the magnitude of the pre-treatment violation in parallel trends, |δ−1 |, the wider the range of possible post-treatment violations of parallel trends.  2.4.3. Smoothness restrictions. In other empirical settings, researchers may be worried about confounding from secular trends (e.g. long-run changes in labour supply) that they suspect evolve smoothly over time. In such settings, it is common for empirical researchers to control for a linear group-specific time trend.8 This approach is valid if the difference in trends is linear, 6. In their application, Manski and Pepper (2018) observe the outcome for the entire population of interest, and thus their observed pre-treatment data corresponds with δ pr e rather than β̂ pr e . 7. In settings where later pre-periods are thought to be more informative, the researcher could use a different value of M̄ for different pre-periods, e.g. imposing that |δt+1 − δt | ≤ max{|δ0 − δ−1 |, 2 · |δ−1 − δ−2 |}. Likewise, although we’ve considered bounds on changes across consecutive periods, the researcher could also impose bounds on changes across multiple periods, e.g. |δt+2 − δt | ≤ M̄ · maxs<−1 |δs+2 − δs |. 8. Specifically, researchers often augment specification (2) with group-specific linear trends, an approach Dobkin et al. (2018) refer to as a “parametric event-study.” An analogous approach is to estimate a linear trend using only observations prior to treatment, and then subtract out the estimated linear trend from the observations after treatment (Bhuller et al., 2013; Goodman-Bacon, 2018, 2021).
10	2564 REVIEW OF ECONOMIC STUDIES i.e.  = {δ : δt = γ · t, γ ∈ R}. There are often concerns, however, that the linear specification is not exactly correct (Wolfers, 2006; Lee and Solon, 2011). A natural relaxation is therefore to impose only that the differential trends evolve smoothly over time by bounding the extent to which its slope may change across consecutive periods. Such a restriction can be formalized in our framework by imposing that δ ∈ SD (M) for M ≥ 0, where SD (M) := {δ : |(δt+1 − δt ) − (δt − δt−1 )| ≤ M, ∀ t}. (8) Downloaded from https://academic.oup.com/restud/article/90/5/2555/7039335 by guest on 07 September 2023 The parameter M ≥ 0 governs the amount by which the slope of δ can change between con- secutive periods, and thus bounds the discrete analogue of the second derivative. We use the abbreviation SD for “second differences” or “second derivative.”9 In the special case where M = 0, SD (0) requires that the difference in trends be exactly linear, which corresponds with the assumption underlying the parametric linear specification common in applied work. 2.4.4. Example: non-staggered DiD (continued). In the three-period DiD model, assum- ing the differential trend is exactly linear is equivalent to assuming  = {δ : δ1 = −δ−1 }. Assuming δ ∈ SD (M) requires only that the linear extrapolation be approximately correct, δ1 ∈ [−δ−1 − M, −δ−1 + M]. 2.4.5. Combining smoothness and relative magnitudes bounds. In some contexts, researchers may be willing to assume that the difference in trends evolves relatively smoothly over time but may be unsure about the smoothness bound M ≥ 0 introduced above. In such cases, it may be reasonable to assume that the possible non-linearities in the post-treatment dif- ference in trends are bounded by the observed non-linearities in the pre-treatment difference in trends. This can be formalized with the restriction  S D R M ( M̄) = {δ : ∀ t ≥ 0, |(δt+1 − δt ) − (δt − δt−1 )| ≤ M̄ · max |(δs+1 − δs ) − (δs − δs−1 )|}, s<0 which bounds the maximum deviation from a linear trend in the post-treatment period by M̄ ≥ 0 times the equivalent maximum in the pre-treatment period. The set  S D R M ( M̄) is thus similar to SD (M) introduced above, except it allows the magnitude of the possible non-linearity to explicitly depend on the observed pre-trends. 2.4.6. Sign and monotonicity restrictions. Context-specific knowledge may sometimes also suggest sign or monotonicity restrictions on the differential trend. For instance, if the policy of interest occurs at the same time as a confounding policy change that we expect to have a positive effect on the outcome, we might restrict the post-treatment bias to be positive, δ ∈  P B := {δ : δt ≥ 0 ∀ t ≥ 0}. Likewise, there may be secular pre-existing trends that we expect would have continued following the treatment date.10 We may then wish to impose that the differential trend be increasing, δ ∈  I := {δ : δt ≥ δt−1 ∀ t}, or monotone with unknown sign, δ ∈  Mon :=  I ∪ (− I ). Sign and monotonicity restrictions may be combined with the 9. Restrictions on the second derivative of the conditional expectation function or density have been used in regression discontinuity settings (Kolesár and Rothe, 2018; Frandsen, 2016; Noack and Rothe, 2020). Smoothness restrictions are also used to obtain partial identification in e.g. Manski (1997); Kim et al. (2018). 10. Monotone violations of parallel trends are often discussed in applied work. For example, Lovenheim and Willen (2019a) argue that violations of parallel trends cannot explain their results because “pre-[treatment] trends are either zero or in the wrong direction (i.e. opposite to the direction of the treatment effect).” Greenstone and Hanna (2014) estimate upward-sloping pre-existing trends and argue that “if the pre-trends had continued” their estimates would be upward biased.
