pdf_page_index	text
1	Difference-in-Differences with Multiple Time Periods∗ Brantly Callaway† Pedro H. C. Sant’Anna‡ December 1, 2020 arXiv:1803.09015v4 [econ.EM] 1 Dec 2020 Abstract In this article, we consider identification, estimation, and inference procedures for treatment effect parameters using Difference-in-Differences (DiD) with (i) multiple time periods, (ii) variation in treat- ment timing, and (iii) when the “parallel trends assumption” holds potentially only after conditioning on observed covariates. We show that a family of causal effect parameters are identified in stag- gered DiD setups, even if differences in observed characteristics create non-parallel outcome dynamics between groups. Our identification results allow one to use outcome regression, inverse probability weighting, or doubly-robust estimands. We also propose different aggregation schemes that can be used to highlight treatment effect heterogeneity across different dimensions as well as to summarize the overall effect of participating in the treatment. We establish the asymptotic properties of the proposed estimators and prove the validity of a computationally convenient bootstrap procedure to conduct asymptotically valid simultaneous (instead of pointwise) inference. Finally, we illustrate the relevance of our proposed tools by analyzing the effect of the minimum wage on teen employment from 2001–2007. Open-source software is available for implementing the proposed methods. JEL: C14, C21, C23, J23, J38. Keywords: Difference-in-Differences, Dynamic Treatment Effects, Doubly Robust, Event Study, Vari- ation in Treatment Timing, Treatment Effect Heterogeneity, Semi-Parametric. ∗ First complete version: March 23, 2018. A previous version of this paper has been circulated with the title “Difference- in-Differences with Multiple Time Periods and an Application on the Minimum Wage and Employment”. We thank the Editor, the Associate Editor, two anonymous referees, Stéphane Bonhomme, Carol Caetano, Sebastian Calonico, Xiaohong Chen, Clément de Chaisemartin, Xavier D’Haultfoeuille, Bruno Ferman, John Gardner, Andrew Goodman-Bacon, Federico Gutierrez, Sukjin Han, Hugo Jales, Andrew Johnston, Vishal Kamat, Qi Li, Tong Li, Jason Lindo, Catherine Maclean, Matt Masten, Magne Mogstad, Tom Mroz, Aureo de Paula, Jonathan Roth, Donald Rubin, Bernhard Schmidpeter, Yuya Sasaki, Na’Ama Shenhav, Tymon Sloczyński, Sebastian Tello-Trillo, Alex Torgovitsky, Jeffrey Wooldridge, Haiqing Xu and several seminar and conference audiences for comments and suggestions. Code to implement the methods proposed in the paper is available in the R package did which is available on CRAN. † Department of Economics, University of Georgia. Email: brantly.callaway@uga.edu ‡ Department of Economics, Vanderbilt University. Email: pedro.h.santanna@vanderbilt.edu 1
2	1 Introduction Difference-in-Differences (DiD) has become one of the most popular research designs used to evaluate causal effects of policy interventions. In its canonical format, there are two time periods and two groups: in the first period no one is treated, and in the second period some units are treated (the treated group), and some units are not (the comparison group). If, in the absence of treatment, the average outcomes for treated and comparison groups would have followed parallel paths over time (which is the so-called parallel trends assumption), one can estimate the average treatment effect for the treated subpopulation (ATT) by comparing the average change in outcomes experienced by the treated group to the average change in outcomes experienced by the comparison group. Methodological extensions of DiD methods often focus on this standard two periods, two groups setup; see, e.g., Heckman et al. (1997, 1998), Abadie (2005), Athey and Imbens (2006), Qin and Zhang (2008), Bonhomme and Sauder (2011), de Chaisemartin and D’Haultfœuille (2017), Botosaru and Gutierrez (2018), Callaway et al. (2018), and Sant’Anna and Zhao (2020).1 Many DiD empirical applications, however, deviate from the canonical DiD setup and have more than two time periods and variation in treatment timing. In this article, we provide a unified framework for average treatment effects in DiD setups with multiple time periods, variation in treatment timing, and when the parallel trends assumption holds potentially only after conditioning on observed covariates. We concentrate our attention on DiD with staggered adoption, i.e., to DiD setups such that once units are treated, they remain treated in the following periods. The core of our proposal relies on separating the DiD analysis into three separate steps: (i) identifi- cation of policy-relevant disaggregated causal parameters; (ii) aggregation of these parameters to form summary measures of the causal effects; and (iii) estimation and inference about these different target parameters. Our approach allows for estimation and inference on interpretable causal parameters al- lowing for arbitrary treatment effect heterogeneity and dynamic effects, thereby completely avoiding the issues of interpreting results of standard two-way fixed effects (TWFE) regressions as causal effects in DiD setups as pointed out by Borusyak and Jaravel (2017), de Chaisemartin and D’Haultfœuille (2020), Goodman-Bacon (2019), Sun and Abraham (2020), and Athey and Imbens (2018). In addition, it adds transparency and objectivity to the analysis (Rubin (2007, 2008)), and allows researchers to exploit a variety of estimation methods to answer different questions of interest. The identification step of the analysis provides a blueprint for the other steps. In this paper, we pay particular attention to the disaggregated causal parameter that we call the group-time average treatment effect, i.e., the average treatment effect for group g at time t, where a “group” is defined by the time period when units are first treated. In the canonical DiD setup with two periods and two groups, these parameters reduce to the ATT which is typically the parameter of interest in that setup. An attractive feature of the group-time average treatment effect parameters is that they do not directly restrict heterogeneity with respect to observed covariates, the period in which units are first treated, or the evolution of treatment effects over time. As a consequence, these easy-to-interpret causal parameters can be directly used for learning about treatment effect heterogeneity, and/or to construct many other more aggregated causal 1 See Section 6 of Athey and Imbens (2006) and Theorem S1 in de Chaisemartin and D’Haultfœuille (2017) for notable exceptions that cover multiple periods and multiple groups. 2
3	parameters. We view this level of generality and flexibility as one of the main advantages of our proposal. We provide sufficient conditions related to treatment anticipation behavior and conditional parallel trends under which these group-time average treatment effects are nonparametrically point-identified. A unique feature of our framework is that it shows how researchers can flexibly incorporate covariates into the staggered DiD setup with multiple groups and multiple periods. This is particularly important in applications in which differences in observed characteristics create non-parallel outcome dynamics between different groups – in this case, unconditional DiD strategies are generally not appropriate to recover sensible causal parameters of interest (Heckman et al., 1997, 1998; Abadie, 2005). We propose three different types of DiD estimands in staggered treatment adoption setups: one based on outcome regressions (Heckman et al., 1997, 1998), one based on inverse probability weighting (Abadie, 2005), and one based on doubly-robust methods (Sant’Anna and Zhao, 2020). We provide versions of these estimands both for the case with panel data and for the case with repeated cross sections data. To the best of our knowledge, this paper is the first to show how one can allow for covariate-specific trends across groups in DiD setups with variation in treatment timing. Our results also highlight that, in practice, one can rely on different types of parallel trends assumptions and allow some types of treatment anticipation behavior; our proposed estimands explicitly reflect these assumptions. Our framework acknowledges that in some applications there may be many group-time average treat- ment effects and researchers may want to aggregate them into different summary causal effect measures. This characterizes the aggregation step of the analysis. We provide ways to aggregate the potentially large number of group-time average treatment effects into a variety of intuitive summary parameters and discuss specific aggregation schemes that can be used to highlight different sources of treatment effect heterogeneity across groups and time periods. In particular, we consider aggregation schemes that deliver a single overall treatment effect parameter with similarities to the ATT in the two period and two group case as well as partial aggregations that highlight heterogeneity along certain dimensions such as (a) how average treatment effects vary with length of exposure to the treatment (event-study-type estimands); (b) how average treatment effects vary across treatment groups; and (c) how cumulative average treatment effects evolve over calendar time. We also provide a formal discussion of the costs and benefits of balanc- ing the sample in “event time” when analyzing dynamic treatment effects. Overall, our setup makes it clear that, in general, the “best” aggregation scheme is application-specific as it depends on the type of question one wants to answer. Given that our identification results are constructive, we propose easy-to-use plug-in type (parametric) estimators for the causal parameters of interest. Although the outcome regression, inverse probability weighting and doubly-robust estimands are equivalent from the identification point of view, they suggest different types of DiD estimators one can use in practice. Here, we note that using doubly-robust estimators can be particularly attractive as they rely on less stringent modeling conditions than the outcome regression and the inverse probability weighting procedures. In order to conduct asymptotically valid inference, we justify the use of a computationally conve- nient multiplier-type bootstrap procedure. This approach can be used to obtain simultaneous confidence bands for the group-time average treatment effects. Unlike commonly used pointwise confidence bands, our simultaneous confidence bands asymptotically cover the entire path of the group-time average treat- ment effects with fixed probability and take into account the dependency across different group-time 3
4	average treatment effect estimators. Thus, our proposed confidence bands are arguably more suitable for visualizing the overall estimation uncertainty than more traditional pointwise confidence intervals. We illustrate the practical relevance of our proposal by analyzing the effect of the minimum wage on teen employment. Here, we follow much empirical work on the effects of the minimum wage and exploit having access to panel data and variation in treatment timing across states (e.g., Card and Krueger (1994); Neumark and Wascher (2000, 2008); Dube et al. (2010), among many others) in order to estimate the effect of the minimum wage on employment. Interestingly, in our setup, using our approach leads to qualitatively different results than results from the TWFE estimator. This suggests that, at least in certain applications, using methods that are robust to treatment effect heterogeneity can lead to meaningful differences relative to more standard TWFE regressions. Recent Related Literature: This paper is related to the recent and emerging literature on het- erogeneous treatment effects in DiD and/or event studies with variation in treatment timing; see, e.g., de Chaisemartin and D’Haultfœuille (2020), Goodman-Bacon (2019), Imai et al. (2018), Borusyak and Jaravel (2017), Athey and Imbens (2018) and Sun and Abraham (2020). All these papers present, among other things, some negative results about the interpretation of parameters associated with standard TWFE linear regression specifications; see also Laporte and Windmeijer (2005), Wooldridge (2005a), Chernozhukov et al. (2013), and Gibbons et al. (2018) for earlier related results based on (one-way) fixed- effect estimators. Our proposed procedure completely bypasses the pitfalls highlighted in these papers as we clearly separate the identification, aggregation and estimation/inference steps of the analysis. These aforementioned papers also propose alternative DiD estimators that do not suffer from the pitfalls associated with TWFE. Among these, perhaps the closest to our proposal are those of de Chaise- martin and D’Haultfœuille (2020), and Sun and Abraham (2020), though several major differences are worth stressing. de Chaisemartin and D’Haultfœuille (2020) is focused on recovering an instantaneous treatment effect measure, while we pay particular attention to treatment effect dynamics. In fact, our framework allows one to form families of different aggregate parameters in a unified manner. Second, while we pay particular attention to the role played by pre-treatment covariates, de Chaisemartin and D’Haultfœuille (2020) mainly focus on unconditional DiD designs. On the other hand, the setup in de Chaisemartin and D’Haultfœuille (2020) is more general than ours as we consider staggered adoption designs and they allow for more general treatment selection. Nonetheless, we note that the unconditional versions of our parallel trends assumptions are weaker than the one in de Chaisemartin and D’Haultfœuille (2020), even if one were to specialize their setup to staggered adoption designs. Sun and Abraham (2020) proposes a parameter, cohort-specific average treatment effects, that trans- lates our group-time average treatment effects from calendar time into event time. Sun and Abraham (2020) proposes regression-based estimators of these parameters that have similar properties to our esti- mators in the specific case of staggered treatment adoption under an unconditional version of the parallel trends assumption. However, our approach is more general in several respects. First, we allow for parallel trends assumptions to hold after conditioning on covariates, and it is not clear how to adapt the regression based estimators in Sun and Abraham (2020) to this case. Second, we consider a wide variety of possible aggregations of group-time average treatment effects where Sun and Abraham (2020) focuses particularly 4
5	on the event study type of aggregation. Third, we make use of simultaneous inference procedures that explicitly account for potential multiple-testing problems; Sun and Abraham (2020) focuses on pointwise inference. On the other hand, we do not have any results highlighting the pitfalls associated with using TWFE specifications with leads and lags of treatment indicators to conduct causal inference; these are unique to Sun and Abraham (2020). We also note that Athey and Imbens (2018) considers a staggered treatment adoption setup similar to ours. However, the starting point of Athey and Imbens (2018) is an assumption that the treatment adoption date is fully randomized which is stronger than our parallel trends assumptions. We also note that Athey and Imbens (2018) abstracts away from the important role played by covariates in the DiD analysis and does not consider aggregation schemes to summarize treatment effect heterogeneity like we do. On the other hand, we stress that the main focus of their paper is on providing design-based inference procedures for staggered DiD setups with random treatment dates. Their design-based inference procedures complement our sampling-based inference procedures. Organization of the paper: The remainder of this article is organized as follows. Section 2 presents our main identification results. We discuss our different aggregation schemes in Section 3. Estimation and inference procedures for the treatment effects of interest are presented in Section 4. We revisit the effect of minimum wage on employment in Section 5. Section 6 concludes. Proofs as well as additional methodological results are reported in the Appendix. In the Supplementary Appendix, we present proofs for the results when only repeated cross-sections data is available, provide additional details about the empirical application, and present a small scale Monte Carlo simulation to illustrate the finite sample properties of our proposed estimators.2 2 Identification 2.1 Setup We first introduce the notation we use throughout the article. We consider the case with T periods and denote a particular time period by t where t = 1, . . . , T . In a canonical DiD setup, T = 2 and no one is treated in period t = 1. Let Di,t be a binary variable equal to one if unit i is treated in period t and equal to zero otherwise. We make the following assumption about the treatment process: Assumption 1 (Irreversibility of Treatment). D1 = 0 almost surely (a.s.). For t = 2, . . . , T , Dt−1 = 1 implies that Dt = 1 a.s.. Assumption 1 states that no one is treated at time t = 1, and that once a unit becomes treated, that unit will remain treated in the next period.3 This assumption is also called staggered treatment 2 Supplementary Appendix is available at https://pedrohcgs.github.io/files/Callaway_SantAnna_2020_supp.pdf. 3 In applications, it can be the case that some units are already treated by the first time period. In our case, we would drop these units; this is analogous to the case with two time periods. The reason to drop these units is that untreated potential outcomes are never observed for this group which will imply that treatment effects are not identified for this group nor are they useful as a comparison group under a parallel trends assumption. 5
6	adoption in the literature. We interpret this assumption as if units do not “forget” about the treatment experience.4 Define G as the time period when a unit first becomes treated. Under Assumption 1, for all units that eventually participate in the treatment, G defines which “group” they belong to. If a unit does not participate in any time period, we arbitrarily set G = ∞. We define Gg to be a binary variable that is equal to one if a unit is first treated in period g (i.e., Gi,g = 1{Gi = g}) and define C to be a binary variable that is equal to one for units that do not participate in the treatment in any time period (i.e., Ci = 1{Gi = ∞} = 1−Di,T ). Let ḡ = maxi=1,··· ,n Gi be the maximum G in the dataset. Next, denote the generalized propensity score as pg,s (X) = P (Gg = 1|X, Gg + (1 − Ds ) (1 − Gg ) = 1). Note that pg,s (X) indicates the probability of being first treated at time g, conditional on pre-treatment covariates X and on either being a member of group g (in this case, Gg = 1) or a member of the “not-yet-treated” group by time s (in this case, (1−Ds )(1−Gg ) = 1). Many of our results use a specialized version of this generalized propensity score, and, henceforth, we define pg (X) = pg,T (X) = P (Gg = 1|X, Gg + C = 1) which is the probability of being first treated in period g conditional on covariates and either being a member of group g or not participating in the treatment in any time period. Let G = supp(G)\ {ḡ} ⊆ {2, 3, . . . , T } denote the support of G excluding ḡ.5 Likewise, let X = supp(X) ⊆ Rk denote the support of the pre-treatment covariates. Finally, for a generic δ ≥ 0, let Gδ = G∩ {2 + δ, 3 + δ, . . . , T }. Next, we set up the potential outcomes framework. Here, we combine the dynamic potential outcomes framework of Robins (1986, 1987) with the multi-stage treatment adoption setup discussed by Heckman et al. (2016); see also Sianesi (2004). Let Yi,t (0) denote unit i’s untreated potential outcome at time t if they remain untreated through time period T ; i.e., if they were not to participate in the treatment across all available time periods. For g = 2, . . . , T , let Yi,t (g) denote the potential outcome that unit i would experience at time t if they were to first become treated in time period g. Note that our potential outcomes notation accounts for potential dynamic treatment selection, though it also accommodates (pre- specified) treatment regimes (Murphy et al., 2001; Murphy, 2003). The observed and potential outcomes for each unit i are related through T X Yi,t = Yi,t (0) + (Yi,t (g) − Yi,t (0)) · Gi,g (2.1) g=2 In other words, we only observe one potential outcome path for each unit. For those that do not participate in the treatment in any time period, observed outcomes are untreated potential outcomes in all periods. For units that do participate in the treatment, observed outcomes are the unit-specific potential outcomes corresponding to the particular time period when that unit adopts the treatment. We also impose the following random sampling assumption. Assumption 2 (Random Sampling). {Yi,1 , Y,i2 , . . . Yi,T , Xi , Di,1 , Di,2 , . . . , Di,T }ni=1 is independent and identically distributed (iid). Assumption 2 implies that we have access to panel data; our results extend essentially immediately 4 See Han (2020), de Chaisemartin and D’Haultfœuille (2020) and Bojinov et al. (2020) for alternative setups where treatment can “turn off”. 5 When there is a “never treated” set of units with G = ∞, G only excludes this group. When such “never-treated” group is not available, we exclude the latest-treated group as there will be no valid untreated comparison group for them. 6
7	to the case with repeated cross sections data and this case is developed in Appendix B. Here, we note that Assumption 2 allows us to view all potential outcomes as random. Furthermore, it does not impose restrictions between potential outcomes and treatment allocation, nor does it restrict the time series dependence of the observed random variables. On the other hand, Assumption 2 imposes that each unit i is randomly drawn from a large population of interest. For an alternative design-based inference approach, see Athey and Imbens (2018). Henceforth, to keep the notation more concise, we will suppress the unit index i in our notation. 2.2 The Group-Time Average Treatment Effect Parameter Given that different potential outcomes cannot be observed for the same unit at the same time, researchers often focus on identifying and estimating some average causal effects. For instance, in the canonical DiD setup with two time periods, the most popular treatment effect parameter of interest is the average treatment effect on the treated, denoted by6 AT T = E[Y2 (2) − Y2 (0)|G2 = 1]. In this paper, we consider a natural generalization of the AT T that is suitable to setups with multiple treatment groups and multiple time periods. More precisely, we use the average treatment effect for units who are members of a particular group g at a particular time period t, denoted by AT T (g, t) = E[Yt (g) − Yt (0)|Gg = 1], as the main building block of our framework. We call this causal parameter the group-time average treatment effect. Note that the AT T (g, t) does not impose any restriction on treatment effect heterogeneity across groups or across time. Thus, focusing on the family of AT T (g, t)’s allow us to analyze how average treatment effects vary across different dimensions in a unified manner. For instance, by fixing a group g and varying time t, one is able to highlight how average treatment effects evolve over time for that specific group. By doing this for different groups, we can have a better understanding about how treatment effect dynamics vary across groups. In addition, as we discuss in Section 3, one can build on the AT T (g, t)’s to form more aggregated causal parameters that are constructed to answer specific questions like: (a) What was the average effect of participating in the treatment across all groups that participated in the treatment by time period T ? (b) Are average treatment effects heterogeneous across groups? (c) How do average treatment effects vary by length of exposure to the treatment? (d) How do cumulative average treatment effects evolve over calendar time? We view this level of generality and flexibility as one of the main advantages of our framework that first focuses on the family of AT T (g, t)’s. 2.3 Identifying Assumptions In order to identify the AT T (g, t) and their functionals, we impose the following assumptions. 6 Existence of expectations is assumed throughout. 7
8	Assumption 3 (Limited Treatment Anticipation). There is a known δ ≥ 0 such that E[Yt (g)|X, Gg = 1] = E[Yt (0)|X, Gg = 1] a.s. for all g ∈ G, t ∈ {1, . . . , T } such that t < g − δ. Assumption 3 restricts anticipation of the treatment for all “eventually treated” groups. When δ = 0, it imposes a “no-anticipation” assumption, see, e.g., Abbring and van den Berg (2003) and Sianesi (2004). This is likely to be the case when the treatment path is not a priori known and/or when units are not the ones who “choose” treatment status. However, Assumption 3 also allows for anticipation behavior, as long as we have a good understanding about the anticipation horizon δ. For instance, if units anticipate treatment by one period, Assumption 3 would hold with δ = 1; see, e.g., Laporte and Windmeijer (2005) and Malani and Reif (2015) for the importance of accounting for potential anticipation behavior. Note that, under Assumption 3, AT T (g, t) = 0 for all pre-treatment periods such that t < g − δ. Next, we consider two alternative assumptions that impose restrictions on the evolution of untreated potential outcomes. Assumption 4 (Conditional Parallel Trends based on a “Never-Treated” Group). Let δ be as defined in Assumption 3. For each g ∈ G and t ∈ {2, . . . , T } such that t ≥ g − δ, E[Yt (0) − Yt−1 (0)|X, Gg = 1] = E[Yt (0) − Yt−1 (0)|X, C = 1] a.s.. Assumption 5 (Conditional Parallel Trends based on “Not-Yet-Treated” Groups). Let δ be as defined in Assumption 3. For each g ∈ G and each (s, t) ∈ {2, . . . , T } × {2, . . . , T } such that t ≥ g − δ and t + δ ≤ s < ḡ, E[Yt (0) − Yt−1 (0)|X, Gg = 1] = E[Yt (0) − Yt−1 (0)|X, Ds = 0, Gg = 0] a.s.. Assumptions 4 and 5 are two different conditional parallel trends assumptions that generalize the two-period parallel trends assumption to the case where there are multiple time periods and multiple treatment groups; see, e.g., Heckman et al. (1997, 1998), Abadie (2005) and Sant’Anna and Zhao (2020). Both assumptions hold after conditioning on covariates X. This can be important in many applications in economics particularly in cases where there are covariate specific trends in outcomes over time and when the distribution of covariates is different across groups. For example, Heckman et al. (1997) motivates conditional parallel trends assumptions in the context of evaluating a job training program. For evaluating job training programs, the distribution of observed covariates such as age, employment history, and years of education is often quite different between individuals who participate in job training and those that do not. When the path of labor market outcomes (in the absence of participating in job training) depends on these covariates, a conditional parallel trends becomes more plausible than an unconditional parallel trends assumption. In fact, ignoring the presence of covariate-specific trends can result in important biases when evaluating causal effects of policy interventions using unconditional DiD methods. Assumptions 4 and 5 differ from each other depending on the comparison group one is willing to use in a given application. More specifically, Assumption 4 states that, conditional on covariates, the average outcomes for the group first treated in period g and for the “never-treated” group would have followed parallel paths in the absence of treatment. Assumption 5 imposes conditional parallel trends between 8
9	group g and groups that are “not-yet-treated” by time t + δ.7 Importantly, both of these assumptions allow for covariate-specific trends and do not restrict the relationship between treatment timing and the potential outcomes, Yt (g)’s. Thus, they are weaker than the randomization-based assumption made by Athey and Imbens (2018). We also note that the unconditional versions of Assumptions 4 and 5 are weaker than the parallel trends assumption imposed by de Chaisemartin and D’Haultfœuille (2020) and Sun and Abraham (2020) as they impose fewer restrictions on the evolution of Yt (0) in pre-treatment periods; see, e.g., Marcus and Sant’Anna (2020) for a comparison. In our view, practitioners may favor Assumption 4 with respect to Assumption 5 when there is a sizable group of units that do not participate in the treatment in any period, and, at the same time, these units are similar enough to the “eventually treated” units. When a “never-treated” group of units is not available or “too small”, researchers may favor Assumption 5 as it allows one to use more groups as valid comparison units, which potentially leads to more informative inference procedures. However, it is important to stress that favoring Assumption 5 with respect to Assumption 4 also involves potential drawbacks. For instance, in the absence of treatment anticipation (δ = 0), Assumption 4 does not restrict observed pre-treatment trends across groups, whereas Assumption 5 does; see, e.g., Marcus and Sant’Anna (2020). Not restricting pre-treatment trends may be particularly meaningful in applications where the economic environment during the “early-periods” was potentially different from the “later-periods.” In these cases, the outcomes of different groups may evolve in a non-parallel manner during “early-periods”, perhaps because the groups were exposed to different shocks, while trends become parallel in the “later- periods.” We recommend taking these trade-offs into account when deciding which conditional parallel trends assumption is more appropriate for a given application.8 The final identifying assumption we impose is an overlap condition. Assumption 6 (Overlap). For each t ∈ {2, . . . , T }, g ∈ G, there exist some ε > 0 such that P (Gg = 1) > ε and pg,t (X) < 1 − ε a.s.. Assumption 6 extends the overlap assumption in Heckman et al. (1997, 1998), Abadie (2005), and Sant’Anna and Zhao (2020) to the multiple groups and multiple periods setup. It states that a positive fraction of the population starts treatment in period g, and that, for all g and t, the generalized propensity score is uniformly bounded away from one. Assumption 6 rules out “irregular identification”, see, e.g., Khan and Tamer (2010). Remark 1. Note that Assumption 3 and Assumption 4 (Assumption 5) are intrinsically connected. For instance, when one imposes the “no-anticipation” condition (so that δ = 0), Assumption 4 would then impose conditional parallel trends only for post-treatment periods t ≥ g. If one allows for anticipation behavior (so that δ > 0), Assumption 4 would then impose conditional parallel trends in some pre- treatment periods, too. In fact, the parallel trends assumptions become stronger as one increases δ. To 7 Athey and Imbens (2006) and de Chaisemartin and D’Haultfœuille (2017) also consider using “not-yet-treated” units as comparison groups in related DiD procedures. 8 It may be tempting to use statistical pre-tests to select between different versions of the parallel trends assumption. However, the results of Roth (2020) show that such a practice can lead to important distortions when conducting inference. Thus, we do not recommend following this path, but instead recommend taking the context of the application into account in order to choose the appropriate parallel trends assumption. 9
10	the best of our knowledge, this trade-off between the strength of these assumptions has not been noticed before. Remark 2. In some applications, practitioners may not be comfortable with using “never-treated” units as part of the comparison group because they behave very differently from the other “eventually treated” units. In these cases, practitioners could drop all “never-treated” units from the analysis and proceed with Assumption 5. 2.4 Nonparametric Identification of the Group-Time Average Treatment Effects In this section, we show that the family of group-time average treatment effects are nonparametrically point-identified under the aforementioned assumptions. Furthermore, we show that one can use outcome regression (OR), inverse probability weighting (IPW), or doubly robust (DR) estimands to recover the AT T (g, t)’s. In addition, we also highlight the roles played by Assumption 3 and by Assumptions 4 and 5 when forming these different estimands. Before formalizing all the results, we need to introduce some additional notation. Let mnev g,t,δ (X) = E [Yt − Yg−δ−1 |X, C = 1] and mny g,t,δ (X) = E [Yt − Yg−δ−1 |X, Dt+δ = 0, Gg = 0]. These are population outcome regressions for the never-treated group and for the “not-yet-treated” by time t + δ group. Let pg (X) C    nev  Gg 1 − pg (X)   AT Tipw  E [Gg ] −  pg (X) C   (Yt − Yg−δ−1 ) , (g, t; δ) = E  (2.2)    E 1 − pg (X)   nev Gg nev  AT Tor (g, t; δ) = E Yt − Yg−δ−1 − mg,t,δ (X) , (2.3) E [Gg ] pg (X) C    nev  Gg 1 − pg (X)  nev  AT Tdr  E [Gg ] −  pg (X) C   Yt − Yg−δ−1 − mg,t,δ (X)  . (g, t; δ) = E  (2.4)    E 1 − pg (X) Analogously, let pg,t+δ (X) (1 − Dt+δ ) (1 − Gg )    ny  Gg 1 − pg,t+δ (X)   AT Tipw  E [Gg ] −  pg,t+δ (X) (1 − Dt+δ ) (1 − Gg )   (Yt − Yg−δ−1 ) , (g, t; δ) = E  (2.5)    E 1 − pg,t+δ (X)   ny Gg  ny AT Tor (g, t; δ) = E Yt − Yg−δ−1 − mg,t,δ (X) , (2.6) E [Gg ] pg,t+δ (X) (1 − Dt+δ ) (1 − Gg )    ny  Gg 1 − pg,t+δ (X)    Yt − Yg−δ−1 − mny (X)  . AT Tdr (g, t; δ) = E   −   g,t,δ  E [Gg ] pg,t+δ (X) (1 − Dt+δ ) (1 − Gg )   E 1 − pg,t+δ (X) (2.7) With some abuse of notation, we write ḡ − δ = ∞ for any non-negative δ whenever ḡ = ∞. 10
