pdf_page_index	text
1	Canaries in the Coal Mine? Six Facts about the Recent Employment Effects of Artificial Intelligence Erik Brynjolfsson∗ Bharat Chandar† Ruyu Chen‡§¶ August 26, 2025 Abstract This paper examines changes in the labor market for occupations exposed to generative artificial intelligence using high-frequency administrative data from the largest payroll software provider in the United States. We present six facts that characterize these shifts. We find that since the widespread adoption of generative AI, early-career workers (ages 22-25) in the most AI-exposed occupations have experienced a 13 percent relative decline in employment even after controlling for firm-level shocks. In contrast, employment for workers in less exposed fields and more experienced workers in the same occupations has remained stable or continued to grow. We also find that adjustments occur primarily through employment rather than compensation. Furthermore, employment declines are concentrated in occupations where AI is more likely to automate, rather than augment, human labor. Our results are robust to alternative explanations, such as excluding technology-related firms and excluding occupations amenable to remote work. These six facts provide early, large-scale evidence consistent with the hypothesis that the AI revolution is beginning to have a significant and disproportionate impact on entry-level workers in the American labor market. ∗ Stanford University and NBER; erikb@stanford.edu † Stanford University; chandarb@stanford.edu ‡ Stanford University; ruyuchen@stanford.edu § Thanks to Nick Bloom, Joshua Gans, David Autor, Daniel Rock, Fei-Fei Li, Frank Li, Christina Langer, Sarah Bana, Cody Cook, Chris Forman, Andrew Wang, Brad Ross, Omeed Maghzian, Basil Halperin, Jiaxin Pei, Phil Trammell, Eric Bergman and participants at the Stanford Digital Economy Lab workshop for helpful feedback. We are grateful to ADP for access to the data and the Stanford Digital Economy Lab for financial support. All errors are our own. ¶ Latest version: https://digitaleconomy.stanford.edu/publications/canaries-in-the-coal-mine/ 1
2	1 Introduction The proliferation of generative artificial intelligence (AI) has sparked a global debate about its potential impact on the labor market. This discourse, across academia, public policy, business, and popular media, spans utopian predictions of enhanced productivity, dystopian fears of widespread job displacement, and skeptical views that AI will have minimal effects on employment or pro- ductivity. Historically, technologies have affected different tasks, occupations, and industries in different ways, replacing work in some, augmenting others, and transforming still others. These heterogeneous effects suggest that there may be “canaries in the coal mine” which are harbingers of more widespread effects of AI. There have been rapid improvements in AI capabilities in several areas. For instance, according to the most recent AI Index Report, AI systems could solve just 4.4% of coding problems on SWE- Bench, a widely used benchmark for software engineering, in 2023, but performance increased to 71.7% in 2024 (Maslej et al., 2025).1 AI has improved on other benchmarks as well including language understanding, subject knowledge, and reasoning. At the same time, AI systems are increasingly widely adopted. According to Hartley et al. (2025), LLM adoption at work among U.S. survey respondents above age 18 reached 46% by June/July 2025.2 Given the better capabilities and widespread adoption, a central concern, amplified in recent headlines, is whether AI is beginning to supplant human labor, particularly for younger, entry-level workers in highly exposed professions like software engineering and customer service.3 Despite the intensity of this debate, empirical evidence has struggled to keep pace with techno- logical advancement, leaving many fundamental questions unanswered. This paper confronts this empirical gap by leveraging a large-scale, high-frequency administrative dataset from ADP, the largest payroll software provider in the United States. Our sample consists of monthly, individual- level payroll records through July 2025, encompassing millions of workers across tens of thousands of firms. This rich panel structure allows us to track employment dynamics with a high degree of 1 SWE-bench is designed to evaluate the performance of large language models (LLMs) on real-world software engineering tasks. It uses a collection of GitHub issues to assess an LLM’s ability to generate code that resolves those issues. 2 Similarly, Bick et al. (2024) found that in late 2024, nearly 40% of the U.S. population age 18-64 reported using generative AI, with 23% of employed respondents saying they had used generative AI for work at least once in the previous week, and 9% every work day. 3 Improved productivity of workers in an occupation could lead to either reduced or increased employment, de- pending on, among other things, how elastic demand is for the output of those workers. 2
3	granularity, providing a near real-time view of labor market adjustments. By linking this data to established measures of occupational AI exposure and other variables, we can quantify the realized employment changes since the widespread adoption of generative AI. This paper systematically presents six key facts that emerge from the data, offering an assess- ment of how the AI revolution is reshaping the American workforce. Our first key finding is that we uncover substantial declines in employment for early-career workers (ages 22-25) in occupations most exposed to AI, such as software developers and cus- tomer service representatives. In contrast, employment trends for more experienced workers in the same occupations, and workers of all ages in less-exposed occupations such as nursing aides, have remained stable or continued to grow. Our second key fact is that overall employment continues to grow robustly, but employment growth for young workers in particular has been stagnant since late 2022. In jobs less exposed to AI young workers have experienced comparable employment growth to older workers. In contrast, workers aged 22 to 25 have experienced a 6% decline in employment from late 2022 to July 2025 in the most AI-exposed occupations, compared to a 6-9% increase for older workers. These results suggest that declining employment AI-exposed jobs is driving tepid overall employment growth for 22- to 25- year-olds as employment for older workers continues to grow. Our third key fact is that not all uses of AI are associated with declines in employment. In particular, entry-level employment has declined in applications of AI that automate work, but not those that most augment it. We distinguish between automation and augmentation empirically using estimates of the extent to which observed queries to Claude, the LLM, substitute or com- plement for the tasks in that occupation. While we find employment declines for young workers in occupations where AI primarily automates work, we find employment growth in occupations in which AI use is most augmentative. These findings are consistent with automative uses of AI substituting for labor while augmentative uses do not. Fourth, we find that employment declines for young, AI-exposed workers remain after condition- ing on firm-time effects. One class of explanations for our patterns is that they may be driven by industry- or firm-level shocks such as interest rate changes that correlate with sorting patterns by age and measured AI exposure. We test for a class of such confounders by controlling for firm-time effects in an event study regression, absorbing aggregate firm shocks that impact all workers at a 3
4	firm regardless of AI exposure. For workers aged 22-25, we find a 12 log-point decline in relative employment for the most AI-exposed quintiles compared to the least exposed quintile, a large and statistically significant effect. Estimates for other age groups are much smaller in magnitude and not statistically significant. These findings imply that the employment trends we observe are not driven by differential shocks to firms that employ a disproportionate share of AI-exposed young workers. Fifth, the labor market adjustments are visible in employment more than compensation. In contrast to our findings for employment, we find little difference in annual salary trends by age or exposure quintile, suggesting possible wage stickiness. If so, AI may have larger effects on employment than on wages, at least initially. Sixth, the above facts are largely consistent across various alternative sample constructions. We find that our results are not driven solely by computer occupations or by occupations susceptible to remote work and outsourcing. We also find that the AI exposure taxonomy did not meaningfully predict employment outcomes for young workers further back in time, before the widespread use of LLMs, including during the unemployment spike driven by the COVID-19 pandemic. The patterns we observe in the data appear most acutely starting in late 2022, around the time of rapid proliferation of generative AI tools.4 They also hold for both occupations with a high share of college graduates and ones with a low college share, suggesting deteriorating education outcomes during COVID-19 do not drive our results. For non-college workers, we find evidence that experience may serve as less of a buffer to labor market disruption, as low college share occupations exhibit divergent employment outcomes by AI exposure up to age 40. While we caution that the facts we document may in part be influenced by factors other than generative AI, our results are consistent with the hypothesis that generative AI has begun to affect entry-level employment. We intend to continue to track the data on an ongoing basis to assess whether these trends change in the future. Why might AI adversely affect exposed entry-level workers more than other age groups? One possibility is that, by nature of the model training process, AI replaces codified knowledge, the “book-learning” that forms the core of formal education. AI may be less capable of replacing 4 OpenAI introduced ChatGPT in November 2022. 4
5	tacit knowledge, the idiosyncratic tips and tricks that accumulate with experience. 5 As young workers supply relatively more codified knowledge than tacit knowledge, they may face greater task replacement from AI in exposed occupations, leading to greater employment reallocation (Acemoglu and Autor, 2011). In contrast older workers with accumulated tacit knowledge may face less task replacement. These benefits of tacit knowledge may accrue less to non-college workers in occupations with low returns to experience. Furthermore, more experienced workers may be more skilled in other ways, making them less vulnerable to substitution by AI tools (Ide, 2025). An important direction for research is to further model and test these predictions. 2 Related Literature This paper engages with a large public debate in academia, public policy, business, and media on the employment effects of artificial intelligence. Much of this discourse centers on whether AI is displacing workers in exposed professions such as software engineers.6 Some work has noted that the unemployment rate for college graduates has risen above the rate for non-graduates, suggesting this as evidence of employment disruptions from AI (Thompson, 2025). Others have noted that these trends long preceded the spread of AI and have noted that publicly available data such as the Current Population Survey (CPS) show mixed evidence on employment changes in AI-exposed occupations (Lim et al., 2025; The Economist, 2025; Smith, 2025; Eckhardt and Goldschlag, 2025; Frick, 2025).7 These debates remain unsettled and in search of high quality data on labor market changes among exposed groups. Our paper provides large-scale data to measure employment changes with a high degree of granularity and precision, finding that young workers in AI-exposed occupations have indeed experienced employment declines. 5 Ironically, one of the practical skills more likely to be learned on the job than in university computer science classes may be how to use AI software development. 6 Some recent media on this topic includes Horowitch (2025); Ettenheim (2025); Raman (2025); Roose (2025); Peck (2025); Hoover (2025); Milmo and Almeida (2025); Wu (2025); Raval (2025). A number of technology executives have also warned of potential job loss from AI (Allen, 2025; Sherman, 2025; Bacon, 2025) or laid off workers with the aim of incresing AI investments (Jamali, 2025). 7 Reports from industry have also shown mixed findings. Job posting platform TrueUp suggests a recent increase in postings in the tech sector (Lenny Rachitsky, 2025). On the other hand, Revelio Labs finds a decline in job postings, with the decrease steeper for entry-level workers (Simon, 2025). Indeed job posting data suggest declines in postings for new graduates but find these declines for less AI-exposed occupations as well (Lim et al., 2025). Chandar (2025b) notes that the correlation between job postings and employment has been weak over recent years. SignalFire finds steep declines in new graduate hires in the tech sector compared to pre-Pandemic levels (Doshay and Bantock, 2025), consistent with the findings in this paper. Data from Gusto also suggests a decline in new graduate hiring (Bowen, 2025). 5
6	In academia, there is a growing body of research seeking to measure the employment effects of AI. The advent of this literature included a series of influential papers that established methodolo- gies for estimating which occupations and tasks were susceptible to automation (Frey and Osborne, 2017; Brynjolfsson and Mitchell, 2017; Brynjolfsson et al., 2018; Felten et al., 2018, 2019; Webb, 2019; Felten et al., 2021). More recently, work such as Eloundou et al. (2024); Felten et al. (2023); Gmyrek et al. (2023); Handa et al. (2025), and Tomlinson et al. (2025) adapted this approach for Generative AI, forming the basis for exposure metrics used in this analysis. While these studies identify potential disruption, ours connect these exposure measures to actual employment changes. We find that these measures of exposure do indeed predict substantial employment changes for young workers in the period after the spread of generative AI. Our work complements and broadens insights from studies that find significant effects in more specific settings, such as on online freelance platforms (Hui et al., 2023; Demirci et al., 2025) or within individual firms (Brynjolfsson et al., 2025; Dillon et al., 2025).8 We measure labor market changes across occupations spanning the US economy. In this sense our work complements a small but growing list of papers that use economy- wide data to measure AI’s impact. Recent findings have been varied. Humlum and Vestergaard (2025) use Danish administrative data to conclude there were minimal effects on earnings or hours worked, while Jiang et al. (2025) find AI exposure is correlated with longer work hours in the U.S.9 Hampole et al. (2025) use job postings and LinkedIn profile records from Revelio labs from 2011 to 2023 to find limited employment impacts overall, with growing overall labor demand at firms offsetting relative declines in demand for exposed occupations. Chandar (2025b) uses data from the CPS to compare employment changes in more and less AI-exposed professions, finding little differential trend overall but noting the difficulty of measuring changes for young workers because of the limited effective sample size. Dominski and Lee (2025) similarly use CPS data with alternative exposure measures and find declines in employment in AI-exposed occupations, though data limitations in the CPS limit the capacity for statistical inference. Johnston and Makridis (2025) find employment increases in state-industry pairs more exposed to AI using data from the 8 See also Noy and Zhang (2023); Peng et al. (2023); Dell’Acqua et al. (2023). 9 See also Acemoglu et al. (2022); Bonney et al. (2024); Bick et al. (2024); Hartley et al. (2025); Frank et al. (2025); Chen et al. (2025). 6
7	Quarterly Census of Employment and Wages (QCEW).10 These prior papers use data that lack either sufficient granularity or immediacy to reliably study employment changes by AI exposure and age (O’Brien, 2025).11 In contrast, this paper uses large-scale, close to real-time data to take a step towards resolving the ongoing debate on the employment effects of AI on young workers. 3 Data Description 3.1 Payroll Data This study uses data from ADP, the largest payroll processing firm in America. The company provides payroll services for firms employing over 25 million workers in the US. We use this infor- mation to track employment changes for workers in occupations measured as more or less exposed to artificial intelligence. We make several sample restrictions for our main analysis sample. We include only workers employed by firms that use ADP’s payroll product to maintain worker earnings records. We also exclude employees classified by firms as part-time from the analysis and subset to people between the age of 18 and 70.12 The set of firms using payroll services changes over time as companies join or leave ADP’s platform. We maintain a consistent set of firms across our main sample period by keeping only companies that have employee earnings records for each month from January 2021 through July 2025. In addition, ADP observes job titles for about 70% of workers in its system. We exclude workers who do not have a recorded job title. There are over 7,000 standardized job titles, examples of which include “Search engineer optimization specialist,” “Enterprise content management manager,” and “Plant documentation control specialist.” The company’s internal research team maps each of 10 Johnston and Makridis (2025) measure state-industry exposure by taking an average of Eloundou et al. (2024)’s occupational exposure weighted by state-industry employment. Industry-level labor market changes may be distinct from the occupation-level changes studied in this paper if firms make capital investments or become more productive in ways that increases overall labor demand (Hampole et al., 2025). 11 As a comparison, the CPS surveyed between 44,000 and 51,000 employed individuals in total across all age groups in each month since 2021. Between 10,000 and 12,000 of these observations were in the outgoing rotation group and included earnings records. The data in our main analysis sample includes between 250,000 and 350,000 employed individuals in each month just between the ages of 22 and 25, all with earnings records. 12 While we observe the year of birth for each worker, for privacy reasons we do not observe the exact date of birth. We impute month of birth from the distribution of birth months in the United States using data from the Center for Disease Control and Prevention. 7
8	these job titles to a 2010 Standard Occupational Classification (SOC) code, additionally using information such as the job description, industry, location, and other relevant data. We use these estimated SOC codes to merge our data to occupational AI exposure measures described below in Section 3.2. After these restrictions we have records on between 3.5 and 5 million workers each month for our main analysis sample, though we consider robustness to alternative analyses such as allowing for firms to enter and leave the sample. While the ADP data include millions of workers in each month, the distribution of firms using ADP services does not exactly match the distribution of firms across the broader US economy. Further details on differences in firm composition can be found in Cajner et al. (2018) and ADP Research (2025).13 3.2 Occupational AI Exposure We use two different approaches for measuring occupational exposure to AI. The first uses exposure measures from Eloundou et al. (2024). Eloundou et al. (2024) estimate AI exposure by O*NET task using ChatGPT validated with human labeling. They then construct occupational exposure measures by aggregating the task data to the 2018 SOC code level. We focus on the GPT-4 based β exposure measures from their paper. The second primary approach we take uses data on generative AI usage from the Anthropic Economic Index (Handa et al., 2025). This index reports the estimated share of queries pertaining to each O*NET task based on a sample of several million conversations with Claude, Anthropic’s generative AI model. It then aggregates the data to the occupational level based on these task shares. One feature of the Anthropic Economic Index is that for each task it also reports estimates of the share of queries pertaining to that task that are “automative,” “augmentative,” or none of the above. We use this information as an estimate of whether usage of AI for an occupation is primarily complementary or substitutable with labor.14 13 Cajner et al. (2018) find a somewhat higher share of manufacturing and services firms compared to the Quarterly Census of Employment and Wages (QCEW) using data from March 2016. They also find that ADP somewhat overrepresents firms in the Northeast. In addition, firms using ADP tend to grow faster on average than the typical firm in the US economy. 14 Specifically, Handa et al. (2025) first use Claude to classify conversations into six categories: Directive, meaning complete task delegation with minimal interaction; Feedback Loop, meaning task completion guided by environmen- tal feedback such as when repeatedly relaying coding errors to the model; Task Iteration, meaning a collaborative 8
9	Both the Eloundou et al. (2024) measures and the Handa et al. (2025) measures estimate AI exposure by 2018 SOC code. We use a 2010 SOC code to 2018 SOC code crosswalk from the BLS to merge the exposure measures to the payroll data. Table A1 shows example occupations for each AI exposure measure. 3.3 Other Data To compare employment changes for teleworkable versus non-teleworkable occupations, we use data from Dingel and Neiman (2020). We use the Personal Consumption Expenditure index from the BLS to compute real earnings, indexed to October 2017. We use monthly Current Population Survey (CPS) data as a comparison for our main findings. 4 Results 4.1 Fact 1: Employment for young workers has declined in AI-exposed occu- pations Consider software engineers and customer service agents, two occupations that are frequently con- sidered to be highly exposed to generative AI tools. Media attention has raised the specter of widespread employment disruption for young software engineers in particular (Thompson, 2025; Raman, 2025; Allen, 2025; Horowitch, 2025). Figure 1 shows employment changes by age group for these occupations, normalized to 1 in October 2022. Both occupations present a similar pattern: employment for the youngest workers declines considerably after 2022, while employment for other age groups continues to grow. By July, 2025, employment for software developers aged 22-25 declined by nearly 20% compared to its peak in late 2022. Figure A1 shows that a similar pattern holds for computer occupations and service clerks more generally. Figure 2 shows four other professions as case studies, spanning varying levels of AI exposure according to the measures developed in Eloundou et al. (2024). Marketing and sales managers, in refinement process; Learning, meaning knowledge acquisition and understanding; Validation, meaning work verifica- tion and improvement; or “None,” with the model instructed to choose the None option “liberally.” Conversations classified as Directive or Feedback Loop are considered as Automative, while ones classified as Task Iteration, Learn- ing, or Validation are considered Augmentative. See Handa et al. (2025) for more details. Table A2 reproduces Table 1 from Handa et al. (2025) and shows more details about the automation and augmentation measures. 9
10	Headcount Over Time by Age Group Software Developers (Normalized) 1.2 1.1 Early Career 1 (22-25) Early Career 2 (26-30) 1.0 Developing (31-34) Mid-Career 1 (35-40) Mid-Career 2 (41-49) 0.9 Senior (50+) 0.8 20 -04 20 -10 20 -04 20 -10 20 -04 20 -10 20 -04 20 -10 -04 21 21 22 22 23 23 24 24 25 20 Date Headcount Over Time by Age Group Customer Service (Normalized) 1.2 1.1 Early Career 1 (22-25) Early Career 2 (26-30) 1.0 Developing (31-34) Mid-Career 1 (35-40) Mid-Career 2 (41-49) 0.9 Senior (50+) 0.8 20 -04 20 -10 20 -04 20 -10 20 -04 20 -10 20 -04 20 -10 -04 21 21 22 22 23 23 24 24 25 20 Date Figure 1: Employment changes for software developers and customer service agents by age, nor- malized to 1 in October 2022. 10
