pdf_page_index	text
1	ILO Working Paper 140 May / 2025 XX Generative AI and Jobs A Refined Global Index of Occupational Exposure Authors / Pawel Gmyrek, Janine Berg, Karol Kamiński, Filip Konopczyński, Agnieszka Ładna, Balint Nafradi, Konrad Rosłaniec, Marek Troszyński
2	© International Labour Organization 2025 Attribution 4.0 International (CC BY 4.0) This work is licensed under the Creative Commons Attribution 4.0 International. See: https:// creativecommons.org/licenses/by/4.0/. The user is allowed to reuse, share (copy and redistrib- ute), adapt (remix, transform and build upon the original work) as detailed in the licence. The user must clearly credit the ILO as the source of the material and indicate if changes were made to the original content. Use of the emblem, name and logo of the ILO is not permitted in con- nection with translations, adaptations or other derivative works. Attribution – The user must indicate if changes were made and must cite the work as follows: Gmyrek, P., Berg, J., Kamiński, K., Konopczyński, F., Ładna, A., Nafradi, B., Rosłaniec, K., Troszyński, M. Generative AI and Jobs: A Refined Global Index of Occupational Exposure. ILO Working Paper 140. Geneva: International Labour Office, 2025.© ILO. Translations – In case of a translation of this work, the following disclaimer must be added along with the attribution: This is a translation of a copyrighted work of the International Labour Organization (ILO). This translation has not been prepared, reviewed or endorsed by the ILO and should not be considered an official ILO translation. The ILO disclaims all responsibility for its content and ac- curacy. Responsibility rests solely with the author(s) of the translation. Adaptations – In case of an adaptation of this work, the following disclaimer must be added along with the attribution: This is an adaptation of a copyrighted work of the International Labour Organization (ILO). This adaptation has not been prepared, reviewed or endorsed by the ILO and should not be considered an official ILO adaptation. The ILO disclaims all responsibility for its content and ac- curacy. Responsibility rests solely with the author(s) of the adaptation. Third-party materials – This Creative Commons licence does not apply to non-ILO copyright ma- terials included in this publication. If the material is attributed to a third party, the user of such material is solely responsible for clearing the rights with the rights holder and for any claims of infringement. Any dispute arising under this licence that cannot be settled amicably shall be referred to arbitra- tion in accordance with the Arbitration Rules of the United Nations Commission on International Trade Law (UNCITRAL). The parties shall be bound by any arbitration award rendered as a result of such arbitration as the final adjudication of such a dispute. For details on rights and licensing, contact: rights@ilo.org. For details on ILO publications and digital products, visit: www.ilo.org/publns. ISBN 9789220421840 (print), ISBN 9789220421857 (web PDF), ISBN 9789220421864 (epub), ISBN 9789220421871 (html). ISSN 2708-3438 (print), ISSN 2708-3446 (digital) https://doi.org/10.54394/HETP0387 The designations employed in ILO publications, which are in conformity with United Nations practice, and the presentation of material therein do not imply the expression of any opinion
3	whatsoever on the part of the ILO concerning the legal status of any country, area or territory or of its authorities, or concerning the delimitation of its frontiers or boundaries. See: www.ilo. org/disclaimer. The opinions and views expressed in this publication are those of the author(s) and do not nec- essarily reflect the opinions, views or policies of the ILO. Reference to names of firms and commercial products and processes does not imply their en- dorsement by the ILO, and any failure to mention a particular firm, commercial product or pro- cess is not a sign of disapproval. Information on ILO publications and digital products can be found at: www.ilo.org/research- and-publications ILO Working Papers summarize the results of ILO research in progress, and seek to stimulate discussion of a range of issues related to the world of work. Comments on this ILO Working Paper are welcome and can be sent to gmyrek@ilo.org. Authorization for publication: Caroline Fredrickson, Director, Research Department ILO Working Papers can be found at: www.ilo.org/global/publications/working-papers Suggested citation: Gmyrek, P., Berg, J., Kamiński, K., Konopczyński, F., Ładna, A., Nafradi, B., Rosłaniec, K., Troszyński, M. 2025. Generative AI and Jobs: A Refined Global Index of Occupational Exposure, ILO Working Paper 140 (Geneva, ILO). https://doi.org/10.54394/HETP0387
4	01 ILO Working Paper 140 Abstract This study updates the ILO’s 2023 Global Index of Occupational Exposure to Generative AI (GenAI), incorporating recent advances in the technology and increasing user familiarity with GenAI tools. Using a representative sample from the 29,753 tasks in the Polish occupational classification sys- tem and a survey of 1,640 people employed in each 1-digit ISCO-08 groups, we collect 52,558 data points regarding perceive potential of automation for 2,861 tasks. We then compare this input with a survey and several rounds of Delphi-style discussions among a smaller group of interna- tional experts. Based on this process, we create a repository of knowledge about task automa- tion that goes beyond national specificities and use it to develop an AI assistant able to predict scores for tasks in the technical documentation of ISCO-08. Our 2025 scores are presented in a revised framework of four progressively increasing exposure gradients, with a new set of global estimates of employment shares exposed to GenAI. Clerical occupations continue to have the highest exposure levels. Additionally, some strongly digitized occupations have increased exposure, highlighting the expanding abilities of GenAI regarding specialized tasks in professional and technical roles. Globally, one in four workers are in an occupation with some GenAI exposure. 3.3% of global employment falls into the highest exposure category, albeit with significant differences between female (4.7%) and male employment (2.4%). These differences increase with countries’ income (9.6% female vs 3.5% male in Gradient 4 in HICs), and so does the overall exposure (11% of total employment in LICs vs 34% in HICs). As most occupations consist of tasks that require human input, transformation of jobs is the most likely impact of GenAI. Linking our refined index with national micro data enables precise projections of such transformations, offering a foundation for social dialogue and targeted policy responses to manage the transition. About the authors Paweł Gmyrek is a Senior Researcher in the Research Department of the ILO. Janine Berg is a Senior Economist in the Research Department of the ILO. Karol Kamiński is a Senior Researcher in the Analysis and Research Department of the NASK-PIB. Filip Konopczyński is the Director of the Analysis and Research Department of the NASK-PIB. Agnieszka Ładna is a Manager in the Analysis and Research Department of the NASK-PIB. Konrad Rosłaniec is a Researcher in the Analysis and Research Department of the NASK-PIB. Marek Troszyński is an Expert in the Analysis and Research Department of the NASK-PIB and Assistant Professor at the Civitas University, Warsaw.
5	02 ILO Working Paper 140 Table of contents Abstract  01 About the authors  01 Acronyms  07 XX Introduction  09 XX 1 Task-based approaches to automation in the literature  11 XX 2 Tasks and occupations in the 6-digit system in Poland  12 XX 3 Assessment of tasks’ automation potential  14 3.1. Initial Algorithmic predictions  14 3.2. Selection of occupational tasks for human assessment  15 3.3. Survey design and recruitment  17 3.4. Survey design limitations  18 3.5. Survey of Task Automation Potential  19 3.5.1. Sample properties  19 3.5.2. Participants’ Exposure to GenAI: Screening Questions  22 3.5.3. Scoring of task automation potential  23
6	03 ILO Working Paper 140 XX 4 Expert validation survey  27 XX 5 Adjustment of survey sub-sample  30 XX 6 Adjustment of all survey scores  34 XX 7 Prediction of synthetic task-level scores for all ISCO-08 and 6-digit occupa- tions  35 XX 8 Adjusted Global Index of GenAI Exposure  37 XX 9 Changes to occupational classifications  40 XX 10 Revised global employment estimates  43 XX Conclusion  46 Annex  48 1. Exposure by 4-digit ISCO-08 occupation  48 2. Sampling Formula for section 4.2.  61 3. Survey Questionnaire  62 References  68 Acknowledgements  71
7	04 ILO Working Paper 140 List of Figures Figure 1. Income- and population-based similarities (A) and access to the internet (B) across countries  12 Figure 2. Distribution of synthetic automation scores from 3 LLMs, by ISCO-08 1-digit  14 Figure 3. Age and sex distribution in the survey compared to Labour Force Survey (LFS) data in Poland (employed individuals)  20 Figure 4. Distribution of occupational groups in the survey, compared to LFS in Poland (em- ployed individuals) and to the desired sample (Table 2)  21 Figure 5. Occupation and sex distribution among survey participants compared to LFS in Poland (employed individuals)  21 Figure 6. Frequency of use of GenAI, by 1-digit ISCO-08  22 Figure 7. Expectations of impact on the work area  23 Figure 8. Expectations of impact on individuals’ current job – distribution of individual scores  23 Figure 9. Distribution of task-level scores by sex and occupational group (1-digit ISCO-08)  24 Figure 10. Scoring as a function of familiarity with GenAI and the scored task – distribution of individual scores  25 Figure 11. Schema of the scoring stages  27 Figure 12. Example of a dendogram used for the review of tasks’ semantic clustering  28 Figure 13. Task-level scores from the survey and experts, compared to AI-arbitrated scores  30 Figure 14. Comparison of Adjusted Scores: GPT-4o vs Gemini by Occupational Group  31 Figure 15. Survey scores, expert evaluation and final adjustments for 2,861 tasks in the main survey  34 Figure 16. AI Exposure Gradients: ISCO-08 4-digit level occupations  37 Figure 17. AI Exposure: Comparison of 2025 with 2023, ISCO -08 4-digit level occupations  40 Figure 18. Changes to occupational exposure between 2023 and 2025 within Gradient 4  41 Figure 19. 4-digit level occupations (ISCO-08) with largest changes in mean scores between 2023 and 2024  42 Figure 20. Global estimates of occupations potentially exposed to GenAI (% of employment by sex)  43
8	05 ILO Working Paper 140 List of Tables Table 1. Composition of occupational tasks in the Polish classification system and in ISCO-08  13 Table 2. Survey sample selection  16 Table 3. Core survey questions  17 Table 4. Sample of adjustments and justifications between the survey and expert scores (ex- amples of largest upward and downward revisions)  31 Table 5. GenAI Exposure Gradients: Definition and Interpretation  38 Table A1. ISCO-08 occupations by exposure gradient  48
9	06 ILO Working Paper 140 List of Boxes Text Box 1. Sample Question for Task Automation Assessment  18 Text Box 2. Introductory prompt for survey respondents  19 Text Box 3. The conceptual structure of the LLM prompt (Python code for GPT-4o)  35
10	07 ILO Working Paper 140 Acronyms AI Artificial Intelligence API Application Programming Interface ATMs Automatic Teller Machines CAWI Computer-Assisted Web Interview CEDLAS Center for Distributive, Labor and Social Studies CEE Central and Eastern European CEPS Centre for European Policy Studies GBB Gmyrek, Berg and Bescond, 2023. ILO Working Paper 96 GPT-4 Generative Pre-trained Transformer 4 GPT-4o Generative Pre-trained Transformer 4 Omni GUS Główny Urząd Statystyczny (Central Statistical Office, Poland) HIC High-Income Countries ICT Information and Communication Technology ILO International Labour Organization IMF International Monetary Fund ISCO-08 International Standard Classification of Occupations (2008 version) IT Information Technology ITC-ILO International Training Centre of the ILO (Turin) LFS Labour Force Survey (BAEL in Poland) LICs Low-Income Countries LLM Large Language Model ML Machine Learning MOL Ministry of Family, Labour and Social Policy in Poland NASK-PIB National Research Institute
11	08 ILO Working Paper 140 O*NET Occupational Information Network (U.S. Department of Labor) PIE Polski Instytut Ekonomiczny (Polish Economic Institute) SD Standard Deviation SGH Szkoła Główna Handlowa (Warsaw School of Economics) U.S. / US / USA United States of America UK United Kingdom UNLP National University of La Plata
12	09 ILO Working Paper 140 XX Introduction In August 2023, the ILO published the first global employment estimates of potential occupa- tional exposure to generative artificial intelligence (GenAI) (Gmyrek et al., 2023). This research was prompted by concerns – that have featured prominently in the media – of the potential for the technology to replace large shares of knowledge work. Since the release of the 2023 estimates, there have been further technological advances in GenAI, including the introduction of Large Language Models (LLMs) with expanded capabilities in image recognition and audio and video production. Moreover, many new GenAI applications have been developed as a result of the possibility of linking GenAI models with Application Programming Interface (API) tools. Indeed, GenAI has been likened to a general-purpose technology, meaning that it may continue generating new applications and innovations across various sectors, driving long-term economic and societal transformations. Despite this rapidly developing landscape, it is important for policy makers to develop deeper understanding of how technological advances might impact existing jobs. To address this need, the Research department of the ILO has partnered with NASK, the National Research Institute of the Ministry of Digital Affairs in Poland, to develop a more precise assessment of potential ef- fects of GenAI on employment across countries. This study builds on the method developed by the ILO (Gmyrek, Berg and Bescond, 2023 - GBB hereafter), which used task descriptions from the 4-digit International Standard Classification of Occupations (ISCO-08) and the GPT-4 model to estimate task-level and occupational scores of exposure to GenAI technology and then derives global employment estimates based on official ILO labour force data. But the study includes several key refinements. The first step in our analysis is based on Poland’s national 6-digit classification of occupations that includes nearly 30,000 tasks. This expands tenfold the number of tasks given in the ISCO- 08 structure and enables a fine-grained assessment of tasks’ automation potential, based on a more up-to-date set of occupations and tasks than those captured in the ISCO-08 system. As Poland’s 6-digit classification is aligned with the 4-digit ISCO-08, the occupational scores can be compiled at the 4-digit level allowing a straightforward comparison and updating of the 2023 estimates of the ILO (GBB). In addition, the study improves the methodological framework of GBB, by drawing on the combined strengths of human and AI abilities, with an additional layer of expert verification. Specifically, we surveyed 1,640 people currently employed in Poland in each ISCO-08 1-digit group to rank the automation potential of a representative sample of tasks that pertain to their occupational group. As the second step, we asked a mix of national and international experts to conduct a detailed review of a large sample of tasks previously assessed in the survey to val- idate or adjust the level of automation scores through an iterative process. Since we maintain the hierarchical link to ISCO-08 and focus on technological feasibility rather than specific coun- try context, by combining opinions of local and international experts, we create a system that enables more precise predictions of the potential of automation of individual occupational tasks with GenAI technology, including at the international level. To achieve that, we input the human scores into an AI model, to generate scores reflecting human judgement for nearly 30,000 in- dividual tasks pertaining to 2,500 occupations at 6-digit level in Poland. We then use the same AI predictor to re-generate scores for the tasks in ISCO-08, previously provided by GBB (2023), thereby adjusting the 2023 index of the ILO, which now benefits from both the input of people
13	10 ILO Working Paper 140 employed in each ISCO-08 1-digit group and from expert opinions. As the final step, we provide updated global, regional and income-based estimates of employment that has the potential to be transformed by Gen AI technology. Our study specifically targets GenAI tools, isolating the effects of this recent family of AI from broader AI applications, such as the use of Machine Learning (ML) algorithms or image recog- nition in industrial production. There are several considerations that justify such selective focus. First, we respond to the growing need for a research tool that could provide a better picture of GenAI’s potential impact on national labour markets, given the growing societal angst concern- ing this technology and the recent reports about increasing levels of adoption of GenAI at work (Bick et al., 2024; Faverio and Tyson, 2022; Grampp et al., 2023; Maison & Partners and ThinkTank, 2024; Pew Research Center, 2023; Rutgers, 2024). Second, while several indicators of occupation- al exposure to broader AI technologies are available to researchers (Nurski and Vansteenkiste, 2024), very few tools allow for a more detailed focus on GenAI (Nurski and Ruer, 2024). A new, more precise exposure index enables a closer alignment of the academic work on digital econ- omy and labour with the significant interest in the GenAI technology in the media and in the public debate.1 Third, the methodological blueprint provided by our research can be quite flexi- bly expanded to other types of AI in the future or focused more narrowly on specific subsets of digital technologies and sectors of their application. This paper is the first in a series of upcoming publications based on ILO and NASK cooperation that strive to improve the methodology for assessing employment effects of AI, but also to doc- ument in detail the methods used, including the survey, expert verification process and the con- struction of the AI model used for predictions. Subsequent papers will present an assessment of the potential impact of GenAI on the Polish labour market, based on more detailed occupation and task-level data and using a mix of quantitative and qualitative methods. All publications will include the methodological blueprints and technical details of both the quantitative and quali- tative components, including survey questionnaires and interview guidelines. By making these tools openly accessible, we hope to contribute to the development of an improved method for assessing potential impact of GenAI on jobs and to stimulate more detailed national-level stud- ies, including in lower- and middle-income countries. 1 For example, Felten et al. (2023) provided an updated version of their original exposure index from 2021, adjusting for the abilities of GenAI tools. As shown in their paper, the adjustment does not result in a major shift in occupations exposure and still makes it im- possible to assess the abilities of this new technology in a selective manner. See Gmyrek et al. (2024) for a more detailed comparison of these scores.
14	11 ILO Working Paper 140 XX 1 Task-based approaches to automation in the literature Central to the study of technology on work is the insight that jobs are a “bundle of tasks” (Autor, 2015). As such, task automation might, or might not lead to job automation, depending on the importance of a particular task to an occupation. Analyses of employment effects of automation that use the task-based approach, including this study, attempt to capture two central consider- ations: (i) the ability of a specific technology to automate a given task and (ii) the character of ex- isting occupations in the labour market, based on the detailed tasks performed by these occupa- tions. By modelling the intersection of these two dimensions, one arrives at a range of possible projections of how such technology could interact with occupational tasks, leading either to their full automation through technology-driven substitution, or to a transformation, through partial automation and human-machine complementarity. While the task-based framework certainly has limitations, recent academic literature shows the analytical advantages of this method for mod- elling employment and labour market impacts (Acemoglu et al., 2024; Nurski and Ruer, 2024). Research on AI and tasks has shown important improvements in methods and scope in recent years, which includes using AI tools for research purposes. In one of the early papers on Machine Learning (ML) and jobs, Frey and Osborne, (2013) fed the opinions of a group of IT technology experts into an ML algorithm to develop occupational-level projections of automation poten- tial for the US job market. The emergence of GenAI APIs has simplified the possibility of com- bining human expertise and algorithmic capacities for research purposes. Relying on this idea, Eloundou et al. (2023) demonstrated a close alignment of GPT-4 predictions with a survey of 70 AI experts on the potential of automating occupational tasks with LLMs, and subsequently built on this feature to develop synthetic automation scores for the US market. Most task-based studies are focussed on the US, due to the very detailed nature of the O*NET database, as well as its public accessibility. This typically forces researchers interested in the global picture or other countries and regions to base their analysis on the strong assumption of similarity of local economic and labour effects to those projected in the US context. In reality, occupational tasks can vary significantly among individual countries, which poses a particular challenge in developing countries. As such, working with tasks in the ISCO-08 system offers a useful and simple common denominator for projections across different countries, regions and income groups. Our method combines the strengths of this global framework with a significantly more detailed national classification system in Poland, which provides a detailed list of occupa- tions and tasks, based on the latest labour market data. This helps us establish a starting point for modelling interaction of GenAI’s abilities with up-to-date tasks and occupations in a setting located between the countries with highest incomes and the emerging economies (Figure 1). Using a combination of GenAI tools, we subsequently transfer this knowledge back to the tasks in ISCO-08 system.
