row_id	claim_id	citation_key	occurrence_id	section	claim_type	status	batch
R0001	CLM-001	bick_rapid_2024	CIT-001	Introdução	DIRECT	DONE	CALIBRATION
R0002	CLM-002	bick_rapid_2024	CIT-001	Introdução	DIRECT	DONE	CALIBRATION
R0003	CLM-003	bick_rapid_2024	CIT-001	Introdução	DIRECT	DONE	CALIBRATION
R0004	CLM-004	bick_rapid_2024	CIT-001	Introdução	AUTHOR_INFERENCE	DONE	CALIBRATION
R0005	CLM-005	eloundou_gpts_2023	CIT-002	Introdução	DIRECT	DONE	MAIN
R0006	CLM-006	eloundou_gpts_2023	CIT-002	Introdução	DIRECT	DONE	MAIN
R0007	CLM-007	brynjolfsson_canaries_2025	CIT-003	Introdução	DIRECT	DONE	MAIN
R0008	CLM-007	hosseini_maasoum_generative_2025	CIT-004	Introdução	DIRECT	DONE	MAIN
R0009	CLM-007	klein_teeselink_generative_2025	CIT-005	Introdução	DIRECT	PENDING	MAIN
R0010	CLM-008	brynjolfsson_canaries_2025	CIT-003	Introdução	DIRECT	PENDING	MAIN
R0011	CLM-008	hosseini_maasoum_generative_2025	CIT-004	Introdução	DIRECT	PENDING	MAIN
R0012	CLM-008	klein_teeselink_generative_2025	CIT-005	Introdução	DIRECT	PENDING	MAIN
R0013	CLM-009	brynjolfsson_canaries_2025	CIT-003	Introdução	DIRECT	PENDING	MAIN
R0014	CLM-009	hosseini_maasoum_generative_2025	CIT-004	Introdução	DIRECT	PENDING	MAIN
R0015	CLM-009	klein_teeselink_generative_2025	CIT-005	Introdução	DIRECT	PENDING	MAIN
R0016	CLM-010	brynjolfsson_canaries_2025	CIT-003	Introdução	DIRECT	PENDING	MAIN
R0017	CLM-010	hosseini_maasoum_generative_2025	CIT-004	Introdução	DIRECT	PENDING	MAIN
R0018	CLM-010	klein_teeselink_generative_2025	CIT-005	Introdução	DIRECT	PENDING	MAIN
R0019	CLM-011	brynjolfsson_canaries_2025	CIT-003	Introdução	DIRECT	PENDING	MAIN
R0020	CLM-011	hosseini_maasoum_generative_2025	CIT-004	Introdução	DIRECT	PENDING	MAIN
R0021	CLM-011	klein_teeselink_generative_2025	CIT-005	Introdução	DIRECT	PENDING	MAIN
R0022	CLM-012	brynjolfsson_canaries_2025	CIT-003	Introdução	AUTHOR_INFERENCE	PENDING	MAIN
R0023	CLM-012	hosseini_maasoum_generative_2025	CIT-004	Introdução	AUTHOR_INFERENCE	PENDING	MAIN
R0024	CLM-012	klein_teeselink_generative_2025	CIT-005	Introdução	AUTHOR_INFERENCE	PENDING	MAIN
R0025	CLM-013	gmyrek_generative_2025	CIT-006	Introdução	DIRECT	PENDING	MAIN
R0026	CLM-014	gmyrek_generative_2025	CIT-006	Introdução	DIRECT	PENDING	MAIN
R0027	CLM-015	gmyrek_generative_2025	CIT-006	Introdução	DIRECT	PENDING	MAIN
R0028	CLM-016	gmyrek_generative_2025	CIT-006	Introdução	DIRECT	PENDING	MAIN
R0029	CLM-017	gmyrek_generative_2025	CIT-006	Introdução	AUTHOR_INFERENCE	PENDING	MAIN
R0030	CLM-018	brynjolfsson_canaries_2025	CIT-007	Introdução	DIRECT	PENDING	MAIN
R0031	CLM-019	brynjolfsson_canaries_2025	CIT-007	Introdução	DIRECT	PENDING	MAIN
R0032	CLM-020	autor_skill_2003	CIT-008	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	DIRECT	PENDING	MAIN
R0033	CLM-021	autor_skill_2003	CIT-008	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	DIRECT	PENDING	MAIN
R0034	CLM-022	autor_skill_2003	CIT-008	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	AUTHOR_INFERENCE	PENDING	MAIN
R0035	CLM-023	agarwal_combining_2023	CIT-009	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	DIRECT	PENDING	MAIN
R0036	CLM-024	agarwal_combining_2023	CIT-009	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	AUTHOR_INFERENCE	PENDING	MAIN
R0037	CLM-025	agarwal_combining_2023	CIT-009	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	AUTHOR_INFERENCE	PENDING	MAIN
R0038	CLM-026	eloundou_gpts_2023	CIT-010	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0039	CLM-027	eloundou_gpts_2023	CIT-010	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0040	CLM-028	eloundou_gpts_2023	CIT-010	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0041	CLM-029	eloundou_gpts_2023	CIT-010	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0042	CLM-030	eloundou_gpts_2023	CIT-010	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0043	CLM-031	eloundou_gpts_2023	CIT-010	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0044	CLM-032	eloundou_gpts_2023	CIT-010	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0045	CLM-033	eloundou_gpts_2023	CIT-010	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0046	CLM-034	benitez_mirror_2024	CIT-011	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0047	CLM-035	benitez_mirror_2024	CIT-011	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0048	CLM-036	benitez_mirror_2024	CIT-011	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0049	CLM-037	benitez_mirror_2024	CIT-011	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0050	CLM-038	benitez_mirror_2024	CIT-011	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0051	CLM-039	benitez_mirror_2024	CIT-011	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0052	CLM-040	benitez_mirror_2024	CIT-011	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0053	CLM-041	appel_anthropic_2026	CIT-012	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0054	CLM-042	appel_anthropic_2026	CIT-012	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0055	CLM-043	appel_anthropic_2026	CIT-012	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0056	CLM-044	appel_anthropic_2026	CIT-012	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0057	CLM-045	gmyrek_generative_2025	CIT-013	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0058	CLM-046	gmyrek_generative_2025	CIT-013	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0059	CLM-047	gmyrek_generative_2025	CIT-013	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0060	CLM-048	gmyrek_generative_2025	CIT-013	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0061	CLM-049	gmyrek_generative_2025	CIT-013	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0062	CLM-050	gmyrek_generative_2025	CIT-013	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0063	CLM-051	gmyrek_generative_2025	CIT-013	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0064	CLM-052	gmyrek_generative_2025	CIT-013	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0065	CLM-053	gmyrek_generative_2025	CIT-013	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0066	CLM-054	gmyrek_generative_2025	CIT-013	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0067	CLM-055	gmyrek_generative_2025	CIT-013	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0068	CLM-056	gmyrek_generative_2025	CIT-013	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
R0069	CLM-057	eloundou_gpts_2023	CIT-014	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0070	CLM-058	eloundou_gpts_2023	CIT-014	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0071	CLM-059	eloundou_gpts_2023	CIT-014	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0072	CLM-060	eloundou_gpts_2023	CIT-014	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0073	CLM-061	eloundou_gpts_2023	CIT-014	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0074	CLM-062	eloundou_gpts_2023	CIT-014	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0075	CLM-063	eloundou_gpts_2023	CIT-014	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0076	CLM-064	eloundou_gpts_2023	CIT-014	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0077	CLM-065	eloundou_gpts_2023	CIT-014	2.3 Índices de exposição à IA na literatura	DIRECT	PENDING	MAIN
R0078	CLM-066	eloundou_gpts_2023	CIT-014	2.3 Índices de exposição à IA na literatura	AUTHOR_INFERENCE	PENDING	MAIN
