pdf_page_index	text
1	Estimating Dynamic Treatment Effects in Event Studies with Heterogeneous Treatment Effects∗ arXiv:1804.05785v2 [econ.EM] 22 Sep 2020 Liyang Sun† and Sarah Abraham‡ September 22, 2020 Abstract To estimate the dynamic effects of an absorbing treatment, researchers often use two-way fixed effects regressions that include leads and lags of the treatment. We show that in settings with variation in treatment timing across units, the coefficient on a given lead or lag can be contaminated by effects from other periods, and apparent pretrends can arise solely from treatment effects heterogeneity. We propose an alternative estimator that is free of contamination, and illustrate the relative shortcomings of two-way fixed effects regressions with leads and lags through an empirical application. Keywords: difference-in-differences, two-way fixed effects, pretrend test ∗ We are grateful to Isaiah Andrews, Amy Finkelstein, Anna Mikusheva, and Heidi Williams for their guidance and sup- port. We thank Alberto Abadie, Jonathan Cohen, Nathan Hendren, Peter Hull, Guido Imbens, Yunan Ji, Sylvia Klosin, Kevin Kainan Li, Paichen Li, Therese A. McCarty, Whitney Newey, James Poterba, Pedro H. C. Sant’Anna, Gergely Ujhe- lyi and Helen Willis for helpful discussions. This research was supported by the National Institute on Aging, Grant Num- ber T32-AG000186. A preliminary draft of this paper was circulated on April 16, 2018. Replication code is available at http://economics.mit.edu/grad/lsun20/. The companion Stata package eventstudyweights is available from the SSC repository. † Department of Economics, MIT, 77 Massachusetts Avenue, Cambridge, MA 02139. Corresponding author; lsun20@mit.edu. ‡ Cornerstone Research, 699 Boylston St, Boston, MA 02116. The views expressed herein are solely those of the author, who is responsible for the content, and do not necessarily represent the views of Cornerstone Research.
2	1 Introduction Rich panel data has fueled a growing literature estimating treatment effects with two-way fixed effects re- gressions. This body of applied work has prompted a corresponding econometrics literature investigating the assumptions required for these regressions to yield causally interpretable estimates. For example, Athey and Imbens (2018), Borusyak and Jaravel (2017), Callaway and Sant’Anna (2020a), de Chaisemartin and D’Haultfœuille (2020) and Goodman-Bacon (2018) interpret the coefficient on the treatment status when there is treatment effects heterogeneity and variation in treatment timing. Researchers are often also inter- ested in dynamic treatment effects, which they estimate by the coefficients µ` associated with indicators for being ` periods relative to the treatment, in a specification that resembles the following: Õ Yi,t = αi + λt + µ` 1{t − Ei = `} + υi,t . (1) ` Here Yi,t is the outcome of interest for unit i at time t, Ei is the time when unit i initially receives the binary absorbing treatment, and αi and λt are the unit and time fixed effects. Units are categorized into different cohorts based on their initial treatment timing. The relative times ` = t − Ei included in (1) cover most of the possible relative periods, but may still exclude some periods. The first goal of this paper is to uncover potential pitfalls associated with using the estimates of the relative period coefficients µ` as “reasonable” measures of dynamic treatment effects. We decompose µ` to show it can be expressed as a linear combination of cohort-specific effects from both its own relative period ` and other relative periods; unless strong assumptions regarding treatment effects homogeneity hold, the terms that include treatment effects from other relative periods will not cancel out and will contaminate the estimate of µ` . Importantly, this demonstrates that the widespread practice of using estimates of treatment leads in (1) as a way of testing for parallel pretrends is problematic. Roth (2019), in his survey of the applied literature, notes that checking whether µ` = 0 for ` leads of treatment is a common test for pretrends. Our decomposition result implies that such a test would be invalid because the estimate of µ` is affected by both pretrends and treatment effects heterogeneity, thus any test of µ` = 0 cannot accept or reject the existence of pretrends without further assumptions on treatment effects. We show how to calculate the weights underlying the linear combination of treatment effects in µ` using an auxiliary regression. This auxiliary regression depends only on the distribution of cohorts and the relative 2
3	time indicators included in (1). Examining the weights allows researchers to gauge how large the amount of treatment effects heterogeneity needs to be for µ` to be contaminated by treatment effects from other relative periods. Our publicly-available Stata package eventstudyweights automates the estimation of these weights using the panel dataset underlying any given specification of (1). The second goal of this paper is to propose an alternative regression-based method that is more ro- bust to treatment effects heterogeneity than regression (1). For dynamic treatment effects, researchers are usually interested in estimating some average of treatment effects from ` periods relative to the treatment. Our alternative method estimates the shares of cohort as weights. These weights are more interpretable than the weights underlying regression (1) in the presence of treatment effects heterogeneity, and the re- sulting weighted average of treatment effects extends beyond a convex combination of treatment effects (Słoczyński, forthcoming). As discussed in Section 4.2, using the procedures of Callaway and Sant’Anna (2020a), our alternative method can also accommodate covariates. We illustrate both our decomposition results and our alternative method via an empirical application, estimating the dynamic effects of a hospitalization. We follow Dobkin et al. (2018) in using the publicly- available dataset, Health and Retirement Study (HRS), to first estimate two-way fixed effects regressions. We then illustrate our alternative estimation method with this example. Among the outcomes studied by Dobkin et al. (2018), we focus on out-of-pocket medical spending and labor earnings. Our alternative method yields similar big-picture findings as the original paper that uses two-way fixed effects regressions: the earnings decline due to hospitalization is substantial compared to the transitory out-of-pocket spending increase. However, the two-way fixed effects estimates sometimes fall outside the convex hull of the un- derlying effects. In contrast, estimates using our alternative method, by construction, are guaranteed to be easy-to-interpret because they are weighted averages of the underlying effects, with weights corresponding to cohort shares. The rest of the paper is organized as follows. In the next subsection, we review the theoretical literature. Section 2 formally introduces the event study design and discusses our definition in relation to the applied literature. Section 3 derives the estimands of two-way fixed effects regression, and introduces sufficient assumptions for them to be causally interpretable. Section 4 develops our alternative estimator. Section 5 illustrates our results using an empirical example and Section 6 concludes. All proofs are contained in the Online Appendix. 3
4	1.1 Related Literature This paper makes two main contributions within an active literature on the causal interpretations of two- way fixed effects models in settings with staggered treatment adoption (Athey and Imbens, 2018; Borusyak and Jaravel, 2017; Callaway and Sant’Anna, 2020a; de Chaisemartin and D’Haultfœuille, 2020; Goodman- Bacon, 2018). Our paper is also related to the traditional literature analyzing non-separable panel and treat- ment effects models e.g. Heckman et al., 1998, 1997; Blundell et al., 2004; Abadie, 2005; Chernozhukov et al., 2013. The first main contribution of our paper is to interpret estimates from two-way fixed effects specifications when researchers include “dynamic” indicators for time relative to treatment and when treatment effects are heterogeneous across adoption cohorts. We derive our results for a general class of two-way fixed effects specifications where “dynamic” indicators can be flexibly specified as single relative periods ` or sets of relative periods g (thus also capturing any “static” specification where all post-treatment indicators are collected in a single set). This class of specifications encompasses all specifications addressed by Athey and Imbens (2018), Borusyak and Jaravel (2017), Callaway and Sant’Anna (2020a), de Chaisemartin and D’Haultfœuille (2020) and Goodman-Bacon (2018). As a building block for the causal interpretation of estimates, we define C ATTe,` , the cohort average treatment effects on the treated as the cohort-specific average difference in outcomes relative to never being treated. Our choice of a “building block” is governed by the counterfactual and the type of heterogeneity of interest. This object coincides with the “group-time average treatment effect” studied by Callaway and Sant’Anna (2020a) and is more granular than the building block used by Goodman-Bacon (2018) that is an average of C ATTe,` over some relative period range. Athey and Imbens (2018) consider an alternate coun- terfactual to never being treated: being treated at a different time. Borusyak and Jaravel (2017) implicitly assume away heterogeneity across cohorts within a relative period, so their building block reduces to ATT` . de Chaisemartin and D’Haultfœuille (2020) allow for heterogeneous treatment paths within a cohort over time across “groups”, thus their building block is at the group level. We defer a discussion of assumptions underlying the causal interpretation of these building blocks to Section 2. The second main contribution of our paper is to propose a simple regression-based alternative estimation strategy that produces a more sensible estimand than conventional two-way fixed effects models under het- erogeneous treatment effects. Our procedure is most similar to Callaway and Sant’Anna (2020a), but has the 4
5	following differences. First, in the setting where there is no never-treated group, our method uses the last co- hort to be treated as a control group, whereas Callaway and Sant’Anna (2020a) use the set of not-yet-treated cohorts. Our method and theirs thus rely on different, but non-nested parallel trends assumptions. Second, our estimation method can be cast as a regression specification and thus may be more familiar to applied researchers. However, a third difference is that the procedure of Callaway and Sant’Anna (2020a) allows for conditioning on time-varying covariates. de Chaisemartin and D’Haultfœuille (2020) and Goodman-Bacon (2018) respectively propose alternative estimators and diagnostic tools for estimation of causal effects in staggered settings, but do not consider the estimation of the dynamic path of treatment effects as we do. 2 Event studies design In this section we first formalize the “event studies design”. As discussed in Section 2.3, based on how this term is deployed in the empirical literature, an event study design is a staggered adoption design where units are treated at different times, and there may or may not be never treated units. It also nests a difference-in- differences design, where units are either first treated at time t0 or never treated. Specifically, we consider a setting with a random sample of N units observed over T + 1 time periods, where T is fixed. For each i ∈ {0, . . ., N } and t ∈ {0, ...,T }, we observe the outcome Yi,t and treatment status Di,t ∈ {0, 1}: Di,t = 1 if i is treated in period t and Di,t = 0 if i is not treated in period t. Throughout we assume that the observations {Yi,t , Di,t }Tt=0 are independent and identically distributed (i.i.d.). In the general case of event studies we focus on an absorbing treatment such that the treatment status over time is a non-decreasing sequence of zeros and then ones, i.e. Di,s ≤ Di,t for s < t. We can thus uniquely characterize a treatment path by the time period of the initial treatment, denoted with Ei = min t : Di,t = 1 .  If unit i is never treated i.e. Di,t = 0 for all t, we set Ei = ∞. Based on when they first receive the treatment, we can also uniquely categorize units into disjoint cohorts e for e ∈ {0, . . .,T, ∞}, where units in cohort e are first treated at the same time {i : Ei = e}. We define Yi,te to be the potential outcome in period t when unit i is first treated in time period e. We ∞ to be the potential outcome if unit i never receives the treatment, which we call the “baseline define Yi,t outcome”. Since the timing of the initial treatment uniquely characterizes one’s treatment path, we can 5
6	represent the observed outcome for unit i as Õ Yi,t = Yi,tEi = Yi,t ∞ + ∞ (Yi,te −Yi,t ) · 1 {Ei = e} . (2) 0≤e ≤T For any treatment that is not absorbing, if we replace the treatment status Di,t with an indicator for ever having received the treatment, the new treatment is absorbing by construction. Oftentimes the effect of having ever received the treatment is of interest, as it captures the path of treatment effects even though the treatment itself may be transient. For example, Deryugina (2017) is interested in the fiscal cost for a county that has been hit by a hurricane. While a hurricane itself may be transient, the impact of having had a hurricane may not be transient, hence why Deryugina (2017) codes the year of the first hurricane experienced in a county as Ei . In the next section, we use the notation developed above to define the treatment effect of an event study design. 2.1 Defining treatment effect of an event study design In an event study design, we define the unit-level treatment effect as the difference between the observed ∞ . Recall that Y ∞ denotes the potential outcome relative to the never-treated counterfactual outcome: Yi,t −Yi,t i,t ∞ is a reasonable outcome if unit i never receives the treatment. This particular counterfactual outcome Yi,t “baseline outcome”, though other counterfactual outcomes may be of interest as well. For example, Athey and Imbens (2018) also consider the treatment effect relative to the always-treated counterfactual outcome: 0 . Sianesi (2004) defines the unit-level treatment effect to be relative to the not-yet-treated counter- Yi,t −Yi,t factual outcome: Yi,t −Yi,te for e > t. When dynamic treatment effects are of interest, empirical researchers commonly report the coefficient µ` associated with indicators for being ` periods relative to the treatment in regression (1) as an estimate b estimate for the average lagged effect. To assess the causal interpretation of µ` , we need “building blocks” for its decomposition, which are the average of unit-level treatment effects at a given relative period across units first treated at time Ei = e, i.e. units in the same cohort e. We call this average the cohort-specific average treatment effects on the treated, formally defined below. Later in Section 3 we use them as building blocks for the interpretation of the relative period coefficients µ` from two-way fixed effects regressions. Definition 1. The cohort-specific average treatment effect on the treated (CATT) ` periods from initial 6
7	treatment is C ATTe,` = E[Yi,e+` −Yi,e+` ∞ | Ei = e]. (3) Each C ATTe,` represents the average treatment effect ` periods from the initial treatment for the cohort of units first treated at time e. We shift from calendar time index t to relative period index ` which denotes the periods since treatment; for cohort e, ` ranges from −e to T − e because we observe at most e periods before the initial treatment and T − e periods after the initial treatment. Relative periods allow us to compare cohorts while holding their exposure to the treatment constant. 2.2 Identifying assumptions With the above definitions, we formalize three potential identifying assumptions for outcomes of interest in our event study design. The first assumption is a generalized form of a parallel trends assumption. The sec- ond assumption requires no anticipation of the treatment. The third assumption imposes no variation across cohorts. For each assumption, we first discuss its meaning and then compare it with similar assumptions made in the literature interpreting two-way fixed effects regressions. Later in Section 3 we interpret the relative period coefficients µ` from two-way fixed effects regressions under different combinations of these assumptions. ∞ −Y ∞ |E = e] is the same for Assumption 1. (Parallel trends in baseline outcomes.) For all s , t, the E[Yi,t i,s i all e ∈ supp(Ei ). If an application includes never-treated units so that ∞ ∈ supp(Ei ), we need to especially consider whether these never-treated units satisfy the parallel trends assumption. Never-treated units are likely to differ from ever-treated units in many ways, and may not share the same evolution of baseline outcomes. If the never-treated units are unlikely to satisfy the parallel trends assumption, then we should exclude them from the estimation to avoid violation of this assumption. While common in the applied literature, the parallel trends assumption is strong and oftentimes violated. For example, Ashenfelter (1978) documented that participants in job training programs experience a decline in earnings prior to the training period (Ashenfelter’s dip). The timing of job training is dependent on the evolution of individual’s baseline earnings, and this scenario therefore does not satisfy the parallel trends assumption. Proposition 1 is the only result in this paper derived without this assumption, but there is an 7
8	active literature studying inference under violations of the parallel trends assumption e.g. Rambachan and Roth (2020). Our parallel trends assumption coincides with that of de Chaisemartin and D’Haultfœuille (2020). One could substitute this assumption with a different identifying assumption that baseline outcomes are mean ∞ |E = e] is the same for all e ∈ supp independent of Ei i.e. at each t, E[Yi,t i (Ei ) and in particular is equal to ∞ ]. This stronger assumption is plausible when the timing of treatment is indeed randomized, which E[Yi,t is the assumption used by Athey and Imbens (2018). By taking the “fully dynamic” specification as their DGP, Borusyak and Jaravel (2017) implicitly assume this version of a parallel trends assumption. Callaway and Sant’Anna (2020a) propose a weaker version that is conditional on covariates. Finally, for a particular estimand, Goodman-Bacon (2018) identifies a weaker version that only requires a weighted average of ∞ −Y ∞ |E = e] (averaged across cohorts) to be zero. E[Yi,t i,s i Assumption 2. (No anticipatory behavior prior to treatment.) There is no treatment effect in pre-treatment e periods i.e. E[Yi,e+` ∞ −Yi,e+` | Ei = e] = 0 for all e ∈ supp(Ei ) and all ` < 0. Assumption 2 requires potential outcomes in any ` periods before treatment to be equal to the baseline outcome on average as in Malani and Reif (2015) and Botosaru and Gutierrez (2018). This is most plausible if the full treatment paths are not known to units. If they have private knowledge of the future treatment path they may change their behavior in anticipation and thus the potential outcome prior to treatment may not represent baseline outcomes. For example, Hendren (2017) shows that knowledge of future job loss leads to decreases in consumption. If the periods with anticipation behavior are known, then we may consider an alternative version of Assumption 2, which holds for pre-periods in a subset of pre-treatment periods. Depending on the application, it may still be plausible to assume no anticipation until K periods before the treatment. The no anticipation assumption proposed by Athey and Imbens (2018) is a deterministic condition which e stipulates that Yi,e+` = Yi,e+` ∞ for all units i and e and ` < 0. By taking the “fully dynamic” specification as their DGP, Borusyak and Jaravel (2017) allow anticipation by including pre-trends indicators in the DGP. Callaway and Sant’Anna (2020a) and Goodman-Bacon (2018) implicitly assume no anticipation by using observed outcomes in time periods before the initial treatment as the untreated potential outcomes. Assumption 3. (Treatment effect homogeneity.) For each relative period `, C ATTe,` does not depend on cohort e and is equal to ATT` . 8
9	Assumption 3 requires that each cohort experiences the same path of treatment effects. Treatment effects need to be the same across cohorts in every relative period for homogeneity to hold, whereas for heterogene- ity to occur, treatment effects only need to differ across cohorts in one relative period. The assumption of treatment effect homogeneity is therefore strong, and in Section 3.4.1, we describe how it can be violated in applied settings. Our notion of treatment effect homogeneity does not preclude dynamic treatment effects; it only im- poses that cohorts share the same path of treatment effects. The related literature sometimes formulates restrictions on the dynamics of treatment effects as another notion of treatment effect homogeneity. Athey and Imbens (2018) propose an assumption that “restricts the heterogeneity of the treatment effects over time,” which implies C ATTe,` can vary over e but not over `. Borusyak and Jaravel (2017) refer to one type of treatment effects heterogeneity as “only across the time horizon,” which implies C ATTe,` can vary over ` but not over e. Callaway and Sant’Anna (2020a) allow for “arbitrary treatment effect heterogeneity” when C ATTe,` varies across cohorts and over time. Similarly, de Chaisemartin and D’Haultfœuille (2020) describe treatment effects that may be “heterogeneous across groups and over time periods.” Goodman- Bacon (2018) allow heterogenous effects to either “vary across units but not over time” or “vary over time but not across units.” The literature has not converged on a single notion of treatment effects heterogeneity with time-varying treatment. Since researchers are interested in dynamic treatment effects when using a “dynamic” specification, we do not restrict the path of treatment effects but rather use “heterogeneity” to describe variation across cohorts only. 2.3 Relevance in the applied literature To gauge the empirical relevance of our results, we survey the estimation methods used by the twelve papers collected by Roth (2019) from three leading economics journals that contain the phrase “event study” in their main text.1 From this sample of applied papers, we learn what specifications empirical researchers are actually using when estimating two-way fixed effects regressions. Four papers in this sample consider the simple setting where units either receive their first treatment at the same time or never receive the treatment. The other eight papers in this sample consider the more complex setting where treated units receive their 1 We follow the selection criteria in Roth (2019): the original sample consists of 70 total papers, but is further constrained to these twelve papers with publicly available data and code. The data and code are used to determine exactly the specification estimated in these papers. 9
10	treatment at various times, and there may or may not be never treated units. This observation suggests an event study in the applied literature nests two popular research designs: difference-in-differences design, but also the design where units receive their first treatments at various times, which is our focus.2 We summarize the main specifications in this sample of twelve applied papers in Table 1.3 The columns of Table 1 collect key properties of these specifications. In Section 3.1, we introduce a general class of specifications that encompasses all of these specification. The estimates for relative period coefficients µ` from all these papers therefore fall under our analysis in the next section. These papers demonstrated that event studies are used to address a broad range of research questions. As an example of this literature, Bailey and Goodman-Bacon (2015) use the rollout of the first Community Health Centers (CHCs) to study the longer-term health effects of increasing access to primary care. As another example, Tewari (2014) uses variation in the timing of deregulation across states to estimate the impact of financial development on homeownership. 3 Estimators from linear two-way fixed effects regression We consider a two-way fixed effects (FE) regression of the following form, estimated on a panel of i = 1, . . ., N units for t = 0, 1, . . .,T calendar time periods: Õ Yi,t = αi + λt + µg 1{t − Ei ∈ g} + υi,t (4) g∈G Here Yi,t is the outcome of interest for unit i at time t, Ei is the time for unit i to initially receive a binary absorbing treatment, and αi and λt are the unit and time fixed effects. The set G collects disjoint sets g of relative periods ` ∈ [−T,T]. We allow some relative periods to be excluded from the specification and denote the excluded set with g excl = {` : ` < g}. We denote by µg the relative period coefficients from Ð g∈G regression (4), i.e. the population regression coefficients. Their corresponding OLS estimators are denoted µg respectively. by b We are interested in the properties of µg when there are variations in the initial treatment timing, and 2 This setup is the same as the staggered adoption design proposed by Athey and Imbens (2018), but we keep the term event study because it is common in the applied literature. 3 We focus on the first specification underlying the event study estimates in each paper, which we view as a reasonable proxy for the main specification in the paper. 10
