pdf_page_index	text
1	Two-way fixed effects estimators with heterogeneous treatment effects∗ Clément de Chaisemartin† Xavier D’Haultfœuille‡ arXiv:1803.08807v7 [econ.EM] 5 Mar 2020 March 5, 2020 Abstract Linear regressions with period and group fixed effects are widely used to estimate treat- ment effects. We show that they estimate weighted sums of the average treatment effects (ATE) in each group and period, with weights that may be negative. Due to the negative weights, the linear regression coefficient may for instance be negative while all the ATEs are positive. We propose another estimator that solves this issue. In the two applications we revisit, it is significantly different from the linear regression estimator. Keywords: linear regressions, fixed effects, heterogeneous treatment effects, difference-in-differences. JEL Codes: C21, C23 ∗ We are very grateful to Olivier Deschêsnes, Guido Imbens, Peter Kuhn, Kyle Meng, Jesse Shapiro, Dick Startz, Doug Steigerwald, Clémence Tricaud, Gonzalo Vazquez-Bare, members of the UCSB econometrics research group, and seminar participants at Bergen, CIREQ Econometrics conference, CREST, Goteborg, Gothenburg, Groningen, ITAM, Pompeu Fabra, Stanford, SMU, Tinbergen Institute, UCL, UCLA, UC Davis, UCSB, USC, and Warwick for their helpful comments. Xavier D’Haultfœuille gratefully acknowledges financial support from the research grants Otelo (ANR-17-CE26-0015-041) and the Labex Ecodec: Investissements d’Avenir (ANR-11- IDEX-0003/Labex Ecodec/ANR-11-LABX-0047). † University of California at Santa Barbara, clementdechaisemartin@ucsb.edu ‡ CREST-ENSAE, xavier.dhaultfoeuille@ensae.fr 1
2	1 Introduction A popular method to estimate the effect of a treatment on an outcome is to compare over time groups experiencing different evolutions of their exposure to treatment. In practice, this idea is implemented by estimating regressions that control for group and time fixed effects. Hereafter, we refer to those as two-way fixed effects (FE) regressions. We conducted a survey, and found that 20% of all empirical articles published by the American Economic Review (AER) between 2010 and 2012 have used a two-way FE regression to estimate the effect of a treatment on an outcome. When the treatment effect is constant across groups and over time, such regressions estimate that effect under the standard “common trends” assumption. However, it is often implausible that the treatment effect is constant. For instance, the minimum wage’s effect on employment may vary across US counties, and may change over time. This paper examines the properties of two-way FE regressions when the constant effect assumption is violated. We start by assuming that all observations in the same (g, t) cell have the same treatment and that the treatment is binary, as is for instance the case when the treatment is a county-level law. We consider the regression of Yi,g,t , the outcome of unit i in group g at period t on group fixed effects, period fixed effects, and Dg,t , the treatment in group g at period t. Let βbf e denote the coefficient of Dg,t , and let βf e denote its expectation. Under the common trends assumption, we show that βf e is equal to a weighted sum of the treatment effect in each treated (g, t) cell:   X βf e = E  Wg,t ∆g,t  . (1) (g,t):Dg,t =1 ∆g,t is the average treatment effect (ATE) in group g and period t and the weights Wg,t s sum to one but may be negative. Negative weights arise because βbf e is a weighted sum of several difference-in-differences (DID), which compare the evolution of the outcome between consecutive time periods across pairs of groups. However, the “control group” in some of those comparisons may be treated at both periods. Then, its treatment effect at the second period gets differenced out by the DID, hence the negative weights. The negative weights are an issue when the ATEs are heterogeneous across groups or periods. Then, one could have that βf e is negative while all the ATEs are positive. For instance, 1.5 × 1 − 0.5 × 4, a weighted sum of 1 and 4, is strictly negative. Using the data set of Gentzkow et al. (2011), we find that 40% of the weights attached to βf e are negative, so βf e is not robust to heterogeneous effects.1 Researchers may want to know how serious that issue is in the application they consider. We show that conditional on all treatments, the absolute value of the expectation of βbf e divided by 1 Gentzkow et al. (2011) do not estimate βf e , but βf d , the treatment coefficient in the first-difference regression defined below. 46% of the weights attached to βf d are strictly negative. 2
3	the standard deviation of the weights is equal to the minimal value of the standard deviation of the ATEs across the treated (g, t) cells under which the average treatment on the treated (ATT) may actually have the opposite sign than that coefficient. One can estimate that ratio to assess the robustness of the two-way FE coefficient. If that ratio is close to 0, that coefficient and the ATT can be of opposite signs even under a small and plausible amount of treatment effect heterogeneity. In that case, treatment effect heterogeneity would be a serious concern for the validity of that coefficient. On the contrary, if that ratio is very large, that coefficient and the ATT can only be of opposite signs under a very large and implausible amount of treatment effect heterogeneity. Finally, we propose a new estimator, DIDM , that is valid even if the treatment effect is hetero- geneous over time or across groups. It estimates the average treatment effect across all the (g, t) cells whose treatment changes from t − 1 to t. It relies on common trends assumptions on both potential outcomes. Those conditions are partly testable, and we propose a test that amounts to looking at pre-trends. This test differs from the standard event study pre-trends test (see Autor, 2003), which has been shown to be invalid when treatment effects are heterogeneous (see Abraham and Sun, 2018). We show that our estimator is asymptotically normal. We compute it in the data sets of Gentzkow et al. (2011) and Vella and Verbeek (1998), and in both cases we find that it is significantly different from βbf e .2 Our estimator can be used in applications where, for each pair of consecutive dates, there are groups whose treatment does not change. We estimate that this condition is satisfied for around 80% of the papers using two-way fixed effects regressions found in our survey of the AER. Overall, our paper has implications for applied researchers estimating two-way fixed effects regressions. First, we recommend that they compute the weights attached to their regression and the ratio of |βbf e | divided by the standard deviation of the weights. To do so, they can use the twowayfeweights Stata package that is available from the SSC repository. If many weights are negative, and if the ratio is not very large, we recommend that they compute our new estimator, using the fuzzydid and did_multiplegt Stata packages, also available from the SSC repository (see de Chaisemartin et al., 2019, for explanations on how to use the former package). We extend our results in several important directions. First, another commonly-used regression is the first-difference regression of Yg,t − Yg,t−1 , the change in the mean outcome in group g, on period fixed effects and on Dg,t − Dg,t−1 , the change in the treatment. We let βf d denote the expectation of the coefficient of Dg,t − Dg,t−1 . We show that under common trends, βf d also identifies a weighted sum of treatment effects, with potentially some negative weights. Second, in our Web Appendix we show that our results extend to fuzzy designs, where the treatment varies within (g, t) cells, and to two-way fixed effects regressions with a non-binary treatment and with covariates. 2 In both cases, our estimator is also significantly different from βbf d . 3
4	Our paper is related to the DID literature. Our main result generalizes Theorem 1 in de Chaise- martin and D’Haultfœuille (2018). When the data has two groups and two periods, the Wald- DID estimand considered therein is equal to βf e and βf d . Our results on βf e and βf d are thus extensions of that theorem to the case with multiple periods and groups.3 Moreover, our DIDM estimator is related to the Wald-TC estimator with many groups and periods proposed in de Chaisemartin and D’Haultfœuille (2018), and to the multi-period DID estimator proposed by Imai and Kim (2018). In Section 4, we explain the differences between those three estimators. More recently, Borusyak and Jaravel (2017), Abraham and Sun (2018), Athey and Imbens (2018), Callaway and Sant’Anna (2018), and Goodman-Bacon (2018) study the special case of staggered adoption designs, where the treatment of a group is weakly increasing over time. Those papers derive some important results specific to that design that we do not consider here. Still, some of the results in those papers are related to ours, and we describe precisely those connections later in the paper. The most important dimension on which our paper differs from those is that our results apply to any two-way fixed effects regressions, not only to those with staggered adoption. In our survey of the AER papers estimating two-way fixed effects regressions, less than 10% have a staggered adoption design. This suggests that while staggered adoptions are an important research design, they may account for a relatively small minority of the applications where two-way fixed effects regressions have been used. The paper is organized as follows. Section 2 introduces the set-up. Section 3 presents our decomposition results. Section 4 introduces our alternative estimator. Section 5 briefly describes some of the extensions covered in our Web Appendix. Section 6 presents our survey of the articles published in the AER, and our two empirical applications. 2 Set up One considers observations that can be divided into G groups and T periods. For every (g, t) ∈ {1, ..., G} × {1, ..., T }, let Ng,t denote the number of observations in group g at period t, and let P N = g,t Ng,t be the total number of observations. The data may be an individual-level panel or repeated cross-section data set where groups are, say, individuals’ county of birth. The data could also be a cross-section where cohort of birth plays the role of time. For instance, Duflo (2001) compares the schooling of different cohorts in Indonesia, some of which were exposed to a school construction program. It is also possible that for all (g, t), Ng,t = 1, e.g. a group is one individual or firm. All of the above are special cases of the data structure we consider. One is interested in measuring the effect of a treatment on some outcome. Throughout the paper 3 In fact, a preliminary version of our main result appeared in a working paper version of de Chaisemartin and D’Haultfœuille (2018) (see Theorems S1 and S2 in de Chaisemartin and D’Haultfoeuille, 2015). 4
5	we assume that treatment is binary, but our results apply to any ordered treatment, as we show in Section ?? of the Web Appendix. Then, for every (i, g, t) ∈ {1, ..., Ng,t }×{1, ..., G}×{1, ..., T }, let Di,g,t and (Yi,g,t (0), Yi,g,t (1)) respectively denote the treatment status and the potential outcomes without and with treatment of observation i in group g at period t. The outcome of observation i in group g and period t is Yi,g,t = Yi,g,t (Di,g,t ). For all (g, t), let Ng,t Ng,t Ng,t Ng,t 1 X 1 X 1 X 1 X Dg,t = Di,g,t , Yg,t (0) = Yi,g,t (0), Yg,t (1) = Yi,g,t (1), and Yg,t = Yi,g,t . Ng,t i=1 Ng,t i=1 Ng,t i=1 Ng,t i=1 Dg,t denotes the average treatment in group g at period t, while Yg,t (0), Yg,t (1), and Yg,t re- spectively denote the average potential outcomes without and with treatment and the average observed outcome in group g at period t. Throughout the paper, we maintain the following assumptions. Assumption 1 (Balanced panel of groups) For all (g, t) ∈ {1, ..., G} × {1, ..., T }, Ng,t > 0. Assumption 1 requires that no group appears or disappears over time. This assumption is often satisfied. Without it, our results still hold but the notation becomes more complicated as the denominators of some of the fractions below may then be equal to zero. Assumption 2 (Sharp design) For all (g, t) ∈ {1, ..., G} × {1, ..., T } and i ∈ {1, ..., Ng,t }, Di,g,t = Dg,t . Assumption 2 requires that units’ treatments do not vary within each (g, t) cell, a situation we refer to as a sharp design. This is for instance satisfied when the treatment is a group-level variable, for instance a county- or a state-law. This is also mechanically satisfied when Ng,t = 1. In our survey in Section 6.1, we find that almost 80% of the papers using two-way fixed effects regressions and published in the AER between 2010 and 2012 consider sharp designs. We focus on sharp designs because of their prevalence, but in Section ?? of the Web Appendix, we show that all the results in Sections 3-4 below can be extended to fuzzy designs. Assumption 3 (Independent groups) The vectors (Yg,t (0), Yg,t (1), Dg,t )1≤t≤T are mutually inde- pendent. We consider Dg,t , Yg,t (0), Yg,t (1) as random variables. For instance, aggregate random shocks may affect the average potential outcomes of group g at period t. The treatment status of group g at period t may also be random. The expectations below are taken with respect to the distribution of those random variables. Assumption 3 allows for the possibility that the treatments and potential outcomes of a group may be correlated over time, but it requires that the potential outcomes and treatments of different groups be independent. 5
6	Assumption 4 (Strong exogeneity) For all (g, t) ∈ {1, ..., G} × {2, ..., T }, E(Yg,t (0) − Yg,t−1 (0)|Dg,1 , ..., Dg,T ) = E(Yg,t (0) − Yg,t−1 (0)). Assumption 4 requires that the shocks affecting a group’s Yg,t (0) be mean independent of that group’s treatment sequence. This rules out the possibility that a group gets treated because it experiences negative shocks, the so-called Ashenfelter’s dip (see Ashenfelter, 1978). Assumption 4 is related to the strong exogeneity condition in panel data models, which, as is well-known, is necessary to obtain the consistency of the fixed effects estimator (see, e.g., Wooldridge, 2002). We now define the FE regression described in the introduction.4 Regression 1 (Fixed-effects regression) Let βbf e denote the coefficient of Dg,th in ian OLS regression of Yi,g,t on group fixed effects, period fixed effects, and Dg,t . Let βf e = E βbf e .5 P P For all g and t, let Ng,. = Tt=1 Ng,t and N.,t = G g=1 Ng,t respectively denote the total number of observations in group g and in period t. For any variable Xg,t defined in each (g, t) cell, let Xg,. = PT PG t=1 (Ng,t /Ng,. )Xg,t denote the average value of Xg,t in group g, let X.,t = g=1 (Ng,t /N.,t )Xg,t P denote the average value of Xg,t in period t, and let X.,. = g,t (Ng,t /N )Xg,t denote the average value of Xg,t . For instance, D3,. and D.,2 respectively denote the average treatment in group 3 across time and in period 2 across groups, whereas Y.,. denotes the average value of the outcome across groups and time. Finally, for any variable Xg,t , we let X denote the vector (Xg,t )(g,t)∈{1,...,G}×{1,...,T } collecting the values of that variable in each (g, t) cell. For instance, D is the vector (Dg,t )(g,t)∈{1,...,G}×{1,...,T } collecting the treatments of all the (g, t) cells. 3 Two-way fixed effects regressions 3.1 A decomposition result We study the FE regression under the following common trends assumption. Assumption 5 (Common trends) For t ≥ 2, E(Yg,t (0) − Yg,t−1 (0)) does not vary across g. Assumption 5 requires that the expectation of the outcome without treatment follow the same evolution over time in every group. When t represents birth cohorts, Assumption 5 requires that the outcome difference between consecutive cohorts be the same across groups. 4 Throughout the paper, we assume that Dg,t in Regression 1 and Dg,t − Dg,t−1 in Regression 2 below are not collinear with the other independent variables in those regressions, so βbf e and βbf d are well-defined. 5 As the independent variables in Regression 1 are constant within each (g, t) cell, Regression 1 is equivalent to a (g, t)-level regression of Yg,t on group and period fixed effects and Dg,t , weighted by Ng,t . 6
7	P Let N1 = i,g,t Di,g,t denote the number of treated units, let 1 X ∆T R = [Yi,g,t (1) − Yi,g,t (0)] N1 (i,g,t):Dg,t =1   denote the average treatment effect across all treated units, and let δ T R = E ∆T R denote the expectation of that parameter, hereafter referred to as the ATT. For any (g, t) ∈ {1, ..., G} × {1, ..., T }, let Ng,t 1 X ∆g,t = [Yi,g,t (1) − Yi,g,t (0)] Ng,t i=1 denote the ATE in cell (g, t). δ T R is equal to the expectation of a weighted average of the treated cells’ ∆g,t s:   X Ng,t δT R = E  ∆g,t  . (2) g,t:D =1 N 1 g,t Under the common trends assumption, we show that βf e is also equal to the expectation of a weighted sum of the ∆g,t s, with potentially some negative weights. Let εg,t denote the residual of observations in cell (g, t) in the regression of Dg,t on group and period fixed effects:6 Dg,t = α + γg + λt + εg,t . One can show that if the regressors in Regression 1 are not collinear, the average value of εg,t P across all treated (g, t) cells differs from 0: (g,t):Dg,t =1 (Ng,t /N1 )εg,t 6= 0. Then we let wg,t denote εg,t divided by that average: εg,t wg,t = P Ng,t . (g,t):Dg,t =1 N1 εg,t Theorem 1 Suppose that Assumptions 1-5 hold. Then,7   X Ng,t βf e = E  wg,t ∆g,t  . N1 (g,t):Dg,t =1 6 εg,t arises from a unit-level regression, where the dependent and independent variables only vary at the (g, t) level. Therefore, all the units in the same (g, t) cell have the same value of εg,t . 7 In the proof, we show the following, stronger result: h i X Ng,t E βbf e D = wg,t E [∆g,t |D] . N1 (g,t):Dg,t =1 7
8	This result implies that in general, βf e 6= δ T R , so βbf e is a biased estimator of the ATT. To illustrate this, we consider a simple example of a staggered adoption design with two groups and three periods, and where the treatments are non-stochastic: group 1 is untreated at periods 1 and 2 and treated at period 3, while group 2 is untreated at period 1 and treated both at periods 2 and 3.8 We also assume that Ng,t /Ng,t−1 does not vary across g: all groups experience the same growth of their number of observations from t − 1 to t, a requirement that is for instance satisfied when the data is a balanced panel. Then, one can show that εg,t = Dg,t − Dg,. − D.,t + D.,. , thus implying that ε1,3 = 1 − 1/3 − 1 + 1/2 = 1/6, ε2,2 = 1 − 2/3 − 1/2 + 1/2 = 1/3, ε2,3 = 1 − 2/3 − 1 + 1/2 = −1/6. The residual is negative in group 2 and period 3, because the regression predicts a treatment probability larger than one in that cell, a classic extrapolation problem with linear regressions. Then, under the common trends assumption, it follows from Theorem 1 and the fact that the treatments are non-stochastic that βf e = 1/2E [∆1,3 ] + E [∆2,2 ] − 1/2E [∆2,3 ] . βf e is equal to a weighted sum of the ATEs in group 1 at period 3, group 2 at period 2, and group 2 at period 3, the three treated (g, t) cells. However, the weight assigned to each ATE differs from 1/3, the proportion that each cell accounts for in the population of treated observations. Therefore, βf e is not equal to δ T R . Perhaps more worryingly, not all the weights are positive: the weight assigned to the ATE in group 2 period 3 is strictly negative. Consequently, βf e may be a very misleading measure of the treatment effect. Assume for instance that E [∆1,3 ] = E [∆2,2 ] = 1 and E [∆2,3 ] = 4. At the period when they start receiving the treatment, both groups experience a modest positive ATE. But this effect builds over time and in period 3, one period after it has started receiving the treatment, group 2 now experiences a large ATE. Then, βf e = 1/2 × 1 + 1 − 1/2 × 4 = −1/2. βf e is strictly negative, while E [∆1,3 ], E [∆2,2 ], and E [∆2,3 ] are all positive. More generally, the negative weights are an issue if the E [∆g,t ]s are heterogeneous, across groups or over time.9 If E [∆1,3 ] = E [∆2,2 ] = E [∆2,3 ] = 1, then βf e = 1 = δ T R . 8 A similar example appears in Borusyak and Jaravel (2017). 9 On the other hand, βf e does not rule out heterogeneous treatment effects within (g, t) cells, as it is identified by variations across (g, t) cells, and does not leverage any within-cell variation. 8
9	Here is some intuition as to why one weight is negative in this example. It follows from Equation (7) in the proof of Theorem 1 (see also Theorem 1 in Goodman-Bacon, 2018) that in this simple example, βf e = (DID1 + DID2 )/2, with DID1 = E(Y2,2 ) − E(Y2,1 ) − (E(Y1,2 ) − E(Y1,1 )) , DID2 = E(Y1,3 ) − E(Y1,2 ) − (E(Y2,3 ) − E(Y2,2 )) . The first DID compares the evolution of the mean outcome from period 1 to 2 in group 2 and in group 1. The second one compares the evolution of the mean outcome from period 2 to 3 in group 1 and in group 2. The control group in the second DID, group 2, is treated both in the pre and in the post period. Therefore, under the common trends assumption, it follows from Lemma 1 in Appendix A (a similar result appears in Lemma 1 of de Chaisemartin (2011) and in Equation (13) of Goodman-Bacon (2018)) that DID1 = E [∆2,2 ], but DID2 = E [∆1,3 ] − (E [∆2,3 ] − E [∆2,2 ]). DID2 is equal to the ATE in group 1 period 3, minus the change in group 2’s ATE between periods 2 and 3. Intuitively, the mean outcome of groups 1 and 2 may follow different trends from period 2 to 3 either because group 1 becomes treated, or because group 2’s ATE changes. The intuition that negative weights arise because βbf e uses treated observations as controls also appears in Borusyak and Jaravel (2017). We now generalize the previous illustration by characterizing the (g, t) cells whose ATEs are weighted negatively by βf e . Proposition 1 Suppose that Assumption 1 holds and for all t ≥ 2 Ng,t /Ng,t−1 does not vary across g. Then, for all (g, t, t0 ) such that Dg,t = Dg,t0 = 1, D.,t > D.,t0 implies wg,t < wg,t0 . Similarly, for all (g, g 0 , t) such that Dg,t = Dg0 ,t = 1, Dg,. > Dg0 ,. implies wg,t < wg0 ,t . Proposition 1 shows that βf e is more likely to assign a negative weight to periods where a large fraction of groups are treated, and to groups treated for many periods. Then, negative weights are a concern when treatment effects differ between periods with many versus few treated groups, or between groups treated for many versus few periods. Proposition 1 has interesting implications in staggered adoption designs, a special case of sharp designs defined as follows. Assumption 6 (Staggered adoption designs) For all g, Dg,t ≥ Dg,t−1 for all t ≥ 2. Assumption 6 is satisfied in applications where groups adopt a treatment at heterogeneous dates (see e.g. Athey and Stern, 2002). In that design, Borusyak and Jaravel (2017) show that βf e is more likely to assign a negative weight to treatment effects at the last periods of the panel. 9
10	This result is a special case of Proposition 1: in staggered adoption designs, D.,t is increasing in t, so Proposition 1 implies that wg,t is decreasing in t.10 Proposition 1 also implies that in that design, groups that adopt the treatment earlier are more likely to receive some negative weights. Finally, in staggered adoption designs, Athey and Imbens (2018) derive a decomposition of βf e that resembles to, but differs from, that in Theorem 1. They derive their decomposition under the assumption that the dates at which each group starts receiving the treatment are randomly assigned, while we derive ours under a common trends assumption. 3.2 Robustness to heterogeneous treatment effects Theorem 1 shows that in sharp designs with many groups and periods, βbf e may be a misleading measure of the treatment effect under the standard common trends assumption, if the treatment effect is heterogeneous across groups and time periods. In the corollary below, we propose two robustness measures that can be used to assess how serious that concern is. Those robustness measures are defined conditional on D, the vector stacking together the treat- e g,t = E (∆g,t |D) ments of all the (g, t) cells. Specifically, for all (g, t) ∈ {1, ..., G}×{1, ..., T }, let ∆  denote the ATE in cell (g, t) conditional 11 e TR on D, let ∆ = E ∆ D denote the ATT con- TR  ditional on D, and let βef e = E βbf e D . The first measure we consider is the minimal value of the standard deviation of the ∆e g,t s under which one could have that βef e is of a different sign than ∆e T R . Therefore, this summary measure applies to βef e and ∆ e T R , rather than βf e and δ T R , the unconditional expectations of βbf e and ∆T R on which we have focused so far. However, one can show that when G, the number of groups, goes to infinity, βef e − βf e and ∆ e T R − δ T R both converge to 0. So if the number of groups is large, βef e and ∆ e T R should not differ much from βf e and δ T R , and our robustness measure “almost” applies to βf e and δ T R . Let  1/2 X Ng,t e  2 e = σ(∆) ∆g,t − ∆e TR  , N1 (g,t):Dg,t =1  1/2 X Ng,t σ(w) =  (wg,t − 1)2  . N1 (g,t):Dg,t =1 10 Borusyak and Jaravel (2017) assume that the treatment effect of cell (g, t) only depends on the number of periods since group g has started receiving the treatment, whereas Proposition 1 does not rely on that assumption. 11 e ∆g,t may differ from E(∆g,t ). To see this, let us consider a simple example where T = 2. Then, under Assumption 3, one has ∆ e g,t = E (∆g,t |Dg,1 , Dg,2 ). One may for instance have E (∆g,1 |Dg,1 = 0, Dg,2 = 0) < E (∆g,1 |Dg,1 = 1, Dg,2 = 1), if a group is more likely to be treated if her treatment effect is initially high. 10
