pdf_page_index	text
1	Combining Human Expertise with Artificial Intelligence: Experimental Evidence from Radiology∗ Nikhil Agarwal, Alex Moehring, Pranav Rajpurkar, Tobias Salz† June 30, 2023 Abstract While Artificial Intelligence (AI) algorithms have achieved performance levels com- parable to human experts on various predictive tasks, human experts can still access valuable contextual information not yet incorporated into AI predictions. Humans as- sisted by AI predictions could outperform both human-alone or AI-alone. We conduct an experiment with professional radiologists that varies the availability of AI assistance and contextual information to study the effectiveness of human-AI collaboration and to investigate how to optimize it. Our findings reveal that (i) providing AI predictions does not uniformly increase diagnostic quality, and (ii) providing contextual informa- tion does increase quality. Radiologists do not fully capitalize on the potential gains from AI assistance because of large deviations from the benchmark Bayesian model with correct belief updating. The observed errors in belief updating can be explained by radiologists’ partially underweighting the AI’s information relative to their own and not accounting for the correlation between their own information and AI predictions. In light of these biases, we design a collaborative system between radiologists and AI. Our results demonstrate that, unless the documented mistakes can be corrected, the optimal solution involves assigning cases either to humans or to AI, but rarely to a human assisted by AI. JEL: C50, C90, D83, D47 Keywords: Artificial Intelligence, Belief Updating, Radiology ∗ We are grateful to Stanford University Hospital for facilitating data access. The authors acknowledge support from the Alfred P. Sloan Foundation (2022-17182), JPAL Healthcare Delivery Initiative, and MIT SHASS. The experiment was pre-registered on the AEA registry, number AEARCTR-0009620. The preanal- ysis plans are available at SSR Registration 9620 and SSR registration 8799. † Agarwal: Department of Economics, MIT and NBER, email: agarwaln@mit.edu. Moehring: MIT Sloan School of Management, email: moehring@mit.edu. Rajpurkar: Department of Biomedical Informatics, Har- vard Medical School, email: pranav_rajpurkar@hms.harvard.edu. Salz: Department of Economics, MIT and NBER, email: tsalz@mit.edu. The project benefitted from collaboration with several radiologists, including Drs. Matthew Lungren, Curtis Langlotz, and Anuj Pareek of Stanford, Drs. Etan Dayan and Adam Jacobi of Mt. Sinai Hospital, Steven Truong of VinBrain and several radiologists at VINMEC, and teleradiologists at USARAD, Vesta Teleradiology, and Advanced Telemed. We thank Daron Acemoglu, David Autor, David Chan, Glenn Ellison, Amy Finkelstein, Drew Fudenberg, Paul Joskow, Whitney Newey, Pietro Ortoleva, Paul Oyer, Ariel Pakes, Alex Rees-Jones, Frank Schilbach, Chad Syverson, and Alex Wolitzky for helpful conversations, comments and suggestions. Oishi Banerjee, Andrew Komo, Manasi Kutwal, Angelo Marino and Jett Pettus provided invaluable research assistance. 1
2	"2 “We should stop training radiologists now. Its just completely obvious that within five years, deep learning is going to do better than radiologists."" – Geoffrey Hinton (in 2016) 1 Introduction Artificial intelligence (AI) is a general-purpose technology with transformative potential sim- ilar to that of the steam engine and electricity (Brynjolfsson and Mitchell, 2017; Brynjolfsson et al., 2017; Agrawal et al., 2018; Acemoglu and Johnson, 2023; Goldfarb et al., 2023; Frank et al., 2019). But, in contrast to the transformation during the industrial revolutions, AI can potentially displace humans from tasks that require complex reasoning (Webb, 2019; Felten et al., 2019; Brynjolfsson and Mitchell, 2017). Advances in AI have therefore caused concern about the role of human work, even in highly skilled occupations (Ford, 2015). Indeed, a growing literature shows that AI tools based on machine learning can outperform humans on a host of predictive tasks, including those typically performed by experts (Liu et al. 2019; Lai et al. 2021; Mullainathan and Obermeyer 2019; Kleinberg et al. 2017). However, Hinton’s prediction about radiology — an iconic example in machine learning — may have been premature.1 Many argue that instead of being replaced by AI, it is optimal to have human radiologists use AI assistance, at least for the foreseeable future (Langlotz, 2019; Agrawal et al., 2019). In addition to considerable legal and regulatory challenges that stand in the way of full automation, there may be potential gains from combining human expertise with AI input that cannot be realized by exclusively relying on one or the other. For example, radiologists may correct mistaken AI predictions or may have access to information about the clinical context that has not yet been systematized and built into AI tools. Current regulatory practice is consistent with these arguments – approved AI tools for clinical decision-making typically play a supporting role rather than operating autonomously (see Norden and Shah, 2022; Harvey and Gowda, 2020, for example). Similar reasons are likely to result in partial task automation or collaboration between human experts and AI being optimal in other contexts. We run an experiment to examine how radiologists use AI predictions, whether AI assistance improves their performance, estimate a model of (potentially biased) belief updating, and analyze what this model implies about the optimal form of collaboration between AI and humans.2 If humans correctly combine AI predictions with their own information, then AI 1 A more nuanced but qualitatively similar prediction that machine learning tools will displace radiologists is conveyed in Obermeyer and Emanuel (2016). 2 We will use the terms ‘humans’, ‘radiologists’, and ‘participants’ interchangeably."
3	3 assistance unambiguously improves prediction and decision quality. Unless the costs in terms of human effort outweigh these benefits, it is optimal to provide AI assistance to humans. However, substantial literature in economics suggests that humans may err when making probabilistic judgments by deviating from the benchmark model of Bayesian updating with correct beliefs (see Benjamin et al., 2019, for a review). The optimal approach for combining human and AI information in the presence of these mistakes is non-trivial. The experiment employs professional radiologists whom we recruit through teleradiology companies to diagnose retrospective patient cases. We experimentally manipulate the in- formation set radiologists have access to when making decisions in a two-by-two factorial design. In the minimal information environment, we provide only the chest X-ray image to which we add either AI predictions or contextual information, or both. The AI information treatment provides probabilities that a patient case is positive for a potential chest pathology generated using an algorithm trained on over 250,000 X-rays with corresponding disease la- bels (Irvin et al., 2019). This algorithm was shown to perform comparably to board-certified radiologists. The contextual information treatment provides clinical history information that radiologists typically have available but, for privacy reasons, was not available to train the AI. This information includes the treating doctors’ indications, the patient’s vitals, and the patient’s labs. We first estimate the treatment effects of those informational interventions on radiologists’ prediction accuracy and the probability of making a correct decision. We then test alterna- tive models of biased belief updating to investigate whether radiologists exhibit systematic deviations from a Bayesian benchmark when incorporating AI predictions. For example, hu- mans may suffer from automation bias, a tendency to place more weight on machine-provided predictions than on one’s own information.3 Additionally, humans may treat AI predictions as independent of their own information (Enke and Zimmermann, 2019). Finally, we evaluate various forms of human-AI collaboration – in terms of diagnostic performance and costs of expert time – that decide, as a function of the AI prediction, to use only the AI input, only the human input, or the human input with access to AI. Diagnostic radiology is an ideal laboratory for investigating human-AI interaction for var- ious reasons. Deep learning has made significant advances in radiology, surpassing human decision-making in many cases, and such algorithms are already clinically deployed Rajpurkar and Lungren (2023). It, therefore, serves as a useful leading indicator for other professions 3 This terminology is borrowed from the literature that dates to the proliferation of computerized auto- mated support systems in aviation, which raised concerns about human complacency or automation bias (see Alberdi et al., 2009, for an overview).
4	4 where similar developments will follow. Moreover, radiology is a highly-paid medical spe- cialty, which means that the potential benefits from productivity enhancements through AI are large. Radiology is also ideal from a research perspective. Unlike other physicians, radi- ologists do not have direct contact with patients, allowing us to run a decision experiment that resembles their normal workflow through a remote interface that we developed. To aid quantitative analysis, instead of obtaining a free-text report, we collect radiologist’s assessed probability that a given chest pathology is present and a binary clinical recommendation of whether to treat or follow up for that pathology. For our experiment, we hired 180 radiolo- gists through teleradiology companies that serve US hospitals and offer the services of both US-based and non-US-based radiologists. Analyzing the quality of our participants’ assessments requires establishing, for each patient case, a standard or ground truth. An important challenge in our setting is that definitive diagnostic tests do not exist for most thoracic pathologies and, even when they do exist, are selectively performed depending on a radiologist’s recommendation. We therefore follow the machine learning literature (Sheng et al., 2008) and construct a diagnostic standard by aggregating the assessments of five board-certified radiologists at Mt. Sinai Hospital with at least ten years of experience and chest radiology as a sub-specialty. We assess the robustness of all our results by constructing a (leave-one-out) ground truth using the assessments of our experimental participants and by varying the aggregation method. There are two important challenges in designing the experiment, which we address using a combination of experimental designs. First, while teleradiology firms allow us to recruit radiologists for our experiment we need to compensate them at the market rate, making data collection expensive. An across-participant design would therefore be cost-prohibitive except for extremely large effect sizes. In the first design, we, therefore, randomize each participant into an order in which they are exposed to the four informational environments but do not encounter cases repeatedly. Thus, this design allows for within-participant comparisons in addition to an initial pure across-participant comparison. The second challenge is that, to estimate a model of belief updating, we need to observe radiologists’ assessments of a given case both with and without AI assistance. Moreover, the assessment without AI assistance is required to estimate the Bayesian benchmark, which we can compare to the assessment that incorporates AI assistance. Our second design addresses this issue by asking each participant to diagnose each patient case once in each of the four information environments in random order while ensuring at least a two-week wash-out period between two encounters of a given case. This wash-out period is intended to eliminate the memory of prior information and
5	5 anchoring effects.4 Most of our treatment effect analysis pools data from the different designs whereas our model estimates of belief updating only uses data where a radiologist reads the same case both with and without AI assistance. We find that AI assistance does not improve humans’ diagnostic quality on average even though the AI predictions are more accurate than almost two-thirds of the participants in our experiment. Moreover, the zero average effect cannot be explained by the participants ignoring these predictions – we observe that radiologists’ reported probabilities move sig- nificantly towards the AI’s predictions with AI assistance. Instead, the zero effect of AI assistance is driven by heterogeneous treatment effects – diagnostic quality increases when the AI is confident (e.g. the predicted probability is close to zero or one) but decreases when the AI is uncertain. In parallel, AI assistance improves diagnostic quality for patient cases in which our participants are uncertain, but decreases quality for patient cases in which our participants are certain. In contrast, providing clinical history does improve diagnostic quality suggesting that humans have additional valuable information that has not yet been incorporated into AI predictions. An upshot of the results is that information available only to radiologists is useful, but human experts do not correctly combine their information with AI predictions. Specifically, the result that AI assistance can reduce predictive performance cannot be rationalized if our participants are Bayesians with correct beliefs because the AI assistance provides weakly more information to the decision-maker. Motivated by these results, we analyze two types of deviations from the benchmark model with correct updating to link errors in probabilistic judgement and optimal deployment of AI assistance.5 The first type of deviation occurs when agents do not put correct weights on their own information and AI information. We describe this deviation using the approach introduced in Grether (1980; 1992) (see Benjamin, 2019, for a review) to define biases in belief updating. We say that an agent exhibits own-information bias if they over-weights their baseline information when provided with AI assistance and own-information neglect if they under-weights it. Analogously, an agent exhibits automation bias if they over-weights the AI information relative to their own and automation neglect if they under-weights it. The second type of deviation occurs if agents utilize an incorrect joint distribution of their 4 To ensure that our results do not rely on the wash-out being successful, a third design obtains an assessment with AI assistance only after assessments without AI assistance have been obtained. However, this third treatment is subject to order effects. We find no evidence of order effects on diagnostic quality although there is evidence that familiarity with the interface increases the speed with which participants go through patient cases. 5 We will remain agnostic about whether the deviations we consider are due to non-Bayesian updating or can be explained by Bayesian updating with incorrect prior beliefs.
6	6 own information and AI information – an example of such a deviation is correlation neglect (Enke and Zimmermann, 2019). Our theoretical analysis shows that if agents exhibit only automation neglect, then AI assistance unambiguously increases diagnostic quality. All other forms of biases we consider result in AI assistance reducing diagnostic quality for certain realizations of AI and own information. We then use the data from our experiment to estimate empirical analogs of the deviations described above and select the model that best describes the treatment effects we document. This exercise requires us to solve several challenges unique to a naturalistic setting where the experimenter does not control the information structure. We find that in the model that best describes our data, agents exhibit automation neglect and act as if their own information and AI predictions are independent (conditional on the truth), even though this is not the case. Interestingly, we do not find evidence of substantial own-information bias or neglect. Finally, we take our data to estimate the trade-off between diagnostic quality and radiologist time when AI predictions can be selectively utilized, and design an optimal human-AI collab- orative system. For each pathology and conditional on the AI prediction for that pathology, our experiment allows us to compute both the diagnostic quality and time taken if a patient case is diagnosed by the AI, a randomly chosen radiologist without AI assistance, and a radi- ologist assisted with the AI prediction. We use these data to train a classification algorithm that yields the frontier of diagnostic quality and total radiologist time. The results from this exercise mirror our treatment effect analysis – because radiologists take more time with AI and do not correctly incorporate the AI’s information, the majority of cases are optimally decided either by the radiologist or the AI alone but not by the radiologist with access to AI. Related Literature A growing body of literature in computer science has explored the predictive performance of humans versus machine learning algorithms, with radiology often serving as a key area of application (Rajpurkar et al., 2018, 2017). Additionally, the study of human-AI collaboration has become an increasingly important facet of medical AI research (Tschandl et al., 2020; Reverberi et al., 2022). For comprehensive overviews of these areas, see Rajpurkar et al. (2022); Hosny et al. (2018); Zhou et al. (2021); Lai et al. (2021). Research on the effectiveness of human-AI collaboration is evolving, with notable studies in radiology including Rajpurkar et al. (2020); Kim et al. (2020); Park et al. (2019); Seah et al. (2021); Fogliato et al. (2022). An active literature studies whether AI assistance benefits radiologists, and which radiologists benefit the most (Rajpurkar et al., 2020; Seah et al., 2021; Ahn et al., 2022; Sim et al., 2020; Gaube et al., 2023). In contrast to prior studies, we recruit a large group of high-
7	7 skilled experts from teleradiology companies under contracts that allow us to incentivize our participants. A key differentiating factor of our research is that, unlike previous studies which mainly concentrated on performance, our work emphasizes behavioral biases and their impact on human-AI interaction. An emerging literature in economics also compares human and AI performance. Within economics, these studies tend to rely on observational approaches, with examples addressing issues in medicine (Ribers and Ullrich, 2022; Mullainathan and Obermeyer, 2019) and bail decisions (Kleinberg et al., 2015; Angelova et al., 2022). However, analyses based on obser- vational data face critical identification challenges, such as the selective labels problem (see Kleinberg et al., 2017; Mullainathan and Obermeyer, 2019; Rambachan, 2021)). A limited set of studies use quasi-experimental approaches (e.g., Stevenson and Doleac, 2019; Angelova et al., 2022) or randomized controlled trials (e.g., Imai et al. (2020); Bundorf et al. (2020); Noy and Zhang (2023); Grimon et al. (2022)) to investigate human use of AI tools, typically focusing on overall performance or variability in participant response. We add to this litera- ture by developing an experimental approach that manipulates the information environment that calculates and compares behavior with a Bayesian benchmark to document systematic biases and demonstrate that these biases lead to a non-trivial delegation problem.6 While several studies in behavioral economics have documented errors in probabilistic judg- ment and belief formation, they do not focus on the issues surrounding human-AI interaction (c.f. Tversky and Kahneman, 1974; Benjamin et al., 2019; Enke and Zimmermann, 2019; Con- lon et al., 2022, for example). Our definitions of own-information and automation bias build on the framework in Grether (1980). We contribute to this literature in two ways. First, we develop an approach to estimate the parameters of the model in Grether (1992) in an environment where the joint distribution of the signals cannot be controlled (or partialled out) by the researcher.7 This approach is necessary because we cannot modify the signal within medical images. Second, we link the design of AI information provision to the (bi- ased) updating rule that humans use. This link shows that the use of AI information by humans is an important and practical application of the ideas in this literature. 6 Our finding that radiologists exhibit automation neglect is related to those in Dietvorst et al. (2015), which shows that humans are averse to following algorithmic recommendations as compared to human recom- mendations. This aversion can be reduced if humans are allowed to modify the algorithm’s recommendation (Dietvorst et al., 2018). 7 Most applications that we are aware of rely on one of two experimental approaches. In the first approach, the researcher can partial out either the prior information or the likelihood ratio of the signal provided, for example in the classic bookbag-and-poker-chip experiments (see Benjamin et al. 2019; Benjamin 2019, for reviews). In the second approach, the researcher directly provides signals from a known joint distribution (e.g. Conlon et al., 2022).
8	8 Our analysis of optimal human-AI collaboration is related to papers that build delegation algorithms to predict the types of cases for which human performance exceeds machine performance (e.g. Mozannar and Sontag, 2020; Raghu et al., 2019; Bansal et al., 2021). Relative to this work, our analysis uses a decision-theoretic model and specific human biases to trace their consequences for optimal AI deployment. Finally, our work also adds to the literature on decision-making in the health care context (e.g. Abaluck et al., 2016; Currie and MacLeod, 2017; Gruber et al., 2021; Chan et al., 2022; Chandra and Staiger, 2020). This work aims to understand predictions and payoffs from observational data on medical decisions, objectives that are achievable under less strin- gent functional form restrictions in our experimental approach. An important distinguishing feature is that none of these papers consider the effects of AI predictions on medical decision- making. Overview The rest of the paper is organized in the following way. Section 2 introduces our model of a decision-maker in a diagnostic setting. Section 3 describes the necessary details of the setting and our experimental design. Section 4 discusses the treatment effects. Section 5 estimates a descriptive model of deviations from Bayesian updating. Section 6 shows the gains achievable under the optimal collaboration between radiologists and AI. 2 Conceptual Model Our study focuses on classification problems and, specifically machine learning algorithms within the domain of AI tools. These algorithms are designed to predict the appropriate classification for a given case and may assist a human decision-maker. This decision-maker, indexed by r, must take a binary action air ∈ {0, 1} on case i based on a prediction of a binary state ωi ∈ {0, 1}. The realized payoff ur (air , ωi ) from an action depends both on the state and the action. The expert does not know ωi but observes, depending on the information environment, a subset of two signals that are potentially informative about the state. The first signal is generated by a prediction algorithm (AI), with realizations sA A i ∈ S . The second signal is directly obtained by the expert, with a realization sE E ir ∈ S . These signals are of arbitrary dimension. The joint distributions of the signals conditional on the   state is given by πr (·|ω) ∈ ∆ S A , S E , with prior probabilities over the state π (ω). We do not place any restrictions on πr (·|ω). The signals need not be independent conditional on the state of the world, and the signal distribution may depend on the expert, capturing skill (Chan et al., 2022). We also allow for cases when one of the signals is more informative than
9	9 the other (Blackwell, 1953). Assume that the human’s objective is to match the action to the state. Thus, the human faces a classification problem. It is without loss of generality to normalize the payoff from taking the action that matches the state to zero. Let cF P,r be the disutility of human r if she takes the action a = 1 when the state is ω = 0 (false positive) and cF N,r be the disutility if she takes the action a = 0 when the state is ω = 1 (false negative). The payoff of the human is therefore ur (a, ω) = −1 · {a = 1, ω = 0} · cF P,r − 1 · {a = 0, ω = 1} · cF N,r . (1) We allow the human’s posterior belief given the observed signals to deviate from those implied n o by the true probability law πr (·|ω). Specifically, let sir ⊂ sA E r , sir be the subset of signal realizations observed by the human r and pr (ω |sir ) ∈ [0, 1] be the human’s posterior belief that the state is ω ∈ {0, 1} when she observes sir . Suppressing the dependence of signals on the pair (i, r), the human’s action given the signal s is ( ) pr (ω = 1 |s ) cF P,r a∗r (s; pr ) = 1 · > crel,r ≡ . (2) pr (ω = 0 |s ) cF N,r The expected payoff from following a∗ (s) is Vr (s; pr ) = E [ur (a∗r (s; pr ) , ω) |s] = u (a∗r (s; pr ) , ω) πr (ω |s ) , X ω where decisions are based on the human’s belief pr , but are evaluated according to the true law πr . Because we allow for pr to differ from πr , the odds ratio pprr (ω=0|s (ω=1|s ) ) may differ from ∗ the analogous quantity constructed using πr . Thus, the action ar (s; pr ) can deviate from the   optimal action a∗r (s; πr ) given the signal s = sA , sE . Except in knife-edge cases, Vr (s; pr ) is lower than V (s; πr ) whenever a∗ (s; pr ) ̸= a∗ (s; πr ). A key objective is to analyze deviations in humans’ use of AI signals from the benchmark model of Bayesian updating with correct beliefs (about the joint distribution of the signals   and the state). Bayes’ rule implies that, given the signals sA E i , sir , the log-odds of ω = 1 to ω = 0–the key decision-relevant quantity–is given by       πr ωi = 1 sA E i , sir π r sA E i ωi = 1, sir πr ωi = 1 sE ir log = log + log . (3) πr (ωi = 0 |sA E i , sir ) πr (sA E i |ωi = 0, sir ) πr (ωi = 0 |sE ir ) The second term on the right-hand side is the posterior log-odds ratio for the two states
10	10 ωi = 1 to ωi = 0 given that the human’s signal is sE ir . The first term is positive if, given the realization sE A ir , the signal si is more likely if ωi = 1 as compared to ωi = 0. In this case, the posterior odds shift in favor of the state ωi = 1. Analogously, the odds shift away from ωi = 1 if, given sE A ir , the signal si is more likely if the state were ωi = 0. The task of empirically analyzing deviations in participants’ beliefs from the benchmark in equation (3) is challenging because the signals differ across cases i and humans may, due to differences in skill, have heterogeneous signal distributions πr (·) . The ideal dataset would     elicit pr ωi = 1 sAi , sE ir and π r ωi = 1 s E ir for the same case and the same human to keep   the signals sA E i , sir , and human-specific parameters fixed, and use the latter to estimate   πr ω i = 1 s A E i , sir using equation (3). However, empirically implementing this strategy requires us to confront several experimental and methodological challenges. First, the experiment needs to be sensitive to anchoring and     order effects when eliciting pr ωi = 1 sA i , sE ir and π r ωi = 1 s E ir from participants. Second, the potential for measurement error and the dependence of the first term in equation (3) on a latent signal sE ir complicates the exercise. We defer our approach to this second challenge to section 5, and turn our attention to the experimental design. 3 Setting and Experiment Our experiment elicits the probability of a pathology’s presence pr (ω = 1 |s ) and a recom- mended treatment/follow-up decision a under varying information treatments. There are four information treatments in the experiment, with only the chest X-ray in the minimal informa- tion case, to which we add AI assistance, contextual information, or both. Next, we describe the experimental context and interface before presenting the design of our experiments. 3.1 Experimental Context 3.1.1 Radiology Radiologists diagnose the presence of a given pathology at the request of a treating physician. The information available to a radiologist consists of diagnostic images (e.g. chest X-rays), any relevant medical history (e.g. laboratory results), and clinical indication notes of the treating physician.8 The treating physician’s notes are of varying detail levels – they may provide no clinical information or guidance, request the analysis of a specific pathology, or 8 Radiologists are rarely in direct contact with the patient or the treating physician, except via the formal information exchange outlined here.
