pdf_page_index	text
1	Aldasoro, Iñaki et al. Working Paper AI adoption, productivity and employment: Evidence from European firms EIB Working Papers, No. 2026/02 Provided in Cooperation with: European Investment Bank (EIB), Luxembourg Suggested Citation: Aldasoro, Iñaki et al. (2026) : AI adoption, productivity and employment: Evidence from European firms, EIB Working Papers, No. 2026/02, ISBN 978-92-861-6087-5, European Investment Bank (EIB), Luxembourg, https://doi.org/10.2867/1772538 This Version is available at: https://hdl.handle.net/10419/335876 Standard-Nutzungsbedingungen: Terms of use: Die Dokumente auf EconStor dürfen zu eigenen wissenschaftlichen Documents in EconStor may be saved and copied for your personal Zwecken und zum Privatgebrauch gespeichert und kopiert werden. and scholarly purposes. Sie dürfen die Dokumente nicht für öffentliche oder kommerzielle You are not to copy documents for public or commercial purposes, to Zwecke vervielfältigen, öffentlich ausstellen, öffentlich zugänglich exhibit the documents publicly, to make them publicly available on the machen, vertreiben oder anderweitig nutzen. internet, or to distribute or otherwise use the documents in public. Sofern die Verfasser die Dokumente unter Open-Content-Lizenzen If the documents have been made available under an Open Content (insbesondere CC-Lizenzen) zur Verfügung gestellt haben sollten, Licence (especially Creative Commons Licences), you may exercise gelten abweichend von diesen Nutzungsbedingungen die in der dort further usage rights as specified in the indicated licence. genannten Lizenz gewährten Nutzungsrechte.
2	ECONOMICS – WORKING PAPERS 2026/02 AI ADOPTION, PRODUCTIVITY AND EMPLOYMENT EVIDENCE FROM EUROPEAN FIRMS
3	
4	AI ADOPTION, PRODUCTIVITY AND EMPLOYMENT EVIDENCE FROM EUROPEAN FIRMS
5	AI adoption, productivity and employment: Evidence from European firms EIB Working Paper 2026/02 January 2026 © European Investment Bank, 2026 All rights reserved. All questions on rights and licensing should be addressed to publications@eib.org. European Investment Bank 98 -100, boulevard Konrad Adenauer L-2950 Luxembourg This is a publication of the EIB Economics Department. economics@eib.org www.eib.org/economics Authors Iñaki Aldasoro (Bank of International Settlements), Leonardo Gambacorta (Bank of International Settlements and CEPR), Rozalia Pal, Debora Revoltella, Christoph Weiss and Marcin Wolski (European Investment Bank). About the Economics Department The mission of the EIB Economics Department is to provide economic analyses and studies to support the Bank in its operations and in the definition of its positioning, strategy and policy. The department and its team of economists is headed by Debora Revoltella, director of economics. Disclaimer The views expressed in this publication are those of the authors and do not necessarily reflect the position of the European Investment Bank. EIB working papers are designed to facilitate the timely exchange of research findings. They are not subject to standard EIB copyediting or proofreading. For further information on the EIB’s activities, please consult our website, www.eib.org. You can also contact our Info Desk, info@eib.org. Published by the European Investment Bank. Printed on FSC® Paper. pdf: QH-01-25-094-EN-N ISBN 978-92-861-6087-5 ISSN 2599-736X doi: 10.2867/1772538
6	AI adoption, productivity and employment: Evidence from European firms Iñaki Aldasoro Leonardo Gambacorta Rozalia Pal BIS BIS & CEPR EIB Debora Revoltella Christoph Weiss Marcin Wolski EIB EIB EIB December 8, 2025 Abstract This paper provides new evidence on how the adoption of artificial intelligence (AI) affects productivity and employment in Europe. Using matched EIBIS-ORBIS data on more than 12,000 non-financial firms in the European Union (EU) and United States (US), we instrument the adoption of AI by EU firms by assigning the adop- tion rates of US peers to isolate exogenous technological exposure. Our results show that AI adoption increases the level of labor productivity by 4%. Productiv- ity gains are due to capital deepening, as we find no adverse effects on firm-level employment. This suggests that AI increases worker output rather than replac- ing labor in the short run, though longer-term effects remain uncertain. However, productivity benefits of AI adoption are unevenly distributed and concentrate in medium and large firms. Moreover, AI-adopting firms are more innovative and their workers earn higher wages. Our analysis also highlights the critical role of comple- mentary investments in software and data or workforce training to fully unlock the productivity gains of AI adoption. JEL Codes: D22, J24, L25, O33, O47 Keywords: Artificial intelligence, firm productivity, Europe, digital transformation. We thank Jon Frost, Matteo Gatti and seminar participants at the European Investment Bank for helpful comments and suggestions. The views expressed in this paper are those of the authors and do not reflect those of the Bank for International Settlements or the European Investment Bank.
7	1 Introduction Artificial intelligence (AI) is poised to transform the global economy by simultaneously affecting aggregate demand and productivity on the supply side. Yet robust evidence on its firm-level effects outside the United States (US) remains scarce. While optimistic projections predict that AI could drive productivity booms (Baily, Brynjolfsson, and Korinek, 2023), others caution that adoption barriers and productivity constraints from unbalanced growth may significantly limit the gains from AI adoption (Acemoglu, 2024; Filippucci, Gal, and Schief, 2024). Europe’s position is both central and paradoxical: it boasts world-leading researchers and strong industrial capacity but suffers from a persis- tent and growing gap in the development of new AI technologies compared to the US and China (EIB, 2025). Understanding how AI affects European firms is therefore essential for policymakers seeking to harness its benefits while managing the associated risks. This paper provides the first causal evidence on how AI adoption affects productivity and employment in European firms, leveraging a unique survey on EU and US non- financial firms matched to administrative financial data. We address two core questions. First, we explore the firm characteristics that predict AI adoption in Europe, which is key to characterize the selection process into using AI tools. We then investigate how AI adoption influences firm productivity and employment. The first question thus provides the empirical groundwork for a credible identification of the second. The analysis reveals four key insights. First, AI adoption increases labor productivity by 4% on average after addressing endogeneity. Second, the gains stem from capital deepening rather than job displacement. Third, benefits are concentrated in medium and large firms – posing risks of widening inequality in the benefits from AI adoption. Fourth, the productivity gains are larger if firms carry out complementary investments in software and data or employee training. Our findings cast some doubts on claims of dramatic AI-driven job destruction, while underscoring pressing concerns about its uneven economic impact. We leverage data of the European Investment Bank Investment Survey (EIBIS), an annual survey covering approximately 12,000 non-financial firms across the EU and 800 US non-financial firms, matched with ORBIS data on corporate financial statements. Our final sample used in the analysis is a pooled cross-section that runs from 2019 to 2024. The survey’s stratified design ensures representative coverage across firm size, sector and 1
8	country (Brutscher et al., 2020), while its detailed questions identify AI adoption based on whether firms use big data analytics and AI technologies in their operations. Crucially, EIBIS also captures granular firm characteristics on investment behavior, investment finance and innovation activity, enabling a rigorous analysis of both the drivers and consequences of AI adoption. Three stylized facts emerge from the data, informing our approach for causal iden- tification of the effects of AI. First, adoption is highly stratified: 45% of large firms (more than 250 employees) deploy AI, compared to only 24% of small firms (10 to 49 employees).1 This echoes technology diffusion theories (Comin and Hobijn, 2010). Sec- ond, emerging EU economies (e.g., Romania, 22%) exhibit adoption rates substantially below more financially developed EU countries (e.g., Sweden, 52%) and the US (34%). Third, AI-adopting firms are more innovative in general, invest more intensively, and face tighter skilled-labor constraints – suggesting endogenous adoption patterns that require robust identification. To establish causality, we develop a novel instrumental variable (IV) strategy inspired by the work on financial dependence and growth following Rajan and Zingales (1998). We match each EU firm with comparable US firms (same sector and size) that exhibit similar levels of innovation intensity, investment, managerial practices and external finance. We then assign the US firms’ AI adoption rate as an exogenous proxy for EU firms’ adoption rate. This approach leverages cross-continental variation in AI exposure, while holding firm characteristics constant, effectively isolating the effects of AI adoption. Propensity- score balancing tests confirm the validity of the identification strategy, with matched US and EU firms exhibiting near-identical distributions across key firm characteristics. Our results show a robust causal link between AI adoption and productivity. Con- trolling for a wide set of country, sector and year fixed effects and observable financial variables, we find that firms adopting AI have 4% higher labor productivity. This effect is economically significant and aligns with mid-range macroeconomic projections recently reported in the literature (Acemoglu, 2024; Bergeaud, 2024), rather than with optimistic “productivity boom” scenarios (Baily, Brynjolfsson, and Korinek, 2023). Crucially, the gains reflect capital deepening: AI augments worker output without reducing employ- ment, consistent with micro-level evidence of AI-aided efficiency gains in cognitive tasks (Noy and Zhang, 2023; Gambacorta et al., 2024). Moreover, we find that workers in 1 The shares are calculated using value added (VA) weights. 2
9	AI-adopting firms have so far benefited from higher wages. The productivity benefits are unevenly distributed, with medium and larger firms experiencing significantly higher productivity gains than their smaller peers. The stratification highlights concerns that AI could exacerbate income gaps (Cazzaniga et al., 2024; Cornelli, Frost, and Mishra, 2023), particularly given Europe’s SME-dominated industrial structure. The findings carry significant implications for European policy makers seeking to harness the productivity-enhancing potential of AI while ensuring inclusive and balanced growth. Given the disruptive nature of AI and the higher returns associated with AI adoption for larger companies, a balanced policy approach should focus on creating an environment suitable for small and innovative firms’ growth, accompanied by targeted incentives to fully exploit the benefits of AI adoption. In this context, developed financial markets play a crucial role. Our results also highlight the importance of complementary investments in intan- gible assets – particularly software and data or workforce training – in realizing AI’s productivity dividends. To maximize the returns from AI deployment, public policy must go beyond hardware subsidies and incentivize firm-level investment in integration, workflow redesign, and continuous learning. Workforce re-skilling programs should prior- itize “fusion skills”, such as prompt engineering, data stewardship and human-in-the-loop decision-making that enhance human-AI complementarity. The structure of the paper is as follows. Section 2 reviews the related literature on AI adoption, productivity and labor market effects. Section 3 describes the data and presents stylized facts that motivate the empirical strategy. Section 4 outlines our identification approach and empirical methodology. Section 5 reports the main results on productivity and employment, along with several robustness checks. Section 6 concludes by discussing policy implications and avenues for future research. 2 Related literature Our study engages with three interconnected strands of research on AI and its economic implications. First, the literature on firm-level technology adoption provides critical frameworks for understanding AI diffusion patterns. Seminal studies by Comin and Hobijn (2010) and Comin and Mestieri (2018) establish that technological innovations 3
10	diffuse unevenly across countries, with adoption lags determined by human capital and predecessor technologies – a pattern we observe in Europe’s AI uptake. Recent studies by Babina et al. (2024) and Bonney et al. (2024) document robust AI adoption among US firms, particularly large innovators in knowledge-intensive sectors. Yet evidence for non-US firms remains sparse, with Rückert, Weiss, and Revoltella (2020) being a notable exception that documents Europe’s adoption gap with the US. Our paper extends this work by demonstrating how capital intensity, the financial dependence theory of Rajan and Zingales (1998) and firm size mediate AI adoption in Europe – findings that align with the analysis of technology-job complementarities of Acemoglu et al. (2022) . This seems particularly relevant in the context of the growing importance of AI adoption for EU labor markets. Using occupation-level data for 16 European countries over 2011-2019, Albanesi et al. (2024) document that employment shares increase in occupations more exposed to AI, with the strongest gains in occupations employing younger and higher-skilled workers. Second, research on the productivity effects of AI highlights stark contrasts between macroeconomic projections and microeconomic evidence. Most macro studies suggest rel- atively modest aggregate effects: for example, Acemoglu (2024) estimates only 0.07% US annual growth in total factor productivity over a decade, while the general equilibrium model of Filippucci, Gal, and Schief (2024) shows how Baumol’s disease effects could limit gains to 0.2–0.6 percentage points annually. In contrast, micro-level field experi- ments report large efficiency improvements in the short run: Noy and Zhang (2023) and Brynjolfsson, Li, and Raymond (2025) find 14–40% productivity gains in writing and customer service tasks, with Gambacorta et al. (2024) showing similar effects for coding. Our results reconcile this divergence: we identify a causal 4% labor productivity gain at the firm level, echoing the mid-range estimates of Bergeaud (2024), while confirming that micro efficiency improvements are not fully reflected in aggregate growth due to adoption frictions. Third, the literature on distributional effects underscores the unequal impact of AI across workers, firms, and regions. Cazzaniga et al. (2024) predicts widening income in- equality due to AI-skilled labor complementarity, while Hennig and Khan (2025) warns of cross-country divergence as AI benefits concentrate in advanced economies. The concerns resonate with evidence that technology diffusion gaps explain at least 25% of global in- come differences (Comin and Mestieri, 2018). Our heterogeneity analysis validates these 4
11	predictions, showing larger productivity gains in medium and large firms compared to micro and small enterprises. Our contribution bridges these strands by: (i) providing the first causal evidence on the effects of AI adoption on firm productivity and employment effects in Europe, address- ing gaps noted by Aldasoro et al. 2024, (ii) developing a novel IV strategy that extends Rajan and Zingales (1998)’s financial dependence approach to technology diffusion, (iii) presenting evidence of capital-deepening, rather than labor-replacing, effects that can contribute to refining Aghion and Bunel (2024)’s growth theories, and (iv) discussing which investment strategies enable the productivity dividends of AI. 3 Data We use data from the European Investment Bank Investment Survey (EIBIS), an annual survey initiated in 2016 encompassing approximately 12,000 non-financial corporations across the EU. This survey employs a stratified random sampling method, targeting firms in all 27 EU countries.2 Since 2019, EIBIS also covers a sample of 800 firms in the US, allowing for a comparison of investment dynamics between the EU and the US. The respondents to the interviews are senior managers or financial directors with responsibility for investment decisions and how investments are financed – for example, the owner, chief financial officer or chief executive officer. Brutscher et al. (2020) provide evidence that EIBIS is representative of the business population in the EU, as described by Eurostat’s Structural Business Statistics. Since 2019, firms participating in EIBIS are asked about the use of big data analytics and AI. In the EIBIS questionnaire, big data analytics and AI are defined as technolo- gies that intelligently automate tasks and provide insights that augment human decision making, like machine learning, robotic process automation, natural language processing (NLP), algorithms, neural networks. Firms are asked the following question: “To what extent, if at all, are big data analytics and artificial intelligence used within your busi- 2 The EIBIS sample is stratified disproportionally by country, sector and firm size class, and propor- tionally by region within each country. The firms have at least five employees, with both full-time and part-time employees being counted as one employee, and employees working less than 12 hours per week being excluded. An enterprise is defined as a company trading as its own legal entity. As such, branches are excluded from the target population. However, the definition is broader than in a typical enterprise survey because some company subsidiaries are their own legal entities. 5
12	ness? A. Not used in the business. B. Used in parts of the business. C. Entire business is organized around this technology.” We define AI adopters as firms that use big data analytics and AI in parts of the business or if the entire business is organized around AI. EIBIS provides a comprehensive dataset that captures a wide spectrum of firm-level characteristics and investment-related information across surveyed firms. It includes quantitative data – such as annual turnover, number of employees, value of fixed assets, total wages, investment in different categories of tangible and intangible assets – as well as demographic data, for instance on firm age and sector, offering a deep understanding of the structural profile of businesses. Beyond these metrics, EIBIS also gathers qual- itative insights through survey responses, shedding light on firms’ internal perceptions and strategic outlooks. This includes assessments of managerial competencies, financing strategies, perceived barriers to invest and investment focus. To enrich and validate the self-reported survey data, EIBIS is complemented by ad- ministrative financial information sourced from Moody’s ORBIS database. This integra- tion allows for a more robust analysis by incorporating detailed financial statements on balance sheets and profit and loss accounts. The combination of subjective perceptions and objective financial data enables a better understanding of investment dynamics and firm performance in different sectors, countries and market segments. 3.1 Descriptive statistics and stylized facts AI innovation in Europe continues to lag behind the United States. In particular, the EU trails the US in the number of AI-related patents, with the gap widening further after the pandemic (EIB, 2025). While the absolute number of AI patents is higher in the US than in the EU (Figure 1a), the higher share of AI patents relative to total patents also underscores the stronger specialization in AI innovation in the US (Figure 1b). 6
13	Figure 1: AI patents (a) AI patents in domestic portfolio (b) Share AI patents in total domestic port- (count). folio (%). Note: AI patents are a subdomain of the digital patent classification based on EPO (2017). Source: PATSTAT. The picture is somewhat more nuanced when looking at AI deployment and adoption. On average, AI adoption levels are similar in the EU and the US. Nevertheless, as shown in Figure 2, the share of firms using big data and AI technology is structurally lower in EU countries with low financial development.3 There was a relatively strong catch-up in less financially developed countries in 2022 (from 17% in 2021 to 27% of firms in 2022), but a gap has opened up again in 2023-24 as adoption has remained flat. EU countries with high financial development have a similar share of firms adopting AI as in the US for the period 2019-24. 3 The classification is based on the index of financial development proposed by Betz et al. (2025). The index uses financial market data from 2015 to 2023 and consists of two composite indicators: (i) financial market size and integration, and (ii) financial market depth. The group of EU countries with high financial development includes: Austria, Belgium, Denmark, Finland, France, Germany, Ireland, Italy, Luxembourg, Netherlands, Poland, Spain, and Sweden. The group of EU countries with low financial development includes: Bulgaria, Croatia, Cyprus, Czechia, Estonia, Greece, Hungary, Malta, Latvia, Lithuania, Portugal, Romania, Slovakia, and Slovenia. 7
14	Figure 2: Use of big Data Analytics and AI (% of firms) Note: Average share of firms reporting to use AI by country groups, controlling for firms’ sector. The error bars represent 95% confidence intervals. Source: EIBIS 2019-2024. Beyond EIBIS data, a benchmark indicator of AI preparedness points to the US being more conducive to AI adoption and better suited to make the most of it. Figure 3 shows the IMF’s AI preparedness index, which measures how ready countries are to adopt AI based on factors like digital infrastructure, human capital, innovation, and regulation (Cazzaniga et al., 2024). Across the key categories of the index, the US scores lie in the upper range of scores for the European countries in our sample. Figure 3: AI Preparedness Index Note: The AI Preparedness Index for the EU ranges from the minimum to the maximum across EU countries. Source: Cazzaniga et al. (2024). 8
15	Beyond cross-country differences, AI adoption also varies significantly across sectors. This variation is driven by several structural and operational factors that influence both the applicability and the perceived benefits of AI technologies. Sectors such as Informa- tion and Communications Technology (ICT) and manufacturing tend to be early adopters due to their high data intensity, well-established digital infrastructure, and clear use cases for automation and predictive analytics. These industries often possess the technical ca- pabilities and investment capacity required to integrate AI into core business processes, unlike a sector like accommodation and food services, where firms are significantly smaller on average. Some sectors may thus face greater barriers to adoption, including lower lev- els of digital maturity, limited availability of structured data, and fewer standardized AI applications. Additionally, the regulatory environment, workforce skill levels and cul- tural openness to technological change play a critical role in shaping sectoral adoption patterns. For example, stringent data privacy regulations can slow down implementation. The cross-sector differences are illustrated by the strong correlation between investment in innovation and AI adoption. Figure 4 shows AI uptake across EU firms, broken down by 12 sectors and corresponding innovation levels. While high-tech sectors – such as ICT and pharmaceuticals – are unsurprisingly among the highest adopters, some traditional sectors, like food manufacturing, also show above-average levels of AI uptake. Figure 4: AI and investment in innovation by industrial sector (% of firms, 2024) Note: Firms are weighted by value added. Source: EIBIS 2024. On a more granular level, there are several firm-level factors which correlate with AI adoption. To keep the list transparent and manageable, we group EIBIS and ORBIS variables into stylised groups in terms of financial and non-financial metrics, which help 9
16	to distinguish between AI adopters and non-adopters. Table 1 reports that firms adopting AI are larger on average, invest more per employee, are more innovative and are more likely use strategic business monitoring systems. They also tend to have less problems with access to finance, since they are more likely to rely on alternative sources of financing, such as equity or bonds, they are more likely to be publicly listed, and they are less likely to be finance constrained. Table 1: Descriptive statistics AI Non-AI All firms Mean Mean Obs St. Dev. p10 p90 Productivity Labor productivity (log) 12.1 11.9 59,208 1.10 10.6 13.2 Age Young (less than 10 years) 0.06 0.08 60,868 0.26 Size SMEs 0.29 0.52 60,868 0.50 Size (log of total assets) 17.6 16.4 47,414 2.10 13.8 19.3 Investment Investment/employee (log) 8.80 8.30 53,058 1.70 6.20 10.5 Fixed assets growth 0.13 0.13 46,033 0.75 -0.18 0.38 Access to financeNewly issued bonds/equity 0.04 0.01 60,868 0.14 Publicly listed 0.04 0.01 60,567 0.14 Financial leverage (debt/total assets) 0.23 0.20 37,886 0.24 0 0.51 Financial constraints 0.05 0.06 58,013 0.23 Innovation Innovator 0.49 0.37 59,448 0.49 Innovation new to the country 0.06 0.03 59,448 0.20 Innovation new to the global market 0.11 0.06 59,448 0.26 Management Business monitoring system 0.71 0.46 59,453 0.50 Profitability (EBITA/total assets) 0.13 0.11 41,863 0.15 0 0.26 Profitability (Net income/total assets) 0.07 0.06 41,678 0.14 -0.04 0.20 Note: Labor productivity is calculated as turnover per employee. Innovators are companies which developed or introduced new products, processes or services that can be new to the company, the country or the global market. Business monitoring systems describe firms using a formal strategic business monitoring system that compares the firm’s current performance against a series of strategic key performance indicators (KPIs). Source: EIBIS 2019-2024. The heterogeneity in AI development and adoption between the US and EU is at the core of our empirical approach. By leveraging detailed survey and financial data, our analysis aims to capture the exogenous component of AI adoption for EU firms, using data on similar firms in the US. This approach helps mitigate endogeneity bias in the subsequent regression analysis, which may arise if AI adoption is correlated with unob- served firm-specific factors, such as managerial quality, innovation culture or strategic priorities. By using AI adoption patterns in the US – where firms operate under different institutional and policy environments – as a benchmark, we isolate variation in AI uptake 10
17	that is plausibly exogenous to the EU context. This cross-country comparison allows us to construct an instrumental variable or control function that reflects external drivers of AI adoption, thereby improving the causal interpretation of our estimates. Last but not least, we explore the link between AI adoption and productivity in a stylized distributional exercise. Figure 5 compares the distribution of firm size, average wage per employee and labor productivity for firms that adopted AI and those that did not. The distributions for firms using AI are shifted to the right. Firms that have adopted big data and AI technologies are, on average, larger (in line with descriptive evidence discussed above), pay higher wages and have slightly higher productivity. This provides preliminary evidence that firms that use AI tend to perform better than other companies. Figure 5: Distributions of firm characteristics for firms using AI (dashed) and firms not using AI (solid line) (a) Firm size. (b) Average wage. (c) labor productivity. Note: The graphs show the distributions net of country and sector fixed effects. Firm size is measured using the logarithm of total assets. EU firms only. Source: EIBIS 2019-2024. 4 Empirical methodology We estimate the causal impact of AI adoption on firm-level productivity with a two-stage empirical strategy using EIBIS data. Our primary specification is a linear probability model, which allows for a straightforward interpretation of the marginal effects of AI adoption on the likelihood of observing productivity improvements. The identification challenge is that AI adoption is potentially endogenous, i.e. firms that are more produc- tive or better managed may be more likely to adopt AI technologies, leading to biased 11
