claim_id	occurrence_id	section	paragraph	citation_key	work	claim_type	affirmation_pt	source_excerpt	fact_checked	pages	row_id
CLM-REV-001	CIT-REV-001	1 Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	Estima-se que 32,1% dos trabalhadores dos Estados Unidos já integravam ferramentas de IA às suas rotinas até o final de 2024.	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (*Large Language Models*, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet ([Bick; Blandin; Deming, 2025](https://doi.org/10.20955/wp.2024.027)). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.			ROW-REV-0001
CLM-REV-002	CIT-REV-001	1 Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	O ritmo de adoção de ferramentas de IA nos Estados Unidos era comparável ao do computador pessoal na década de 1980.	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (*Large Language Models*, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet ([Bick; Blandin; Deming, 2025](https://doi.org/10.20955/wp.2024.027)). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.			ROW-REV-0002
CLM-REV-003	CIT-REV-001	1 Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	A difusão das ferramentas de IA nos Estados Unidos era superior, em termos populacionais, à da internet.	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (*Large Language Models*, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet ([Bick; Blandin; Deming, 2025](https://doi.org/10.20955/wp.2024.027)). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.			ROW-REV-0003
CLM-REV-004	CIT-REV-001	1 Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	AUTHOR_INFERENCE	A combinação do alcance ocupacional com a velocidade de difusão justifica tratar essa geração de inteligência artificial como um problema econômico, e não apenas tecnológico.	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (*Large Language Models*, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet ([Bick; Blandin; Deming, 2025](https://doi.org/10.20955/wp.2024.027)). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.			ROW-REV-0004
CLM-REV-005	CIT-REV-002	1 Introdução	2	eloundou_gpts_2023	GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models	DIRECT	O GPT Exposure serviu de base para a consolidação de uma metodologia de construção de índices de exposição baseados em tarefas.	A literatura internacional avançou em duas frentes. De um lado, se consolidou uma metodologia de construção de índices de exposição baseados em tarefas, a partir do *GPT Exposure* de [Eloundou ](https://doi.org/10.48550/arXiv.2303.10130)[*et al.*](https://doi.org/10.48550/arXiv.2303.10130)[ (2023)](https://doi.org/10.48550/arXiv.2303.10130), que passou a usar os próprios LLMs como avaliadores das tarefas. De outro, começou a se acumular evidência empírica sobre emprego e salários. Estudos recentes nos Estados Unidos e no Reino Unido documentam quedas relativas no emprego de trabalhadores em início de carreira em firmas ou ocupações mais expostas à IA, padrão concentrado na entrada do mercado de trabalho, mas que não permite uma atribuição causal conclusiva à tecnologia. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) encontram um diferencial mais visível no emprego do que na remuneração-base; [Hosseini Maasoum e Lichtinger (2026)](https://doi.org/10.2139/ssrn.5425555) documentam menor contratação de trabalhadores juniores em firmas adotantes; e [Klein Teeselink (2025)](https://doi.org/10.2139/ssrn.5516798) encontra reduções no emprego, nas vagas e nos salários anunciados. Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda. Permanece uma lacuna importante quando o objeto é um país de renda média, com elevada informalidade, desigualdade racial e regional acentuada e uma estrutura ocupacional distinta da dos países desenvolvidos. É nessa lacuna que o Brasil se encaixa, e é ela que esta dissertação procura ajudar a preencher.			ROW-REV-0005
CLM-REV-006	CIT-REV-002	1 Introdução	2	eloundou_gpts_2023	GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models	DIRECT	O GPT Exposure passou a usar os próprios LLMs como avaliadores das tarefas.	A literatura internacional avançou em duas frentes. De um lado, se consolidou uma metodologia de construção de índices de exposição baseados em tarefas, a partir do *GPT Exposure* de [Eloundou ](https://doi.org/10.48550/arXiv.2303.10130)[*et al.*](https://doi.org/10.48550/arXiv.2303.10130)[ (2023)](https://doi.org/10.48550/arXiv.2303.10130), que passou a usar os próprios LLMs como avaliadores das tarefas. De outro, começou a se acumular evidência empírica sobre emprego e salários. Estudos recentes nos Estados Unidos e no Reino Unido documentam quedas relativas no emprego de trabalhadores em início de carreira em firmas ou ocupações mais expostas à IA, padrão concentrado na entrada do mercado de trabalho, mas que não permite uma atribuição causal conclusiva à tecnologia. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) encontram um diferencial mais visível no emprego do que na remuneração-base; [Hosseini Maasoum e Lichtinger (2026)](https://doi.org/10.2139/ssrn.5425555) documentam menor contratação de trabalhadores juniores em firmas adotantes; e [Klein Teeselink (2025)](https://doi.org/10.2139/ssrn.5516798) encontra reduções no emprego, nas vagas e nos salários anunciados. Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda. Permanece uma lacuna importante quando o objeto é um país de renda média, com elevada informalidade, desigualdade racial e regional acentuada e uma estrutura ocupacional distinta da dos países desenvolvidos. É nessa lacuna que o Brasil se encaixa, e é ela que esta dissertação procura ajudar a preencher.			ROW-REV-0006
CLM-REV-007	CIT-REV-003	1 Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido documentam quedas relativas no emprego de trabalhadores em início de carreira em firmas ou ocupações mais expostas à IA.	A literatura internacional avançou em duas frentes. De um lado, se consolidou uma metodologia de construção de índices de exposição baseados em tarefas, a partir do *GPT Exposure* de [Eloundou ](https://doi.org/10.48550/arXiv.2303.10130)[*et al.*](https://doi.org/10.48550/arXiv.2303.10130)[ (2023)](https://doi.org/10.48550/arXiv.2303.10130), que passou a usar os próprios LLMs como avaliadores das tarefas. De outro, começou a se acumular evidência empírica sobre emprego e salários. Estudos recentes nos Estados Unidos e no Reino Unido documentam quedas relativas no emprego de trabalhadores em início de carreira em firmas ou ocupações mais expostas à IA, padrão concentrado na entrada do mercado de trabalho, mas que não permite uma atribuição causal conclusiva à tecnologia. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) encontram um diferencial mais visível no emprego do que na remuneração-base; [Hosseini Maasoum e Lichtinger (2026)](https://doi.org/10.2139/ssrn.5425555) documentam menor contratação de trabalhadores juniores em firmas adotantes; e [Klein Teeselink (2025)](https://doi.org/10.2139/ssrn.5516798) encontra reduções no emprego, nas vagas e nos salários anunciados. Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda. Permanece uma lacuna importante quando o objeto é um país de renda média, com elevada informalidade, desigualdade racial e regional acentuada e uma estrutura ocupacional distinta da dos países desenvolvidos. É nessa lacuna que o Brasil se encaixa, e é ela que esta dissertação procura ajudar a preencher.			ROW-REV-0007
CLM-REV-008	CIT-REV-003	1 Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	O padrão documentado por esses estudos concentra-se na entrada do mercado de trabalho.	A literatura internacional avançou em duas frentes. De um lado, se consolidou uma metodologia de construção de índices de exposição baseados em tarefas, a partir do *GPT Exposure* de [Eloundou ](https://doi.org/10.48550/arXiv.2303.10130)[*et al.*](https://doi.org/10.48550/arXiv.2303.10130)[ (2023)](https://doi.org/10.48550/arXiv.2303.10130), que passou a usar os próprios LLMs como avaliadores das tarefas. De outro, começou a se acumular evidência empírica sobre emprego e salários. Estudos recentes nos Estados Unidos e no Reino Unido documentam quedas relativas no emprego de trabalhadores em início de carreira em firmas ou ocupações mais expostas à IA, padrão concentrado na entrada do mercado de trabalho, mas que não permite uma atribuição causal conclusiva à tecnologia. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) encontram um diferencial mais visível no emprego do que na remuneração-base; [Hosseini Maasoum e Lichtinger (2026)](https://doi.org/10.2139/ssrn.5425555) documentam menor contratação de trabalhadores juniores em firmas adotantes; e [Klein Teeselink (2025)](https://doi.org/10.2139/ssrn.5516798) encontra reduções no emprego, nas vagas e nos salários anunciados. Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda. Permanece uma lacuna importante quando o objeto é um país de renda média, com elevada informalidade, desigualdade racial e regional acentuada e uma estrutura ocupacional distinta da dos países desenvolvidos. É nessa lacuna que o Brasil se encaixa, e é ela que esta dissertação procura ajudar a preencher.			ROW-REV-0008
CLM-REV-009	CIT-REV-003	1 Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	AUTHOR_INFERENCE	O padrão documentado por esses estudos não permite uma atribuição causal conclusiva à tecnologia.	A literatura internacional avançou em duas frentes. De um lado, se consolidou uma metodologia de construção de índices de exposição baseados em tarefas, a partir do *GPT Exposure* de [Eloundou ](https://doi.org/10.48550/arXiv.2303.10130)[*et al.*](https://doi.org/10.48550/arXiv.2303.10130)[ (2023)](https://doi.org/10.48550/arXiv.2303.10130), que passou a usar os próprios LLMs como avaliadores das tarefas. De outro, começou a se acumular evidência empírica sobre emprego e salários. Estudos recentes nos Estados Unidos e no Reino Unido documentam quedas relativas no emprego de trabalhadores em início de carreira em firmas ou ocupações mais expostas à IA, padrão concentrado na entrada do mercado de trabalho, mas que não permite uma atribuição causal conclusiva à tecnologia. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) encontram um diferencial mais visível no emprego do que na remuneração-base; [Hosseini Maasoum e Lichtinger (2026)](https://doi.org/10.2139/ssrn.5425555) documentam menor contratação de trabalhadores juniores em firmas adotantes; e [Klein Teeselink (2025)](https://doi.org/10.2139/ssrn.5516798) encontra reduções no emprego, nas vagas e nos salários anunciados. Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda. Permanece uma lacuna importante quando o objeto é um país de renda média, com elevada informalidade, desigualdade racial e regional acentuada e uma estrutura ocupacional distinta da dos países desenvolvidos. É nessa lacuna que o Brasil se encaixa, e é ela que esta dissertação procura ajudar a preencher.			ROW-REV-0009
CLM-REV-010	CIT-REV-003	1 Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Brynjolfsson, Chandar e Chen (2025) encontram um diferencial mais visível no emprego do que na remuneração-base.	A literatura internacional avançou em duas frentes. De um lado, se consolidou uma metodologia de construção de índices de exposição baseados em tarefas, a partir do *GPT Exposure* de [Eloundou ](https://doi.org/10.48550/arXiv.2303.10130)[*et al.*](https://doi.org/10.48550/arXiv.2303.10130)[ (2023)](https://doi.org/10.48550/arXiv.2303.10130), que passou a usar os próprios LLMs como avaliadores das tarefas. De outro, começou a se acumular evidência empírica sobre emprego e salários. Estudos recentes nos Estados Unidos e no Reino Unido documentam quedas relativas no emprego de trabalhadores em início de carreira em firmas ou ocupações mais expostas à IA, padrão concentrado na entrada do mercado de trabalho, mas que não permite uma atribuição causal conclusiva à tecnologia. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) encontram um diferencial mais visível no emprego do que na remuneração-base; [Hosseini Maasoum e Lichtinger (2026)](https://doi.org/10.2139/ssrn.5425555) documentam menor contratação de trabalhadores juniores em firmas adotantes; e [Klein Teeselink (2025)](https://doi.org/10.2139/ssrn.5516798) encontra reduções no emprego, nas vagas e nos salários anunciados. Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda. Permanece uma lacuna importante quando o objeto é um país de renda média, com elevada informalidade, desigualdade racial e regional acentuada e uma estrutura ocupacional distinta da dos países desenvolvidos. É nessa lacuna que o Brasil se encaixa, e é ela que esta dissertação procura ajudar a preencher.			ROW-REV-0010
