change_id	priority	change_type	proposal_mode	section	paragraph	claim_ids	occurrence_ids	citation_keys	current_text_pt	proposed_text_pt	notion_anchor	primary_verdicts	issue_codes	issue_severity	pages	evidence_paths	official_urls	target_system	dependency	covered_row_ids	notion_old_str_sha256	expected_match_count	approval_status
CHG-002	P0	CITATION_MEMBERSHIP	PARAGRAPH_EDIT	1 Introdução	2	CLM-CUR-007	CIT-CUR-003;CIT-CUR-004;CIT-CUR-005	brynjolfsson_canaries_2025;hosseini_maasoum_generative_2025;klein_teeselink_generative_2025	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com posições de entrada e trabalhadores em início de carreira em ocupações expostas enfrentando menor oferta de trabalho, com o ajuste concentrado no emprego e não na remuneração (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.	Manter a afirmação com as fontes que a sustentam integralmente (hosseini_maasoum_generative_2025, klein_teeselink_generative_2025) e remover ou reposicionar nesta chamada as fontes com suporte incompleto (brynjolfsson_canaries_2025).	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos	OVERSTATED;SUPPORTED	CAUSAL_OVERCLAIM	MAJOR	3-7;3, 5, 41-42, 44;4, 27-28	evidence_pages/ROW-CUR-0007.pdf;evidence_pages/ROW-CUR-0008.pdf;evidence_pages/ROW-CUR-0009.pdf	https://digitaleconomy.stanford.edu/publications/canaries-in-the-coal-mine/;https://doi.org/10.2139/ssrn.5425555;https://doi.org/10.2139/ssrn.5516798	NOTION	AUTHOR_APPROVAL	ROW-CUR-0007	3c40c3d9fca09261932a3478f0bc23c9f24186cb393325c4725ba2a7994967cf	1	PROPOSED
CHG-014	P0	CLAIM_TEXT	PARAGRAPH_EDIT	2.3 Índices de exposição à IA na literatura	5	CLM-CUR-041	CIT-CUR-012	appel_anthropic_2026	O Anthropic Economic Index (Appel et al., 2026) parte de dados reais de uso dos modelos da Anthropic. Substitui a lógica binária por dimensões econômicas como a autonomia (o grau em que o usuário delega a decisão à máquina) e a taxa de sucesso da tarefa.	O Anthropic Economic Index amplia suas métricas de uso: além dos padrões de colaboração (automação/augmentação), acrescenta cinco primitivas econômicas, entre elas autonomia da IA e sucesso da tarefa.	O Anthropic Economic Index (Appel et al., 2026) parte de dados reais de uso dos modelos da Anthropic.	CONTRADICTED	AUTHOR_INFERENCE_UNSUPPORTED	MAJOR	pp. 19–21	evidence_pages/ROW-CUR-0051.pdf	https://www.anthropic.com/research/anthropic-economic-index-january-2026-report	NOTION	AUTHOR_APPROVAL	ROW-CUR-0051	2d76dd3b225e902d233cce73d3248be96fd7a82a5a3637e15ee9b46249ee2e32	1	PROPOSED
CHG-044	P0	CLAIM_TEXT	PARAGRAPH_EDIT	5.2.3 Resultados por faixa etária	9	CLM-CUR-154	CIT-CUR-052	brynjolfsson_canaries_2025	Nas admissões, as estimativas brasileiras não reproduzem o padrão concentrado entre 22 e 25 anos reportado por Brynjolfsson, Chandar e Chen (2025), de queda de cerca de 12 pontos log para essa coorte. A comparação pede cuidado. Os autores analisam estoque de emprego em firmas e comparam quintis de exposição, enquanto esta dissertação observa fluxos mensais por ocupação e usa uma classificação binária mais ampla. Aqui, o contraste ajustado aparece na faixa de 41 a 49 anos e tem sinal positivo.	Substituir “queda de cerca de 12 pontos log” por “queda de 15 pontos log no emprego relativo dos trabalhadores de 22 a 25 anos nos quintis mais expostos à IA, em comparação com o quintil menos exposto”.	Nas admissões, as estimativas brasileiras não reproduzem o padrão concentrado entre 22 e 25 anos reportado por Brynjolfsson,	PARTIALLY_SUPPORTED	WRONG_MAGNITUDE	MAJOR	4	evidence_pages/ROW-CUR-0192.pdf	https://digitaleconomy.stanford.edu/publications/canaries-in-the-coal-mine/	NOTION	AUTHOR_APPROVAL	ROW-CUR-0192	56cbe41f016861c59e6cfe5d7ad197a56445e579a79aa9aaa73e3c5154dbe5c0	1	PROPOSED
CHG-001	P1	CLAIM_TEXT	DEFERRED_DEEP_AUDIT	1 Introdução	2	CLM-CUR-005;CLM-CUR-006	CIT-CUR-002	eloundou_gpts_2023	A literatura internacional avançou em duas frentes. De um lado, se consolidou uma metodologia de construção de índices de exposição baseados em tarefas, a partir do GPT Exposure de Eloundou et al. (2023), que passou a usar os próprios LLMs como avaliadores das tarefas.	Não aplicar a recomendação substantiva da auditoria primária. O trecho mudou após o snapshot auditado; refazer a auditoria desta ocorrência sobre o texto atual antes de aprovar qualquer reescrita.	A literatura internacional avançou em duas frentes. De um lado, se consolidou uma metodologia de construção de índices	OVERSTATED;SUPPORTED	DEFERRED_DEEP_AUDIT	MAJOR	N/A — o PDF não exibe numeração impressa; evidência nas páginas físicas 5–8;N/A	evidence_pages/ROW-CUR-0005.pdf;evidence_pages/ROW-CUR-0006.pdf	https://doi.org/10.48550/arXiv.2303.10130	NOTION	CURRENT_TEXT_REAUDIT; AUTHOR_APPROVAL	ROW-CUR-0005;ROW-CUR-0006	8cd3bc9cb7718054c34d5897e75be5c0bfe2194b60db1ddfc1f6f69a7b858e9a	1	PROPOSED
CHG-005	P1	CITATION_MEMBERSHIP	PARAGRAPH_EDIT	1 Introdução	2	CLM-CUR-010	CIT-CUR-003;CIT-CUR-004;CIT-CUR-005	brynjolfsson_canaries_2025;hosseini_maasoum_generative_2025;klein_teeselink_generative_2025	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com posições de entrada e trabalhadores em início de carreira em ocupações expostas enfrentando menor oferta de trabalho, com o ajuste concentrado no emprego e não na remuneração (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025). Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda.	Manter a afirmação com as fontes que a sustentam integralmente (brynjolfsson_canaries_2025) e remover ou reposicionar nesta chamada as fontes com suporte incompleto (hosseini_maasoum_generative_2025, klein_teeselink_generative_2025).	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos	PARTIALLY_SUPPORTED;SUPPORTED	PARTIAL_SCOPE	MAJOR	13;41-42, A.13-A.14;20-21	evidence_pages/ROW-CUR-0016.pdf;evidence_pages/ROW-CUR-0017.pdf;evidence_pages/ROW-CUR-0018.pdf	https://digitaleconomy.stanford.edu/publications/canaries-in-the-coal-mine/;https://doi.org/10.2139/ssrn.5425555;https://doi.org/10.2139/ssrn.5516798	NOTION	AUTHOR_APPROVAL	ROW-CUR-0017;ROW-CUR-0018	3c40c3d9fca09261932a3478f0bc23c9f24186cb393325c4725ba2a7994967cf	1	PROPOSED
CHG-006	P1	NEW_SOURCE_REQUIRED	PARAGRAPH_EDIT	1 Introdução	5	CLM-CUR-012	CIT-CUR-006	gmyrek_generative_2025	A peça que conecta as duas etapas é o índice de exposição. Adotei o ILO Global Index (Gmyrek et al., 2025) por dois motivos: ele é o único entre os principais índices estruturado em torno da ISCO-08, classificação internacional com maior compatibilidade com as taxonomias ocupacionais brasileiras, e combina validação humana de tarefas com classificação assistida por LLMs. Aplicá-lo ao Brasil, no entanto, exigiu uma etapa de tradução: construí um crosswalk entre as classificações ocupacionais brasileiras (a COD, usada na PNAD, e a CBO, usada no CAGED) e a ISCO-08.	O ILO Global Index é estruturado em torno da ISCO-08, que oferece um denominador comum para projeções entre países. Para manter a alegação de exclusividade, é necessária uma fonte comparativa abrangente que defina e examine os principais índices. Se a formulação original for mantida, adicionar uma nova fonte verificada; nenhuma fonte foi inventada.	A peça que conecta as duas etapas é o índice de exposição. Adotei o ILO Global Index (Gmyrek	OVERSTATED	GENERALIZATION_OVERCLAIM	MAJOR	10-11, 46	evidence_pages/ROW-CUR-0022.pdf	https://doi.org/10.54394/HETP0387	NOTION	AUTHOR_APPROVAL	ROW-CUR-0022	31262988da96760936581e32a2f5297599861cd1b9bd9f08b0a8357beb2f5266	1	PROPOSED
CHG-007	P1	NEW_SOURCE_REQUIRED	PARAGRAPH_EDIT	1 Introdução	5	CLM-CUR-013	CIT-CUR-006	gmyrek_generative_2025	A peça que conecta as duas etapas é o índice de exposição. Adotei o ILO Global Index (Gmyrek et al., 2025) por dois motivos: ele é o único entre os principais índices estruturado em torno da ISCO-08, classificação internacional com maior compatibilidade com as taxonomias ocupacionais brasileiras, e combina validação humana de tarefas com classificação assistida por LLMs. Aplicá-lo ao Brasil, no entanto, exigiu uma etapa de tradução: construí um crosswalk entre as classificações ocupacionais brasileiras (a COD, usada na PNAD, e a CBO, usada no CAGED) e a ISCO-08.	Com esta fonte, escrever: ‘A ISCO-08 oferece um denominador comum para comparações internacionais e dispõe de mapeamentos de sistemas ocupacionais nacionais.’ Para manter a afirmação de maior compatibilidade com COD e CBO, acrescentar uma fonte brasileira que documente esses mapeamentos e compare alternativas internacionais. Se a formulação original for mantida, adicionar uma nova fonte verificada; nenhuma fonte foi inventada.	A peça que conecta as duas etapas é o índice de exposição. Adotei o ILO Global Index (Gmyrek	OVERSTATED	GENERALIZATION_OVERCLAIM	MAJOR	12, 39, 46	evidence_pages/ROW-CUR-0023.pdf	https://doi.org/10.54394/HETP0387	NOTION	AUTHOR_APPROVAL	ROW-CUR-0023	31262988da96760936581e32a2f5297599861cd1b9bd9f08b0a8357beb2f5266	1	PROPOSED
CHG-008	P1	NEW_SOURCE_REQUIRED	PARAGRAPH_EDIT	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	1	CLM-CUR-018	CIT-CUR-008	autor_skill_2003	A mensuração da exposição se apoia em uma escolha conceitual bem estabelecida na economia do trabalho: a abordagem baseada em tarefas. Seu ponto de partida é o trabalho seminal de Autor, Levy e Murnane (2003), segundo o qual um emprego é, na prática, um conjunto de tarefas. Essa abordagem muda nossa perspectiva de maneira objetiva: novas tecnologias não impactam ocupações inteiras de forma homogênea, elas impactam as tarefas que constituem essas ocupações.	Se esta fonte permanecer sozinha, substituir por: ‘Autor, Levy e Murnane (2003) formalizam e testam um modelo baseado em tarefas para analisar como a informatização altera a composição das tarefas dos empregos.’ Para manter ‘seminal’, acrescentar uma fonte posterior de revisão ou história da literatura que documente sua influência. Se a formulação original for mantida, adicionar uma nova fonte verificada; nenhuma fonte foi inventada.	A mensuração da exposição se apoia em uma escolha conceitual bem estabelecida na economia do trabalho: a abordagem	PARTIALLY_SUPPORTED	MISSING_EVIDENCE	MAJOR	1280-1282	evidence_pages/ROW-CUR-0028.pdf	https://doi.org/10.1162/003355303322552801	NOTION	AUTHOR_APPROVAL	ROW-CUR-0028	02c6a6ed8c0653f924cc1d298d13e697cf882b96cde8fe15286c1fe1f15d8f06	1	PROPOSED
CHG-009	P1	CLAIM_TEXT	PARAGRAPH_EDIT	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	2	CLM-CUR-021	CIT-CUR-009	agarwal_combining_2023	Um experimento com radiologistas ilustra bem esse ponto. Diagnósticos feitos por IA foram iguais ou tão precisos quanto os de dois terços dos médicos americanos (Agarwal et al., 2023). Mas o diagnóstico é apenas uma das muitas tarefas da profissão, que também envolve coordenação de equipe, comunicação com outros médicos e interação com pacientes. Os avanços da tecnologia não tornam o radiologista substituível justamente porque automatizam uma parte do trabalho, não o trabalho todo. Enxergar ocupações como conjuntos de tarefas permite uma leitura mais realista do que pode acontecer com cada profissão e com o mercado de trabalho.	No experimento de Agarwal et al. (2023), as previsões da IA foram mais precisas do que as de aproximadamente dois terços dos 180 radiologistas participantes.	Um experimento com radiologistas ilustra bem esse ponto. Diagnósticos feitos por IA foram iguais ou tão precisos quanto	OVERSTATED	WRONG_POPULATION	MAJOR	14, 20	evidence_pages/ROW-CUR-0031.pdf	https://doi.org/10.3386/w31422	NOTION	AUTHOR_APPROVAL	ROW-CUR-0031	fec880e1ca967bc39bf1b5adad5957e6f152b1e70e0cfe3d6fade04fc401f9ba	1	PROPOSED
CHG-010	P1	NEW_SOURCE_REQUIRED	PARAGRAPH_EDIT	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	2	CLM-CUR-022	CIT-CUR-009	agarwal_combining_2023	Um experimento com radiologistas ilustra bem esse ponto. Diagnósticos feitos por IA foram iguais ou tão precisos quanto os de dois terços dos médicos americanos (Agarwal et al., 2023). Mas o diagnóstico é apenas uma das muitas tarefas da profissão, que também envolve coordenação de equipe, comunicação com outros médicos e interação com pacientes. Os avanços da tecnologia não tornam o radiologista substituível justamente porque automatizam uma parte do trabalho, não o trabalho todo. Enxergar ocupações como conjuntos de tarefas permite uma leitura mais realista do que pode acontecer com cada profissão e com o mercado de trabalho.	A classificação de imagens é uma tarefa central do radiologista, mas o fluxo diagnóstico também incorpora histórico clínico, solicitações do médico assistente, relato de achados e recomendações de acompanhamento; por isso, a IA tende a automatizar apenas parte desse fluxo. Para manter coordenação de equipe ou interação com pacientes, acrescente uma fonte específica sobre o escopo ocupacional da radiologia. Se a formulação original for mantida, adicionar uma nova fonte verificada; nenhuma fonte foi inventada.	Um experimento com radiologistas ilustra bem esse ponto. Diagnósticos feitos por IA foram iguais ou tão precisos quanto	PARTIALLY_SUPPORTED	PARTIAL_SCOPE	MAJOR	2, 4, 10–11	evidence_pages/ROW-CUR-0032.pdf	https://doi.org/10.3386/w31422	NOTION	AUTHOR_APPROVAL	ROW-CUR-0032	fec880e1ca967bc39bf1b5adad5957e6f152b1e70e0cfe3d6fade04fc401f9ba	1	PROPOSED
