claim_id	occurrence_id	section	paragraph	citation_key	work	claim_type	affirmation_pt	source_excerpt	fact_checked	pages	row_id	queue_status	claim_row_sha256	bibliography_entry_sha256	source_type	source_path	source_sha256	worker_prompt_path	worker_prompt_sha256
CLM-001	CIT-001	Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	Estima-se que 32,1% dos trabalhadores dos Estados Unidos já integravam ferramentas de IA às suas rotinas até o final de 2024.	Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024).			ROW-0001	COMPLETED	aa95395038dca59b91ad089e669004f1dea84ed2136dd97ed58097bb45875c3f	e4b3ac66247bd3c646bd6f884c9aa6b796709f954d06e4af7d52bfe5fc599579	PDF	references/pdfs/bick_rapid_2024.pdf	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	source_build/prompts/ROW-0001.md	9f5167414614992cf823f71142bb3ef8dedb3cd11d44d412776e6c885fe22333
CLM-002	CIT-001	Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	O ritmo de adoção de ferramentas de IA nos Estados Unidos era comparável ao do computador pessoal na década de 1980.	Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024).			ROW-0002	COMPLETED	8264f3b03ac66f1b66d0cfcbee4e4706e60a5e029c63726c8104f199250d46f0	e4b3ac66247bd3c646bd6f884c9aa6b796709f954d06e4af7d52bfe5fc599579	PDF	references/pdfs/bick_rapid_2024.pdf	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	source_build/prompts/ROW-0002.md	a38cfe6d0c69d599aa361c63448baecb0b93b24504f65066caea49a4ba7b2113
CLM-003	CIT-001	Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	A difusão das ferramentas de IA nos Estados Unidos era superior, em termos populacionais, à da internet.	Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024).			ROW-0003	COMPLETED	e72470454ca078a5b2fa5e2e8e7d10a30f16dbcb0c40b9cce3c48a3777502517	e4b3ac66247bd3c646bd6f884c9aa6b796709f954d06e4af7d52bfe5fc599579	PDF	references/pdfs/bick_rapid_2024.pdf	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	source_build/prompts/ROW-0003.md	b5c0d249709674787b7617fba4c4ed4c71f781f627ef2c52d9a21869fab15e3d
CLM-004	CIT-001	Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	AUTHOR_INFERENCE	A combinação do alcance ocupacional com a velocidade de difusão justifica tratar essa geração de inteligência artificial como um problema econômico, e não apenas tecnológico.	Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico.			ROW-0004	COMPLETED	296450c07356b1021c3c9527571eda33239bbea4d0b79ee57545bbc0772b883b	e4b3ac66247bd3c646bd6f884c9aa6b796709f954d06e4af7d52bfe5fc599579	PDF	references/pdfs/bick_rapid_2024.pdf	852097fc72812af45bd3693d7a661c70457eb674ab8f493cadb268450e556b5b	source_build/prompts/ROW-0004.md	2965f31d21b7aef012583c1e9f10ee0b3827de5e8e4fbe98177a8c2305d2c98a
CLM-005	CIT-002	Introdução	2	eloundou_gpts_2023	GPTs are GPTs: An early look at the labor market impact potential of large language models	DIRECT	A metodologia de construção de índices de exposição baseados em tarefas consolidou-se a partir do GPT Exposure.	De um lado, consolidou-se uma metodologia de construção de índices de exposição baseados em tarefas, a partir do GPT Exposure de Eloundou et al. (2023), que passou a usar os próprios LLMs como avaliadores das tarefas.			ROW-0005	COMPLETED	337ed5751330ecdeceb8da082be7d89b273682d200ca835330001f9e3f86eee7	a1e187d13942e96d8b68c5b93f45d4634c86cb5505903a6e8770b202445ce924	PDF	references/pdfs/eloundou_gpts_2023.pdf	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	source_build/prompts/ROW-0005.md	1863828fe5381229f4f1aa163646a6367566532299704096ec361206f5d44ae1
CLM-006	CIT-002	Introdução	2	eloundou_gpts_2023	GPTs are GPTs: An early look at the labor market impact potential of large language models	DIRECT	O GPT Exposure passou a usar os próprios modelos de linguagem como avaliadores das tarefas.	De um lado, consolidou-se uma metodologia de construção de índices de exposição baseados em tarefas, a partir do GPT Exposure de Eloundou et al. (2023), que passou a usar os próprios LLMs como avaliadores das tarefas.			ROW-0006	COMPLETED	26a13dc7813c403c9a9c28a2e0942976af7a55c7890be5ac536401117f6100ad	a1e187d13942e96d8b68c5b93f45d4634c86cb5505903a6e8770b202445ce924	PDF	references/pdfs/eloundou_gpts_2023.pdf	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	source_build/prompts/ROW-0006.md	555df5582da218f84118a4d6849a9bfc8caed887bfe4d8c87418882747025432
CLM-007	CIT-003	Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).			ROW-0007	COMPLETED	91121de416b84f56c57332645658e31db95eae42b082180143cf8d73850acb2f	6bfdd348a983da27398ec207223b461fe1ea440d9aa9363b26b69cc9052168f0	PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	75012cdca09a734e64e6dd75e635551286549343dd7549252284dea9dc454a7d	source_build/prompts/ROW-0007.md	0bd47335eed2bda5b29639b0d7b1e4ce555f992337059017128328aa760e5af4
CLM-007	CIT-004	Introdução	2	hosseini_maasoum_generative_2025	Generative AI as seniority-biased technological change: Evidence from u.s. Résumé and job posting data	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).			ROW-0008	COMPLETED	862df097489e7b3c57c89eea94a496011efda8ffb03484e663aba2192e25f186	e447a02cb42e49209aca1b6ef7aa4f25012161bca13403561e1721d6a10d1dc1	PDF	references/pdfs/hosseini_maasoum_generative_2025.pdf	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7	source_build/prompts/ROW-0008.md	57382fce167d1dc9eb01d060e4142618dfaa3456f386c117952743145406dc3a
CLM-007	CIT-005	Introdução	2	klein_teeselink_generative_2025	Generative AI and labor market outcomes: Evidence from the united kingdom	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).			ROW-0009	COMPLETED	b2b9b3d1b55fcb752f53b229b8e483b8db9ef281648dfde6c4ddf8e46ad12b56	2fcfbdc92fa5b403a79c7ad8335985dd1e4e98118cb3fffff353dad1dae486eb	PDF	references/pdfs/klein_teeselink_generative_2025.pdf	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09	source_build/prompts/ROW-0009.md	6a97cb1f419928b72f34b6f629a1555208cb515a00ac6afc6d0b501842e55966
CLM-008	CIT-003	Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Recém-formados em ocupações expostas à IA estão recebendo salários menores.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).			ROW-0010	COMPLETED	23c32d65bbb849f629b172b8754544407cf222e873c401e87808739e2c8a0755	6bfdd348a983da27398ec207223b461fe1ea440d9aa9363b26b69cc9052168f0	PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	75012cdca09a734e64e6dd75e635551286549343dd7549252284dea9dc454a7d	source_build/prompts/ROW-0010.md	6cadf8bc9e7cbf503039228069c89cca4e0001f8ef569936c3ff2b35dd087119
