pdf_page_index	text
1	Generative AI as Seniority-Biased Technological Change: Evidence from U.S. Résumé and Job Posting Data* Seyed M. Hosseini† Guy Lichtinger‡ First Version: August 31, 2025 This Version: June 6, 2026 Abstract This paper studies whether generative AI (GenAI) constitutes seniority-biased tech- nological change, disproportionately reducing demand for junior workers. We de- velop a conceptual framework in which GenAI adoption reduces junior labor de- mand through task displacement and labor-saving productivity gains. We test the framework’s mechanisms and implications using U.S. résumé data covering 65 mil- lion workers at more than 280,000 firms, allowing us to track firm-level employment by seniority. GenAI adoption is identified through text analysis that detects ‘GenAI integrator’ job postings, signaling active GenAI implementation by firms. Follow- ing adoption, junior employment declines in adopting firms relative to non-adopters, while senior employment trends remain largely unchanged. This decline is concen- trated in occupations most exposed to GenAI and is driven primarily by slower hiring rather than increased separations. Moreover, in adopting firms, GenAI-exposed tasks become increasingly less likely to appear in junior task bundles. * We are extremely grateful to Lawrence Katz, Jesse Shapiro, and Ludwig Straub for their continued guidance and feedback on this project. We are also deeply thankful to David Autor, Erik Brynjolfsson, Gabriel Chodorow-Reich, Oren Danieli, Eric Gold, Jonathon Hazell, Ori Heffetz, David Lagakos, Amanda Pallais, Santiago Medina, and Austin Zheng for their invaluable discussions and advice throughout various stages of this work. We additionally thank Netanel Ben-Porath, Shotaro Beppu, Martin Bernstein, Olena Bogdan, Bharat Chandar, Ruyu Chen, Fiona Chen, Rupsha Debnath, Cameron Deal, Aristotle Epanomeritakis, Sarah Gao, Jay Garg, Shao-Yu Jheng, Xianruo Kang, Iris Li, Saketh Prazad, Ewan Rawcliffe, Emanuel Schertz, Peyman Shahidi, Ragini Srinivasan, James Stratton, and Katherine Wang as well as participants in the Macro Lunch at Harvard, Digital Economy Lab seminar series at Stanford University, the Economics of AI Reading Group at MIT, the Midwest Economics Association Annual Meetings 2026, the Macro Seminar at the Boston Fed, the MAD Conference at Columbia Business School, the Departmental Seminar at the Hebrew University of Jerusalem, the Applied Economics Seminar at Tel Aviv University, and the AI in the Workplace Conference at the University of Chicago for their valuable feedback and discussion. All errors are our own. Latest Version: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555. † Harvard University. Email: shosseinimaasoum@fas.harvard.edu ‡ Harvard University. Email: guylichtinger@g.harvard.edu 1
2	1 Introduction The impact of generative artificial intelligence (GenAI) on juniors, especially in high-skill, white-collar jobs, has attracted growing attention from both researchers and the media. In many such jobs, workers begin at the bottom of the career ladder performing intellectually mundane tasks—routine yet cognitively demanding activities such as debugging code or reviewing legal documents, which are likely to be especially exposed to recent advances in GenAI. As these workers gain experience, they often move up the career ladder to more senior roles that involve more complex problem-solving or managerial responsibil- ities (Becker, 1964; Garicano, 2000; Ide and Talamas, 2025). If GenAI disproportionately substitutes for entry-level tasks, the lower rungs of these career ladders may be eroding (Garicano and Rayo, 2025).1 Recent media reports reinforce these concerns (e.g., The New York Times, 2025b; The Wall Street Journal, 2025b). For instance, a July 2025 Wall Street Journal article highlighted a sharp drop in demand for junior workers linked to GenAI adoption, drawing on in- sights from major employers, recruiters, labor market analysts, and recent graduates (The Wall Street Journal, 2025a). One executive at the recruiting firm Hirewell noted that “mar- keting agency clients have all but stopped requesting entry-level staff—young grads once in high demand but whose work is now a ‘home run’ for AI.”2 The issue has also drawn attention from policymakers. At the September 2025 FOMC press conference, Chair Pow- ell was asked about the labor market impact of AI and noted: “You are seeing some effects ... A particular focus on young people coming out of college. Companies may be able to use AI more than they had in the past ... Hard to say how big it is.” (Federal Reserve Board, 2025). Some observers have also linked the diffusion of GenAI to the recent rise in unemploy- ment among college graduates (The New York Times, 2025a; The Atlantic, 2025; Forbes, 2025). Others, however, dispute this interpretation, pointing instead to alternative factors such as macroeconomic uncertainty, post-pandemic adjustment, and increased offshoring (e.g., Financial Times, 2025). 1 The implications can extend beyond short-term employment effects, as early-career earnings strongly influence lifetime income trajectories and, consequently, inequality and mobility (Deming, 2023; Guvenen et al., 2022). 2 Moreover, a survey from April 2024 of 804 U.S. hiring managers found that 78% anticipate laying off recent graduates due to AI, with the most vulnerable tasks including research, data entry, email writing, and other routine entry-level assignments (Intelligent, 2024). 2
3	This paper aims to measure the potential seniority-biased impact of GenAI on the labor market. Specifically, we ask whether GenAI adoption by firms disproportionately affects junior roles relative to more senior positions. This perspective extends the classic litera- ture on skill-biased technological change (e.g., Katz and Murphy, 1992; Autor et al., 2003; Acemoglu and Autor, 2011), which emphasizes shifts in labor demand across education or occupation groups, to a related but distinct dimension: seniority.3 We begin with a simple conceptual framework, building on Acemoglu and Autor (2011) and Acemoglu and Restrepo (2018), to analyze why GenAI adoption may dispro- portionately reduce demand for junior workers and to clarify the mechanisms underlying this pattern. The framework is motivated by two broad patterns in the emerging evi- dence: micro-level experimental studies consistently find that GenAI disproportionately increases the productivity of less-experienced and less-skilled workers in a given task (Brynjolfsson et al., 2025b; Noy and Zhang, 2023; Dell’Acqua et al., 2023; Cui et al., 2025; Cruces et al., 2026), whereas labor market evidence, including our results, links GenAI adoption and exposure to declines in junior employment (Brynjolfsson et al., 2025a; Azar et al., 2025; Klein Teeselink, 2025). The framework reconciles these patterns. In the framework, junior and senior workers sort into a continuum of tasks accord- ing to comparative advantage. GenAI both automates low-complexity tasks previously performed by juniors and augments productivity on remaining tasks, with larger gains for juniors. The change in junior labor demand decomposes into three forces: a displace- ment effect, capturing the loss of automated tasks; a productivity effect, whereby higher productivity reduces labor required per task; and a reallocation effect, whereby juniors ex- pand into some previously senior tasks as their relative productivity rises (in the spirit of Althoff and Reichardt, 2026; Hosseini and Lichtinger, 2026). When tasks are comple- mentary in production, both displacement and productivity effects reduce junior labor demand, while reallocation is the only offsetting force and depends on the extent of differ- ential augmentation. Whether junior employment declines more than senior employment therefore depends on which force dominates. We then move to our main empirical analysis, drawing on a dataset that combines LinkedIn résumés and job-posting data from Revelio Labs (Revelio Labs, 2025). The 3 See Ide and Talamas (2025) for a closely related theoretical framework, analyzing how GenAI may differentially affect workers within firms depending on their knowledge and role. 3
4	dataset covers more than 280,000 U.S. firms, more than 160 million employment spells from roughly 65 million unique workers between 2015 and 2025, and almost 200 mil- lion job postings. A key advantage of the data is the standardized seniority classification assigned to each position by Revelio’s algorithm, which enables us to track junior and senior employment within firms over time.4 We identify GenAI adoption by detecting job postings that explicitly recruit “GenAI integrator” roles. The method follows the approach of Hampole et al. (2025) and proceeds in two steps: first flagging postings with GenAI-related keywords, then using a large language model (LLM) to determine whether the posting reflects a genuine integrator position—one dedicated to implementing or operating GenAI technology in the firm’s workflow. A firm is classified as an adopter if it has posted at least one such vacancy, thereby capturing firms that have actively initiated the integration of GenAI into their operations.5 By this definition, 10,433 firms in our sample adopted GenAI by March 2025. Although adopters represent only about 3.7 percent of the 281,000 firms in our sample, they are substantially larger on average and account for roughly 16 percent of total employment in our dataset. Our analysis shows that adoption of GenAI was minimal and relatively stable prior to 2023, but accelerated sharply thereafter, with a surge of new firms posting integrator roles following the release of ChatGPT in late 2022. We further validate this firm-level adoption measure using worker-side data. Applying a list of GenAI keywords to position descriptions, we find a sharp differential increase in AI-related mentions at adopting firms after the launch of ChatGPT, supporting the interpretation that our adop- tion measure captures genuine changes in workplace technology use. The main empirical exercise of the paper is to test the framework’s central implica- tion: whether GenAI adoption disproportionately reduces junior employment relative 4 We validate the data in Appendices A.1 and A.2. First, we show that the composition of the LinkedIn sample relative to QCEW, OEWS, and QWI benchmarks remains stable over the GenAI diffusion period. Second, we test for differential reclassification: the concern that adopting firms changed how positions were classified as junior after 2022. Using both job-title keywords and workers’ actual labor-market experience, we find that the content of each seniority group evolves similarly at adopting and non-adopting firms, with no break around the ChatGPT launch. This indicates that the decline in junior employment is unlikely to be driven by changes in seniority classification. 5 Our concept of a GenAI integrator is closely related to the “robot integrator” in Acemoglu and Restrepo (2020), defined as “companies that install, program, and maintain robots.” They use the presence of robot integrators as a proxy for local robot adoption and show that commuting zones more exposed to robots have a higher number of integrators. 4
5	to senior employment. Before turning to this aggregate evidence, we first examine the framework’s underlying mechanisms. Using an LLM, we map a representative sample of our job postings to standardized O*NET tasks and show that AI-exposed tasks become disproportionately less likely to appear in junior task bundles at adopting firms after 2023, while no comparable pattern emerges for seniors. This provides evidence consistent with the displacement channel. By contrast, tasks that were ex ante concentrated among se- niors do not systematically migrate into junior task bundles, offering little support for the reallocation channel. We complement these tests with external task-level data from the Anthropic Economic Index (Appel et al., 2026), documenting that real-world GenAI use is more likely to take the form of automation for tasks characteristic of junior occupa- tions, whereas usage in senior occupations is more often augmentative, consistent with the framework’s assumption that junior tasks are more susceptible to displacement. We then turn to the firm-level employment response. We first compare junior and se- nior employment at adopting and non-adopting firms. From 2018 through 2022, junior employment evolves similarly in the two groups. Beginning in late 2022, however, ju- nior employment at adopters diverges sharply downward relative to non-adopters, while senior employment shows no comparable break. To directly assess the seniority-biased effect, we estimate a triple-difference specification that compares junior versus senior em- ployment within adopting firms relative to non-adopters. This design includes firm-by- time fixed effects, which absorb shocks or trajectories specific to a given firm in a given period, and industry-by-time-by-seniority fixed effects, which account for sector-level dynamics that differentially affect juniors and seniors. The coefficients are flat through 2022Q4 and then decline sharply from 2023Q1 onward, reaching roughly a 9 percent de- cline in junior employment relative to senior employment after six quarters. We next examine which types of jobs drive our results, focusing on heterogeneity by occupational exposure to GenAI using the widely used exposure measure of Eloundou et al. (2024). Specifically, we estimate a triple-difference specification that compares em- ployment changes in high- versus low-exposure occupations within adopting and non- adopting firms, separately for junior and senior workers. Through the end of 2022, the es- timated coefficients for juniors and seniors follow nearly identical trajectories. Beginning in 2023Q1, however, the two series diverge sharply. Junior employment in high-exposure occupations declines by roughly 7 percent relative to low-exposure occupations over the 5
6	subsequent two years, while the corresponding senior series continues to rise. This pat- tern is consistent with GenAI substituting for exposed junior tasks while leaving demand for senior workers in those occupations largely unaffected.6 We complement these analyses with a staggered event study that traces employment dynamics around firms’ GenAI adoption date, proxied by the first period in which the firm posts a GenAI integrator role. This design helps distinguish adoption effects from broader time-specific shocks by exploiting variation in the timing of adoption across firms. However, it is sensitive to measurement error in the adoption timing proxy—for instance, if firms begin using GenAI before, or only several periods after, posting for an integrator role. The estimates reveal no evidence of differential pre-trends: employment evolves similarly in adopting and non-adopting firms throughout the eight quarters pre- ceding adoption. However, roughly two quarters after adoption, junior employment in adopting firms begins to decline, reaching an 8 percent reduction after eight quarters. The absence of significant pre-trends provides additional reassurance that these post- adoption declines are unlikely to be driven by confounding shocks. We next address potential endogeneity concerns. Adopting and non-adopting firms differ systematically, which could bias our estimates; for example, if adopting firms are more responsive to other shocks affecting employment. One concern is that GenAI adopters may have been more sensitive to the 2022–2023 monetary tightening cycle. Several pieces of evidence suggest that this mechanism does not drive our findings: including industry- by-seniority-by-time fixed effects leaves the results essentially unchanged; the event- study estimates show no pre-adoption trends; and a formal test based on the high-frequency identified monetary-policy surprises of Jarocinski and Karadi (2020), following Ottonello and Winberry (2020), finds no evidence that adopter firms are more responsive to mon- etary shocks. This result is also consistent with the literature documenting that larger firms—which are more likely to adopt GenAI—tend to be less sensitive to monetary pol- icy (Chodorow-Reich, 2014; Gertler and Gilchrist, 1994). We also consider three interrelated concerns arising from the post-pandemic labor market: the hiring boom and subsequent correction in the technology sector, the expan- 6 Supplemental Appendix A.3 reports a complementary heterogeneity exercise by juniors’ educational background. Measuring school quality by the prestige of juniors’ alma mater, we find a U-shaped pattern: juniors from mid-tier universities experienced the largest relative declines, while those from the most and least prestigious institutions saw smaller reductions. 6
7	sion of remote work, and supply-side shocks to junior labor. We find little support for any of these explanations. The absence of pre-trends and the inclusion of industry-by- seniority-by-time fixed effects suggest that post-COVID sectoral dynamics do not drive our results. Re-estimating our triple-difference specification separately using employ- ment in high- and low-remote-suitability positions yields similar declines in junior em- ployment, suggesting that the results are not driven by shifts in remote work. Finally, job postings decline sharply at adopting firms after 2023, indicating that the reduction in junior employment reflects weaker labor demand rather than constraints on labor sup- ply. Taken together, this evidence suggests that, although these factors are important for broader labor-market trends, they are unlikely to explain the specific effect identified by our empirical design. We next examine the mechanisms underlying the decline in junior employment. Using our linked employer-employee data, we decompose workforce dynamics into inflows (hires), outflows (separations), and internal promotions. We find that the decline in junior employment at adopting firms is driven primarily by a substantial reduction in hiring. Separation rates for juniors in adopting firms also decreased relative to non-adopters, but the reduction in hiring was considerably larger, leading to a net decline in junior positions. Promotion rates rose by a small but statistically significant amount, though the magnitude is economically small relative to the hiring channel. Taken together, these results indicate that GenAI adoption is associated with reduced junior employment. However, the relatively early and pronounced declines—starting to emerge soon after the release of ChatGPT—may seem surprising, as automation im- pacts typically materialize more slowly. This suggests that the decline may not reflect immediate task automation but rather forward-looking adjustments by firms: the rapid diffusion of GenAI may have shifted firms’ expectations, leading them to scale back hir- ing for roles they predict will be automated in the near future, consistent with broader evidence on asymmetric employment adjustment (Ilut et al., 2018). We formalize this mechanism in a simple dynamic model in which expectations of future automation— combined with labor-adjustment costs—lead firms to reduce hiring today (Supplemental Appendix A.5). Several patterns are consistent with this interpretation: GenAI adoption accelerated sharply in early 2023; mentions of “AI” in firms’ earnings calls began rising in 2022Q4; prominent U.S. companies publicly adjusted hiring practices in early 2023, 7
8	attributing these changes to GenAI; and the junior employment decline is driven primar- ily by slower hiring rather than increased separations. While these patterns align with forward-looking adjustments, our data do not allow us to test this channel directly. One potential implication is that if firms overestimate the near-term automation capabilities of GenAI, the resulting decline in junior employment may ultimately prove temporary. We conclude by noting several limitations. Our adoption definition captures deliber- ate integration of GenAI into firm workflows, but does not account for “silent” adoption, such as employees using GenAI tools without firm integration. Therefore, our definition can be thought of as conservative: more likely to misclassify adopters as non-adopters (false negatives) than the reverse (false positives). Such misclassification, by assigning treated firms to the control group, is likely to attenuate estimates toward zero. However, silent adoption may have distinct implications for employment dynamics from the delib- erate, firm-level adoption we capture.7 An additional caveat is that, as with any empirical analysis based on cross-sectional variation, our results do not necessarily generalize to the aggregate economy without additional assumptions, due to the “missing intercept prob- lem” (see Acemoglu and Restrepo, 2020; Wolf, 2023; Moll and Hanney, 2025). The remainder of the paper is organized as follows. Section 2 reviews related liter- ature. Section 3 develops the conceptual framework. Section 4 describes the data and descriptive patterns. Section 5 presents our empirical strategy and main findings. Section 6 concludes. 2 Related Literature Our study relates to three main strands of the literature: (i) skill-biased technological change, (ii) firm-level adoption of AI technologies, and (iii) the emerging evidence on the labor-market impacts of GenAI. Skill-Biased Technological Change: The classic literature on skill-biased technologi- cal change (SBTC) shows that computers and automation have historically displaced 7 We partly address this concern in Supplemental Appendix A.4 by constructing an augmented adoption measure that combines integrator postings with worker position descriptions classified as integrator roles; the headline result is robust to this alternative definition. 8
9	workers in routine, codifiable tasks while complementing more complex ones. Autor et al. (2003) documented how computerization reduced demand for routine cognitive and manual work, leading to job polarization. Acemoglu and Autor (2011) emphasized that technology replaced mid-skill tasks while raising demand for high-skill labor, and Autor and Dorn (2013) showed that this was accompanied by growth in low-skill service jobs. More recently, Acemoglu and Restrepo (2022) estimated that automation explains a large share of rising U.S. wage inequality since 1980. While this literature focuses on differences across education or occupations, our paper extends the analysis to seniority within firms. We ask whether GenAI is a “seniority-biased” technological change, dispropor- tionately affecting juniors who typically perform simpler, more routinized tasks even in high-skill fields.8 Evidence from Firm-Level AI Adoption: A related strand of work—closest to our em- pirical approach—examines the implications of firm-level AI adoption. Babina et al. (2024) construct a measure of firm-level AI investment by combining online résumé data from Cognism with Burning Glass postings. Their results suggest that for U.S. firms in the 2010s, AI-adopting firms grow faster in sales, employment, and innovation, with work- forces becoming more educated and technologically oriented. Acemoglu et al. (2022) sim- ilarly use Burning Glass postings from 2010–2018 to identify AI-exposed establishments based on tasks and skills in vacancies. They find that exposure is associated with lower hiring at the establishment level, but aggregate occupation/industry effects are too small to detect over that period. More recently, Hampole et al. (2025) use similar data and NLP methods to develop measures of firm-level AI adoption and task-level exposure, which we closely follow in our analysis. They infer adoption from résumé text, using a large language model to extract in-house AI applications and map them to O*NET tasks via sentence embeddings, thereby identifying tasks exposed to AI. They find that between 2010 and 2023, higher exposure corresponds to lower labor demand, but that firms’ pro- ductivity gains offset job losses by expanding employment elsewhere, resulting in muted 8 While it is usually not the main focus, the SBTC literature has also examined variation by age/experi- ence. For instance, Acemoglu and Autor (2011) show that the surge in the college wage premium during the 1980s was concentrated among less experienced workers, whereas from the mid-1990s onward, the increase was driven primarily by more experienced cohorts. They argue this pattern is consistent with changes over time in relative supply by experience and education (and imperfect substitution across experience groups). 9
10	net changes in total headcount.9 These studies highlight that pre-2023 adoption of AI technology often entailed internal reallocation rather than aggregate job loss. In contrast, our paper provides U.S. evidence on the implications of firm-level adoption during the first years of widespread Generative AI diffusion (2023–2025). By focusing not only on overall labor demand but on within- firm seniority composition, we provide evidence that GenAI-adopting firms reduce junior employment while leaving senior employment unaffected. The Effects of Generative AI on the Labor Market: Finally, a rapidly growing empiri- cal literature examines the labor-market effects of GenAI. Experimental studies generally find that GenAI complements less-experienced workers by boosting their productivity. For example, Noy and Zhang (2023) show that access to ChatGPT substantially reduces completion time and improves output quality, with especially large benefits for lower- ability workers. Brynjolfsson et al. (2025b) similarly find that GenAI assistance in cus- tomer support raised productivity by roughly 14 percent on average, with the largest gains for novices. Dell’Acqua et al. (2023) report comparable improvements in consulting workflows. Moreover, Cui et al. (2025) find especially high productivity gains and adop- tion rates for less experienced software developers. Related field-experimental evidence in Dell’Acqua et al. (2025) shows that adding a GenAI copilot reshapes teamwork and the division of expertise, shifting routine cognitive work to the tool and reorienting human effort toward higher-level tasks. These findings are consistent with the view that GenAI can act as a “leveler,” narrowing productivity gaps between less and more experienced workers (Autor, 2024). A second wave of studies uses large-scale labor-market data to track employment dy- namics across occupations by GenAI exposure. Closest to our work, Brynjolfsson et al. (2025a) show that since the late-2022 debut of GenAI, employment of young entry-level workers (ages 22-25) in the most AI-exposed occupations fell by about 13 percent rel- ative to trend, while more experienced workers in those occupations saw stable or ris- 9 Two related studies examine the effects of Generative AI adoption. Humlum and Vestergaard (2025) pro- vide evidence from Denmark, linking large-scale worker surveys on GenAI adoption to matched employer- employee data. Despite rapid adoption, they do not find effects of adoption on earnings and hours, sug- gesting that labor-market impacts in Denmark remain minimal. Chen and Stratton (2025) analyze firm-level adoption of GitHub Copilot and Cursor using detailed engineering workflow data, documenting effects on productivity, task allocation, and organizational collaboration. 10
