pdf_page_index	text
1	WORKING PAPER No IDB-WP-1624 “Mirror, Mirror on the Wall: Which Jobs Will AI Replace After All?”: A New Index of Occupational Exposure Miguel Benítez-Rueda Eric Parrado Inter-American Development Bank Department of Research and Chief Economist August 2024
2	“Mirror, Mirror on the Wall: Which Jobs Will AI Replace After All?”: A New Index of Occupational Exposure Miguel Benítez-Rueda* Eric Parrado** * University of California, Davis ** Inter-American Development Bank Inter-American Development Bank Department of Research and Chief Economist August 2024
3	"Cataloging-in-Publication data provided by the Inter-American Development Bank Felipe Herrera Library Benitez-Rueda, Miguel. ""Mirror, mirror on the wall: which jobs will AI replace after all?"": a new index of occupational exposure / Miguel Benitez-Rueda, Eric Parrado. p. cm. — (IDB Working Paper Series ; 1624) Includes bibliographical references. 1. Artificial intelligence-Social aspects. 2. Artificial intelligence-Economic aspects. 3. Job creation. 4. Occupational mobility. 5. Labor supply. 6. Labor market. 7. Training. 8. Employees-Effect of technological innovations on. I. Duenas, Juliana. II. Parrado, Eric. III. Inter-American Development Bank. Department of Research and Chief Economist. IV. Title. V. Series. IDB-WP-1624 http://www.iadb.org Copyright © 2024 Inter-American Development Bank (""IDB""). This work is subject to a Creative Commons license CC BY 3.0 IGO (https://creativecommons.org/licenses/by/3.0/igo/legalcode). The terms and conditions indicated in the URL link must be met and the respective recognition must be granted to the IDB. Further to section 8 of the above license, any mediation relating to disputes arising under such license shall be conducted in accordance with the WIPO Mediation Rules. Any dispute related to the use of the works of the IDB that cannot be settled amicably shall be submitted to arbitration pursuant to the United Nations Commission on International Trade Law (UNCITRAL) rules. The use of the IDB's name for any purpose other than for attribution, and the use of IDB's logo shall be subject to a separate written license agreement between the IDB and the user and is not authorized as part of this license. Note that the URL link includes terms and conditions that are an integral part of this license. The opinions expressed in this work are those of the authors and do not necessarily reflect the views of the Inter-American Development Bank, its Board of Directors, or the countries they represent."
4	A BSTRACT1 This paper introduces the AI Generated Index of Occupational Exposure (GENOE), a novel measure quantifying the potential impact of artificial intelligence on occupations and their associated tasks. Our methodology employs synthetic AI surveys, leveraging large language models to conduct expert-like assessments. This approach allows for a more holistic evaluation of job replacement likelihood, reducing assumptions about the mechanisms through which AI innovations could replace job tasks and skills. Our findings reveal that the average occupa- tional exposure to AI is 0.28 within one year, increasing to 0.38 and 0.44 over the five- and 10-year horizons, respectively. We also show evidence that the index not only considers task automation, but also contextual factors such as social and ethical considerations and regulatory constraints that may affect the likelihood of replacement. After calibrating the index with labor market microdata from the United States and Mexico, we show that approximately 43 million and 16 million jobs, respectively, are highly exposed to AI within a one-year time horizon. The GENOE index provides valuable insights for policymakers, employers, and workers, offering a data-driven foundation for strategic workforce planning and adaptation in the face of rapid technological change. JEL classifications: C53, C81, J23, J24, O33 Keywords: Artificial intelligence (AI), Labor markets, Job displacement, Automation, Occupa- tional exposure, Tasks, Synthetic AI surveys, AI Generated Index (GENOE) 1 We thank Carlos Scartascini for his valuable comments, and Carlo Pizzinelli and his co-authors for sharing with us their complementarity index and C-AIOE estimates.
5	1 INTRODUCTION The concern that more autonomous instruments and machines would render work obsolete has recurred throughout history. From Aristotle speculating on the obsolescence of human labor if instruments could work on their own to Keynes’ famous prediction of technological unemploy- ment,2 this concern arises whenever new technologies emerge and has particularly grown with re- cent advances in artificial intelligence (AI). Growing progress in natural language processing and generative models like OpenAI’s GPT have significantly improved machines’ abilities to mimic many human cognitive capabilities, such as understanding and generating human-like text, mak- ing predictions, and performing image and video recognition (Dwivedi et al., 2023). Furthermore, the convergence of AI with robotics signals the emergence of highly autonomous systems capable of executing more complex physical tasks, potentially reshaping the landscape of both cognitive and manual labor. This paper aims to identify which occupations are most exposed to the replacement due to AI adoption, developing a new Generated Index of Occupational Exposure (GENOE). Our approach uses a novel methodological approach that we call “synthetic AI surveys.” This methodology leverages the extensive knowledge and advanced analytical capabilities of large language mod- els (LLMs) to conduct expert-like assessments, provide estimations, and offer insights on a wide range of areas. We specifically applied this approach to estimate the exposure of various tasks and occupations to recent and anticipated advancements in AI-related technologies. The GENOE index measures the likelihood of job replacement by AI at the occupational level, based on the tasks typically performed in each role. We defined three time horizons for replacement: one year, five years, and 10 years. This accounts for short-term scenarios based on current AI capabilities as well as medium-term and long-term scenarios anticipating future technological advancements. Our findings reveal that the average occupational exposure to AI is 0.28 within one year, in- creasing to 0.38 and 0.44 over the five- and 10-year horizons, respectively.3 An exposure score of 0.28 suggests that, on average, occupations have a 28% likelihood of potentially being impacted by AI within the next year. To contextualize these results, we calibrated the GENOE index with labor market data from the United States and Mexico. Results show that 43 million and 16 million jobs are exposed to AI in the United States and Mexico, respectively, over the one-year horizon, in- creasing to 60 million and 22 million over five years, and 70 million and 26 million over ten years. Extrapolating these findings to Latin America and the Caribbean, we estimate that approximately 84 million jobs are exposed to AI within one year, rising to 114 million in 5 years, and 132 million in 10 years. Assuming this average exposure is applicable to worldwide labor markets, it implies that approximately 980 million, 1.33 billion, and 1.54 billion jobs are exposed to AI over the one-, five-, and 10-year horizons, respectively. It is crucial to note that this does not directly translate 2 See Aristotle (350 B.C.E./1998), Politics and Keynes (1930). 3 GENOE estimates are available online for use by academics, policymakers, and businesses to inform future re- search and strategic decision-making GENOE. Data can be found in this online repository. 1
6	to job losses or complete occupational obsolescence. Rather, it indicates the proportion of occu- pations that may undergo substantial changes due to AI integration. The impact on employment will likely be more complex, involving occupational transformations, the emergence of new roles, and potential displacement in some sectors. Our analysis shows that in the United States and Mexico, women are more vulnerable to AI displacement, partly due to their significant presence in office and administrative jobs. In the United States, low-educated and low-wage workers are particularly exposed, while in Mexico, both low- and medium-skilled workers, especially those in middle-income formal jobs, are more vulnerable, whereas informal jobs remain less exposed. This suggests that AI adoption could ex- acerbate income inequalities by disproportionately impacting lower- and middle-income workers, echoing, to some extent, findings from previous technological advancements (Autor et al., 2006; Autor and Dorn, 2013; Autor, 2019; Acemoglu and Restrepo, 2022). To better understand the rationale behind the synthetic AI survey assessments, we conducted follow-up surveys, asking the model to explain the considerations behind each occupation’s esti- mation. These responses revealed that the model’s rationale focuses on several key factors: cur- rent and expected technological capabilities and limitations, the routine and non-routine nature of tasks, ethical considerations, the regulatory environment, and cost-benefit analyses. The mod- els evaluated AI’s current abilities and future potential, emphasized the likelihood of replacing routine tasks, and frequently mentioned ethical considerations and safety concerns, particularly for roles with direct human interaction. Regulatory factors were noted for industries with strict standards, and cost-benefit analyses influenced the economic feasibility of automation. We conducted several alternative exercises to examine how the GENOE index changes with different methodologies and prompts. These variations included omitting occupation names, excluding ethical considerations, assessing tasks individually, and concentrating on specific AI technologies. Most notably, when we instructed the model to disregard ethical, regulatory, and social considerations and focus purely on AI’s technical abilities, we observed a significant in- crease in the estimated exposure across occupations. This alternative GENOE index, which we term GENOE-Tech, provides an estimation of AI’s potential impact based solely on its growing technical capabilities. This paper makes several contributions to the literature on AI’s impact on employment. First, it overcomes some limitations of the existing indexes that measure occupational exposure to AI (Brynjolfsson et al., 2018; Webb, 2019; Felten et al., 2021; Tolan et al., 2021; Pizzinelli et al., 2023; Eloundou et al., 2024). Most existing indexes disaggregate occupations into collections of separate tasks, skills, or abilities. The first restriction of this approach is that it overlooks more complex in- terrelations between tasks or abilities. For instance, journalists and technical writers share several automatable routine tasks related to writing, editing, and generating content. Yet, routine roles in journalism often interact with non-routine roles like creating engaging narratives and storytelling, evaluating the significance of news, and engaging in investigative reporting, all of which require 2
7	human judgment, critical thinking, and persuasion. This interrelation will result in a lower AI exposure of journalism routine tasks than those of technical writers. Another limitation of this approach is that it does not account for the ethical and social con- text of different occupations performing similar types of tasks. Consider, for example, judges and credit analysts. Both make decisions based on evaluating extensive information, and both roles can significantly impact individuals’ lives. However, the nature and scope of their impact differ in important ways. Judges deliver verdicts that can dramatically affect individuals’ well-being, freedom, rights, and long-term societal standing. Their role demands a profound understanding of ethical principles and the ability to balance complex cases. The ethical weight and social impact of their decisions, in addition to requiring human judgment and empathy, make it unlikely that societies would accept these roles being legitimately replaced by AI. Credit analysts, while also impacting individual well-being through their decisions on loan approvals or credit ratings, typi- cally operate within a more narrowly defined financial context. Their decisions can certainly affect a person’s economic opportunities and quality of life, but generally do not carry the same weight of personal liberty or broader societal impact as judicial decisions. This comparison highlights the importance of considering not just the technical similarities in task types, but also the broader ethical, social, and institutional contexts in which different occupations operate when assessing the potential for AI integration or replacement. Our approach corrects the limitations of previous indexes by integrating a more holistic task- based analysis that captures the interrelations and complementarities between tasks within oc- cupations. Unlike previous methods that disaggregate occupations into isolated tasks, skills, or abilities, our AI-generated index considers the entire vector of tasks, reflecting a complete view of occupational contributions in production. To address the second limitation, we provide the model in the surveys with both the name of the occupation and its vector of tasks, allowing it to estimate the overall likelihood of AI replacement without imposing restrictive assumptions. This method allows the model to consider the ethical and social context of each occupation organically rather than through predefined criteria, offering a more holistic evaluation of exposure and replacement. Alternative prompt specifications and follow-up surveys suggest that our method effectively ac- counts for these considerations. This second concern is also raised by Pizzinelli et al. (2023) and is somewhat addressed by their complementarity-adjusted occupational exposure index (C-AIOE). This measure incorporates fac- tors such as work contexts and job zones to account for the likelihood that AI will complement rather than replace human labor.4 Our approach goes further by imposing fewer assumptions 4 Notwithstanding its advancements over previous indexes, the work contexts and job zones retrieved from the O*NET contain several limitations and assumptions. Firstly, it assumes that higher levels of education and training automatically correlate with better integration of AI, which may not account for the specific skill sets and practical con- texts required in each occupation. Additionally, the chosen contexts, such as face-to-face communication, responsibility for others’ health, and physical proximity, might not fully capture the ethical reasoning required in certain roles, nor the degree of public resistance to AI replacing certain decision-making roles. Furthermore, as the index is built upon the AIOE, it relies solely on the isolated similarity of abilities to AI developments and thus does not account for the exposure of tasks and their interrelations in the workplace. 3
8	regarding the specific skills and contexts required for AI integration. Additionally, the GENOE index considers the complex interplay of tasks within occupations and integrating the ethical and social contexts organically. Another contribution of our paper is the novel use of large language models to generate syn- thetic assessments that aim to replicate and extend expert assessments. Many studies rely on expert surveys or interviews to build analytical tools like indexes, including in the labor automa- tion area (Frey and Osborne, 2017; Felten et al., 2021; Tolan et al., 2021). Synthetic AI surveys offer several advantages. They can efficiently process and synthesize vast amounts of information from diverse sources very rapidly, enabling a larger volume of questions to be addressed in a shorter time frame. Additionally, synthetic AI surveys can be easily scaled to include extensive sample sizes or repeated iterations, allowing greater granularity of the collected data. While recent research has begun to explore the use of AI in workforce analysis, our methodol- ogy offers a novel approach in this evolving field. For example, Eloundou et al. (2024) combined human expert insights with AI-generated assessments to evaluate AI’s potential for enhancing task efficiency across occupations. Our work is a step forward in this approach by exclusively and systematically using ChatGPT to build the entire index through multiple iterations and varying model parameters. To validate the accuracy of this methodology, we replicated the well-known exposure index of Felten et al. (2021), replacing mTurk surveys with synthetic AI surveys. Our approach successfully replicated Felten’s AI Occupational Exposure Index (AIOE) with a correlation of 0.99, suggesting our methodology is robust and reliable for these types of tasks and providing evidence of another area where AI-driven automation is highly feasible. The remainder of this paper is organized as follows. After this introduction, Section 2 details our data sources and methodology used to build the GENOE index. Section 3 presents the GENOE index, including its key findings and implications. This section also includes several robustness checks to validate our results and replicates other human-like expert assessment using our novel synthetic survey methodology. Section 4 explores how the index can be used in practical appli- cations, analyzing occupational exposure in the U.S. and Mexico labor market. Finally, Section 5 discusses some considerations and limitations of our research, while Section 6 concludes with implications and directions for future research. 2 DATA AND METHODOLOGY We draw data from the O*NET database, which contains detailed descriptions and attributes for 1,016 occupations in the U.S. labor market under the O*NET-SOC 2019 classification. Occupa- tional characterizations are built and continuously updated from surveys and input from multiple sources, including job analysts, incumbent workers, and industry experts. O*NET attributes— such as abilities, skills, knowledge, and tasks—are divided into six major domains: Worker Char- acteristics, Worker Requirements, Experience Requirements, Occupational Requirements, Work- 4
9	force Characteristics, and Occupation-Specific Information. Using O*NET’s task module, which contains 18,156 specific tasks, we describe each occupation as a vector of tasks typically performed by that role. We focus on tasks rather than skills or abilities, following the extensive “task approach” literature (Autor et al., 2003, 2006; Acemoglu and Autor, 2011; Autor, 2013). This framework suggests that technological advancements displace or reinstate specific tasks within occupations rather than entire jobs or skills, as neither skills nor entire jobs directly translate into output (Autor, 2013). To measure occupational exposure to AI, we employed a novel methodology using large lan- guage models (LLMs), specifically the GPT-4o API from OpenAI. Our approach, which we term “synthetic AI surveys,” involves asking these advanced models to estimate the likelihood of AI and its developments replacing each occupation based on its characteristic tasks. Our synthetic AI survey methodology offers several key advantages in assessing occupational exposure to AI. First, the scalability of AI models allows for rapid processing of vast amounts of information, enabling a comprehensive analysis of all occupations in the database. This scalabil- ity ensures that no occupation is overlooked, providing a complete picture of potential AI impact across the labor market. Second, the use of a standardized AI model guarantees consistency in evaluation criteria across all occupations, eliminating potential human biases and ensuring com- parability of results. Third, large language models like GPT-4o are trained on recent data, po- tentially incorporating the latest understanding of AI capabilities and trends, which keeps our analysis current and forward-looking. Lastly, these advanced models offer a more holistic view of tasks, occupations and technological innovations, capable of capturing interactions between tasks and considering broader contextual factors in their assessments. Key features of our survey methodology include the following: Independent Sessions: Each survey was conducted in a new session for every occupation, pre- venting carryover effects from previous responses. This ensures that each occupation is evaluated independently, based solely on its own characteristics. Multiple Iterations: The process was repeated 100 times to test the accuracy and consistency of the estimates. This multiple-iteration approach allows us to account for potential variability in the AI model’s responses and provides a measure of confidence in our results. Varied Creativity: The temperature parameter, which controls the randomness and creativity in the model’s output, was randomly set between 0 and 2 for each iteration. This introduces controlled variability in the model’s responses, potentially capturing a wider range of perspectives on each occupation’s AI exposure. Time Horizons: We considered three exposure horizons: one year, five years, and 10 years. This allows us to capture both immediate and longer-term potential impacts of AI on occupations, recognizing that AI capabilities and their integration into various fields may evolve over time. The GENOE index for each horizon was calculated as the average value across the 100 sur- 5
10	veys. To ensure compatibility with standard occupational classifications, we translated these esti- mations to the SOC-18 classification using O*NET’s crosswalks for a total of 759 occupations. To enhance our understanding of the GENOE’s effectiveness and to validate our methodology, we conducted several additional exercises. Firstly, we measured task-level exposure by assessing the proportion of tasks at risk within each occupation, allowing us to identify roles where AI might significantly impact certain tasks without necessarily replacing the entire job. We also evaluated tasks in isolation and compared the results with our holistic occupation-level approach to under- stand the value of considering tasks within their broader occupational context. Additionally, we tested the effect of withholding the occupation name from the model to gauge the importance of occupational context in the AI’s assessment. To incorporate broader societal considerations, we explicitly prompted the model to consider ethical and social factors in its assessments. Furthermore, we conducted follow-up surveys, asking the AI to explain its reasoning behind the exposure estimates, effectively ”opening the black box” of its decision-making process. These additional analyses serve multiple purposes: they validate our methodology by providing al- ternative perspectives on AI exposure, offer insights into the factors influencing AI’s potential impact on various occupations, and help us understand the decision-making process of the AI model. This approach not only strengthens the robustness of our GENOE index but also poten- tially reveals any biases or limitations in the AI’s assessments, providing a more reliable picture of occupational exposure to AI. To further validate our approach, we applied our synthetic survey methodology to replicate the Felten et al. (2021) index of occupational exposure. In this exercise, we substituted the original human expert surveys with synthetic surveys conducted using ChatGPT4o. The primary objective was to assess the capability of our AI-driven methodology to reproduce results comparable to those obtained through traditional human expert assessments. This replication serves as a crucial test of our approach’s reliability and accuracy, offering insights into the potential of large language models to emulate human expertise in evaluating occupational exposure to AI. 3 RESULTS 3.1 Baseline Estimations Figure 1 presents a comprehensive view of AI exposure across 759 occupations, illustrating the average, median, 25th percentile, and 75th percentile for the three defined time horizons. The analysis reveals a progressive increase in average AI exposure: 0.28 within one year, rising to 0.38 over five years, and reaching 0.44 over a decade. This pattern suggests that as AI technologies advance and mature, their potential to reshape various professions grows significantly.5 5 Complete descriptive statistics can be found in Appendix Table A.1. 6
