occurrence_id	context_id	document_line	section	paragraph	citation_key	work	citation_text	citation_url	citation_start	citation_end	source_context
CIT-REV-001	CTX-REV-001	3	1 Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	Bick; Blandin; Deming, 2025	https://doi.org/10.20955/wp.2024.027	765	832	A última geração de modelos de inteligência artificial, que ganhou visibilidade pública a partir do lançamento do ChatGPT 3.5, em novembro de 2022, ampliou, de forma inédita, a capacidade de automatizar ou complementar tarefas cognitivas. Diferentemente de ondas anteriores de automação, em que o alcance se concentrava em atividades manuais e rotineiras, os modelos de linguagem de grande escala (*Large Language Models*, LLMs) atingem ocupações de escritório, finanças, educação, tecnologia e gestão. Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet ([Bick; Blandin; Deming, 2025](https://doi.org/10.20955/wp.2024.027)). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico. A maneira como essa tecnologia se espalha pelas ocupações, seus efeitos potenciais sobre emprego, salários e desigualdade passam a ser uma questão central para a economia do trabalho.
CIT-REV-002	CTX-REV-002	4	1 Introdução	2	eloundou_gpts_2023	GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models	Eloundou *et al.* (2023)	https://doi.org/10.48550/arXiv.2303.10130	183	342	A literatura internacional avançou em duas frentes. De um lado, se consolidou uma metodologia de construção de índices de exposição baseados em tarefas, a partir do *GPT Exposure* de [Eloundou ](https://doi.org/10.48550/arXiv.2303.10130)[*et al.*](https://doi.org/10.48550/arXiv.2303.10130)[ (2023)](https://doi.org/10.48550/arXiv.2303.10130), que passou a usar os próprios LLMs como avaliadores das tarefas. De outro, começou a se acumular evidência empírica sobre emprego e salários. Estudos recentes nos Estados Unidos e no Reino Unido documentam quedas relativas no emprego de trabalhadores em início de carreira em firmas ou ocupações mais expostas à IA, padrão concentrado na entrada do mercado de trabalho, mas que não permite uma atribuição causal conclusiva à tecnologia. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) encontram um diferencial mais visível no emprego do que na remuneração-base; [Hosseini Maasoum e Lichtinger (2026)](https://doi.org/10.2139/ssrn.5425555) documentam menor contratação de trabalhadores juniores em firmas adotantes; e [Klein Teeselink (2025)](https://doi.org/10.2139/ssrn.5516798) encontra reduções no emprego, nas vagas e nos salários anunciados. Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda. Permanece uma lacuna importante quando o objeto é um país de renda média, com elevada informalidade, desigualdade racial e regional acentuada e uma estrutura ocupacional distinta da dos países desenvolvidos. É nessa lacuna que o Brasil se encaixa, e é ela que esta dissertação procura ajudar a preencher.
CIT-REV-003	CTX-REV-002	4	1 Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	Brynjolfsson, Chandar e Chen (2025)	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	781	967	A literatura internacional avançou em duas frentes. De um lado, se consolidou uma metodologia de construção de índices de exposição baseados em tarefas, a partir do *GPT Exposure* de [Eloundou ](https://doi.org/10.48550/arXiv.2303.10130)[*et al.*](https://doi.org/10.48550/arXiv.2303.10130)[ (2023)](https://doi.org/10.48550/arXiv.2303.10130), que passou a usar os próprios LLMs como avaliadores das tarefas. De outro, começou a se acumular evidência empírica sobre emprego e salários. Estudos recentes nos Estados Unidos e no Reino Unido documentam quedas relativas no emprego de trabalhadores em início de carreira em firmas ou ocupações mais expostas à IA, padrão concentrado na entrada do mercado de trabalho, mas que não permite uma atribuição causal conclusiva à tecnologia. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) encontram um diferencial mais visível no emprego do que na remuneração-base; [Hosseini Maasoum e Lichtinger (2026)](https://doi.org/10.2139/ssrn.5425555) documentam menor contratação de trabalhadores juniores em firmas adotantes; e [Klein Teeselink (2025)](https://doi.org/10.2139/ssrn.5516798) encontra reduções no emprego, nas vagas e nos salários anunciados. Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda. Permanece uma lacuna importante quando o objeto é um país de renda média, com elevada informalidade, desigualdade racial e regional acentuada e uma estrutura ocupacional distinta da dos países desenvolvidos. É nessa lacuna que o Brasil se encaixa, e é ela que esta dissertação procura ajudar a preencher.
CIT-REV-004	CTX-REV-002	4	1 Introdução	2	hosseini_maasoum_generative_2025	Generative AI as seniority-biased technological change: Evidence from U.S. résumé and job posting data	Hosseini Maasoum e Lichtinger (2026)	https://doi.org/10.2139/ssrn.5425555	1045	1121	A literatura internacional avançou em duas frentes. De um lado, se consolidou uma metodologia de construção de índices de exposição baseados em tarefas, a partir do *GPT Exposure* de [Eloundou ](https://doi.org/10.48550/arXiv.2303.10130)[*et al.*](https://doi.org/10.48550/arXiv.2303.10130)[ (2023)](https://doi.org/10.48550/arXiv.2303.10130), que passou a usar os próprios LLMs como avaliadores das tarefas. De outro, começou a se acumular evidência empírica sobre emprego e salários. Estudos recentes nos Estados Unidos e no Reino Unido documentam quedas relativas no emprego de trabalhadores em início de carreira em firmas ou ocupações mais expostas à IA, padrão concentrado na entrada do mercado de trabalho, mas que não permite uma atribuição causal conclusiva à tecnologia. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) encontram um diferencial mais visível no emprego do que na remuneração-base; [Hosseini Maasoum e Lichtinger (2026)](https://doi.org/10.2139/ssrn.5425555) documentam menor contratação de trabalhadores juniores em firmas adotantes; e [Klein Teeselink (2025)](https://doi.org/10.2139/ssrn.5516798) encontra reduções no emprego, nas vagas e nos salários anunciados. Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda. Permanece uma lacuna importante quando o objeto é um país de renda média, com elevada informalidade, desigualdade racial e regional acentuada e uma estrutura ocupacional distinta da dos países desenvolvidos. É nessa lacuna que o Brasil se encaixa, e é ela que esta dissertação procura ajudar a preencher.
CIT-REV-005	CTX-REV-002	4	1 Introdução	2	klein_teeselink_generative_2025	Generative AI and labor market outcomes: Evidence from the United Kingdom	Klein Teeselink (2025)	https://doi.org/10.2139/ssrn.5516798	1200	1262	A literatura internacional avançou em duas frentes. De um lado, se consolidou uma metodologia de construção de índices de exposição baseados em tarefas, a partir do *GPT Exposure* de [Eloundou ](https://doi.org/10.48550/arXiv.2303.10130)[*et al.*](https://doi.org/10.48550/arXiv.2303.10130)[ (2023)](https://doi.org/10.48550/arXiv.2303.10130), que passou a usar os próprios LLMs como avaliadores das tarefas. De outro, começou a se acumular evidência empírica sobre emprego e salários. Estudos recentes nos Estados Unidos e no Reino Unido documentam quedas relativas no emprego de trabalhadores em início de carreira em firmas ou ocupações mais expostas à IA, padrão concentrado na entrada do mercado de trabalho, mas que não permite uma atribuição causal conclusiva à tecnologia. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) encontram um diferencial mais visível no emprego do que na remuneração-base; [Hosseini Maasoum e Lichtinger (2026)](https://doi.org/10.2139/ssrn.5425555) documentam menor contratação de trabalhadores juniores em firmas adotantes; e [Klein Teeselink (2025)](https://doi.org/10.2139/ssrn.5516798) encontra reduções no emprego, nas vagas e nos salários anunciados. Essa evidência, no entanto, foi produzida quase inteiramente em economias de alta renda. Permanece uma lacuna importante quando o objeto é um país de renda média, com elevada informalidade, desigualdade racial e regional acentuada e uma estrutura ocupacional distinta da dos países desenvolvidos. É nessa lacuna que o Brasil se encaixa, e é ela que esta dissertação procura ajudar a preencher.
CIT-REV-006	CTX-REV-003	7	1 Introdução	5	gmyrek_generative_2025	Generative AI and jobs: A refined global index of occupational exposure	Gmyrek *et al.* (2025)	https://doi.org/10.54394/HETP0387	90	223	A peça que conecta as duas etapas é o índice de exposição. Adotei o *ILO Global Index* de [Gmyrek ](https://doi.org/10.54394/HETP0387)[*et al.*](https://doi.org/10.54394/HETP0387)[ (2025)](https://doi.org/10.54394/HETP0387) porque ele é estruturado em torno da ISCO-08, denominador comum para comparações internacionais, e combina avaliação humana de tarefas com classificação assistida por LLMs. Aplicá-lo ao Brasil, no entanto, exigiu uma etapa de tradução: construí um *crosswalk* entre as classificações ocupacionais brasileiras (a COD, usada na PNAD, e a CBO, usada no CAGED) e a ISCO-08.
CIT-REV-007	CTX-REV-004	10	1 Introdução	8	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	Brynjolfsson, Chandar e Chen (2025)	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	40	226	Na etapa empírica, segui a abordagem de [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/), com um desenho de diferenças em diferenças aplicado ao CAGED, tomando o lançamento do ChatGPT como marco temporal e o índice da OIT como base para separar os grupos ocupacionais. No agregado nacional, as ocupações expostas apresentam, após o evento, diferenciais de aproximadamente 5,4% a menos nas admissões, 4,2% a menos nos desligamentos e 5,1% a menos no salário real de admissão, em comparação com as ocupações não expostas. O salário é a única estimativa estatisticamente significativa na especificação principal, mas todos os testes nacionais de tendências paralelas falham. Por isso, esses números descrevem diferenças entre os grupos depois do evento, mas não podem ser interpretados como efeitos causados pelo ChatGPT. As análises de heterogeneidade também permanecem exploratórias por causa das tendências prévias, da multiplicidade de testes e das diferenças de suporte amostral. Os exercícios complementares com a RAIS e a PNAD Contínua ampliam a análise para o estoque formal e a informalidade, mas também não têm identificação causal. Em conjunto, os resultados são compatíveis com menores fluxos e menor salário de entrada nas ocupações expostas, sem demonstrar que a difusão da IA causou essas mudanças.
CIT-REV-008	CTX-REV-005	20	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	1	autor_skill_2003	The skill content of recent technological change: An empirical exploration	Autor, Levy e Murnane (2003)	https://doi.org/10.1162/003355303322552801	135	209	A mensuração da exposição se apoia em uma escolha conceitual bem estabelecida na economia do trabalho: a abordagem baseada em tarefas. [Autor, Levy e Murnane (2003)](https://doi.org/10.1162/003355303322552801) formalizam e testam um modelo no qual um emprego é entendido como um conjunto de tarefas. Essa abordagem muda nossa perspectiva de maneira objetiva: novas tecnologias não impactam ocupações inteiras de forma homogênea; elas impactam as tarefas que constituem essas ocupações.
CIT-REV-009	CTX-REV-006	21	2.2 Fundamentos conceituais: tarefas, automação e complementaridade	2	agarwal_combining_2023	Combining human expertise with artificial intelligence: Experimental evidence from radiology	Agarwal *et al.* (2023)	https://doi.org/10.3386/w31422	70	195	Um experimento com radiologistas ilustra bem esse ponto. No estudo de [Agarwal ](https://doi.org/10.3386/w31422)[*et al.*](https://doi.org/10.3386/w31422)[ (2023)](https://doi.org/10.3386/w31422), as previsões da IA foram mais precisas do que as de aproximadamente dois terços dos 180 radiologistas participantes. A classificação de imagens é uma tarefa central, mas o fluxo diagnóstico também incorpora o histórico clínico, a solicitação do exame, o relato dos achados e recomendações. Os avanços da tecnologia podem, portanto, automatizar parte do trabalho sem tornar automaticamente substituível a profissão inteira. Enxergar ocupações como conjuntos de tarefas permite uma leitura mais realista do que pode acontecer com cada profissão e com o mercado de trabalho.
CIT-REV-010	CTX-REV-007	29	2.3 Índices de exposição à IA na literatura	3	eloundou_gpts_2023	GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models	Eloundou *et al.* (2023)	https://doi.org/10.48550/arXiv.2303.10130	23	182	O **GPT Exposure**, de [Eloundou ](https://doi.org/10.48550/arXiv.2303.10130)[*et al.*](https://doi.org/10.48550/arXiv.2303.10130)[ (2023)](https://doi.org/10.48550/arXiv.2303.10130), foi desenvolvido por pesquisadores da OpenAI e da Universidade da Pensilvânia com base na O\*NET/SOC dos Estados Unidos. O estudo compara anotações humanas e classificações produzidas pelo GPT-4, com concordância de 80,8% e 82,1% em duas das três medidas e de 65,6% na terceira. No nível da tarefa, aplica uma taxonomia discreta baseada na possibilidade de reduzir em pelo menos 50% o tempo necessário, mantendo a qualidade; na agregação ocupacional, combina essas categorias em medidas graduadas de exposição.
