claim_id	occurrence_id	section	paragraph	citation_key	work	claim_type	affirmation_pt	source_excerpt	fact_checked	pages
CLM-001	CIT-001	Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	Estima-se que 32,1% dos trabalhadores dos Estados Unidos já integravam ferramentas de IA às suas rotinas até o final de 2024.	Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024).		
CLM-002	CIT-001	Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	O ritmo de adoção de ferramentas de IA nos Estados Unidos era comparável ao do computador pessoal na década de 1980.	Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024).		
CLM-003	CIT-001	Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	DIRECT	A difusão das ferramentas de IA nos Estados Unidos era superior, em termos populacionais, à da internet.	Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024).		
CLM-004	CIT-001	Introdução	1	bick_rapid_2024	The rapid adoption of generative AI	AUTHOR_INFERENCE	A combinação do alcance ocupacional com a velocidade de difusão justifica tratar essa geração de inteligência artificial como um problema econômico, e não apenas tecnológico.	Nos Estados Unidos, estima-se que 32,1% dos trabalhadores já integravam ferramentas de IA em suas rotinas até o final de 2024, num ritmo de adoção comparável ao do computador pessoal na década de 1980 e superior, em termos populacionais, ao da própria internet (Bick; Blandin; Deming, 2024). Essa combinação de alcance ocupacional e velocidade de difusão justifica tratar essa nova geração de modelos de inteligência artificial como um problema econômico, e não apenas tecnológico.		
CLM-005	CIT-002	Introdução	2	eloundou_gpts_2023	GPTs are GPTs: An early look at the labor market impact potential of large language models	DIRECT	A metodologia de construção de índices de exposição baseados em tarefas consolidou-se a partir do GPT Exposure.	De um lado, consolidou-se uma metodologia de construção de índices de exposição baseados em tarefas, a partir do GPT Exposure de Eloundou et al. (2023), que passou a usar os próprios LLMs como avaliadores das tarefas.		
CLM-006	CIT-002	Introdução	2	eloundou_gpts_2023	GPTs are GPTs: An early look at the labor market impact potential of large language models	DIRECT	O GPT Exposure passou a usar os próprios modelos de linguagem como avaliadores das tarefas.	De um lado, consolidou-se uma metodologia de construção de índices de exposição baseados em tarefas, a partir do GPT Exposure de Eloundou et al. (2023), que passou a usar os próprios LLMs como avaliadores das tarefas.		
CLM-007	CIT-003	Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-007	CIT-004	Introdução	2	hosseini_maasoum_generative_2025	Generative AI as seniority-biased technological change: Evidence from u.s. Résumé and job posting data	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-007	CIT-005	Introdução	2	klein_teeselink_generative_2025	Generative AI and labor market outcomes: Evidence from the united kingdom	DIRECT	Estudos recentes nos Estados Unidos e no Reino Unido convergem para a conclusão de que o impacto da IA está se manifestando principalmente na porta de entrada do mercado de trabalho.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-008	CIT-003	Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Recém-formados em ocupações expostas à IA estão recebendo salários menores.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-008	CIT-004	Introdução	2	hosseini_maasoum_generative_2025	Generative AI as seniority-biased technological change: Evidence from u.s. Résumé and job posting data	DIRECT	Recém-formados em ocupações expostas à IA estão recebendo salários menores.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-008	CIT-005	Introdução	2	klein_teeselink_generative_2025	Generative AI and labor market outcomes: Evidence from the united kingdom	DIRECT	Recém-formados em ocupações expostas à IA estão recebendo salários menores.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-009	CIT-003	Introdução	2	brynjolfsson_canaries_2025	Canaries in the coal mine? Six facts about the recent employment effects of artificial intelligence	DIRECT	Trabalhadores jovens em ocupações expostas à IA estão recebendo salários menores.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
CLM-009	CIT-004	Introdução	2	hosseini_maasoum_generative_2025	Generative AI as seniority-biased technological change: Evidence from u.s. Résumé and job posting data	DIRECT	Trabalhadores jovens em ocupações expostas à IA estão recebendo salários menores.	De outro, começou a se acumular evidência empírica sobre emprego e salários, com estudos recentes nos Estados Unidos e no Reino Unido convergindo para a conclusão de que o impacto da IA está se manifestando principalmente pela porta de entrada do mercado de trabalho, com recém-formados e trabalhadores jovens em ocupações expostas recebendo salários menores e enfrentando menor oferta de trabalho (Brynjolfsson; Chandar; Chen, 2025; Hosseini Maasoum; Lichtinger, 2025; Klein Teeselink, 2025).		
